"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",34.68,20.97,-46.72,91.8,-10.33,-13.36,0.48,0.2,0.39,0.37,0.36,0.34,34.63,0,-75.11,91.34,-16.59,-18.25,-1.42,-1.54,0.39,0.37,0.36,0.34,34.7,123.01,-20.63,92.37,-3.63,-8.97,2.96,1.57,0.39,0.37,0.36,0.34,0,0.28,NA
"1981-01-02",34.59,20.43,-43.44,91.63,-11.38,-13.72,-0.8,0.83,0.38,0.37,0.36,0.34,34.52,0,-66.08,91.29,-14.73,-16.39,-1.55,-1.44,0.38,0.37,0.36,0.34,34.63,111.85,-14.83,91.86,-8.18,-11.85,1.61,1.82,0.39,0.37,0.36,0.34,0,0.62,NA
"1981-01-03",34.48,23.15,-55.01,91.21,-8.94,-13.98,1.83,-0.06,0.38,0.37,0.36,0.34,34.39,0,-82.58,91.1,-13.34,-17.89,-0.56,-0.96,0.38,0.37,0.36,0.34,34.52,127.42,-39.62,91.32,-3.86,-10.19,2.75,1.41,0.38,0.37,0.36,0.34,0,0.45,NA
"1981-01-04",34.26,20.06,-49.94,91.26,0.45,-3.83,3.52,-0.5,0.38,0.36,0.36,0.34,34.09,0,-84.16,91.18,-4.5,-10.76,2.92,-1.19,0.38,0.36,0.36,0.34,34.39,111.71,-3.41,91.34,2.39,-1.59,4.03,0.04,0.38,0.37,0.36,0.34,0.01,5.95,NA
"1981-01-05",34.47,22.69,-62.88,91.71,-1.51,-3.85,3.17,-1.06,0.38,0.36,0.36,0.34,34.09,0,-88.08,91.3,-4.67,-6.4,0.84,-1.75,0.38,0.36,0.36,0.34,34.62,122.87,-9.05,92,0.63,-1.89,4.65,-0.26,0.38,0.36,0.36,0.34,0.68,5.19,NA
"1981-01-06",36.15,5.71,-13.91,91.11,-3.27,-5.08,-0.15,1.22,0.38,0.36,0.36,0.34,34.46,0,-57.13,90.46,-8.06,-9.57,-1.93,-2.14,0.38,0.36,0.36,0.34,40.49,32.61,6.62,91.97,0.34,-1.89,4.44,3.4,0.38,0.36,0.36,0.34,6.2,1.97,NA
"1981-01-07",40.86,19.41,-32.58,91.16,-4.47,-6.06,1.05,-0.91,0.37,0.36,0.36,0.34,40.55,0,-69.97,90.7,-5.87,-7.26,-1.32,-2.4,0.37,0.36,0.36,0.34,41.41,113.34,-4.94,91.35,-0.86,-2.82,4.19,0.78,0.37,0.36,0.36,0.34,1.13,1.91,NA
"1981-01-08",43.15,11.21,-14.06,91.67,-9.07,-10.85,-1.57,0.07,0.37,0.36,0.36,0.34,41.59,0,-41.34,91.12,-13.11,-14.9,-2.27,-1.26,0.37,0.36,0.36,0.34,43.71,59.49,2.45,92.03,-4.92,-5.82,-0.32,1.92,0.37,0.36,0.36,0.34,2.47,0.97,NA
"1981-01-09",44.67,15.41,-28.35,91.51,-9.8,-12.01,-1.3,1.81,0.37,0.36,0.36,0.34,43.72,0,-63.9,91.32,-11.84,-13.46,-2.5,0.72,0.37,0.36,0.36,0.34,45.38,90.16,-0.49,91.82,-6.42,-9.19,2.17,2.51,0.37,0.36,0.36,0.34,1.76,0.95,NA
"1981-01-10",45.36,26.09,-54.44,91.86,-5.95,-8.53,1.05,0.98,0.37,0.36,0.36,0.34,45.34,0,-86.82,91.55,-10.51,-12.25,-0.73,-0.07,0.37,0.36,0.36,0.34,45.37,137.78,-28.06,92.02,-0.76,-6.79,2.94,1.99,0.37,0.36,0.36,0.34,0,0.04,NA
"1981-01-11",45.3,26.18,-47.76,91.79,-8.11,-11.25,0.09,1.16,0.37,0.36,0.36,0.34,45.26,0,-75.86,91.5,-11.97,-13.79,-0.7,0.45,0.37,0.36,0.36,0.34,45.33,137.06,-30.96,91.95,-2.97,-8.68,0.43,1.99,0.37,0.36,0.36,0.34,0,0.52,NA
"1981-01-12",45.2,26.33,-47.26,91.42,-4.58,-8.87,1.76,0.04,0.37,0.36,0.36,0.34,45.07,0,-86.72,91.22,-11.03,-14.13,-0.61,-0.89,0.37,0.36,0.36,0.34,45.27,137.39,13.45,91.68,0.96,-4.81,3.21,1.88,0.37,0.36,0.36,0.34,0,2.74,NA
"1981-01-13",45.02,26.78,-64.52,91.9,-4.37,-7.24,1.64,0.14,0.37,0.36,0.36,0.34,44.93,0,-85.68,91.72,-9.02,-10.48,0.17,-0.69,0.36,0.36,0.36,0.34,45.06,138.66,-34.08,92.02,-0.31,-5.08,2.33,0.98,0.37,0.36,0.36,0.34,0,1.25,NA
"1981-01-14",44.91,27.49,-59.68,92.08,-7.09,-9.26,0.27,0.54,0.36,0.36,0.36,0.34,44.87,0,-79.3,92,-11.28,-12.51,-1.54,-0.45,0.36,0.36,0.36,0.34,44.93,141.74,-40.04,92.16,-2.37,-6.71,2.02,1.54,0.36,0.36,0.36,0.34,0,0.58,NA
"1981-01-15",44.86,20.82,-41.18,91.95,-7.86,-9.38,-1.58,2.03,0.36,0.36,0.36,0.34,44.84,0,-65.65,91.62,-9.91,-11.18,-1.73,1.63,0.36,0.36,0.36,0.34,44.89,118.64,-12.25,92.16,-5.17,-7.53,-1.29,2.31,0.37,0.36,0.36,0.34,0.02,0.7,NA
"1981-01-16",44.8,27.01,-67.38,91.3,-6.89,-9.18,-1.46,1.85,0.36,0.36,0.36,0.34,44.71,0,-86.17,91.16,-9.11,-11.44,-1.64,1.6,0.36,0.36,0.36,0.34,44.84,134.3,-46.96,91.59,-3.31,-7.57,-1.2,2.26,0.36,0.36,0.36,0.34,0,1.28,NA
"1981-01-17",44.59,31.97,-81.83,90.68,-9.9,-13.64,-0.74,1.41,0.36,0.36,0.36,0.34,44.48,0,-103.38,90.42,-13.18,-15.42,-1.81,0.1,0.36,0.36,0.36,0.34,44.7,160.42,-65.29,91.07,-6.82,-11.71,2.36,1.98,0.36,0.36,0.36,0.34,0,1.82,NA
"1981-01-18",44.37,30.37,-62.19,90.94,-3.3,-7.47,1.59,0.44,0.36,0.36,0.36,0.34,44.13,0,-93.17,90.59,-10.16,-14.31,-1.06,-0.46,0.36,0.36,0.36,0.34,44.48,152.19,-38.76,91.12,2.1,-2.7,3.32,1.92,0.36,0.36,0.36,0.34,0,1.33,NA
"1981-01-19",43.98,29.87,-51.03,90.9,-2.49,-5.07,-0.69,1.55,0.36,0.36,0.36,0.34,43.73,0,-72.26,90.73,-4.91,-7.57,-1.01,1.1,0.36,0.36,0.36,0.34,44.12,151.12,-28.42,91.06,2.82,-1.86,-0.45,2.01,0.36,0.36,0.36,0.34,0,1.99,NA
"1981-01-20",43.26,31.56,-56.7,91.16,-0.5,-2.87,1.3,0.34,0.37,0.36,0.36,0.34,42.6,0,-91.08,90.66,-4.48,-5.39,-1.04,-1.11,0.36,0.36,0.36,0.34,43.74,156.57,-30.95,91.55,4,-0.37,2.7,1.78,0.38,0.36,0.36,0.34,0,1.15,NA
"1981-01-21",42.59,27.9,-49.72,91.28,-1.79,-3.59,-0.69,1.23,0.38,0.36,0.36,0.34,42.55,0,-72.85,91.15,-4.27,-5,-2.39,-0.22,0.37,0.36,0.35,0.34,42.62,147.24,-28.89,91.46,1.41,-1.64,2.17,2.09,0.38,0.36,0.36,0.34,0,1.03,NA
"1981-01-22",42.45,31.23,-41.75,90.81,-0.85,-3.35,-0.25,1.14,0.37,0.36,0.35,0.34,42.28,0,-69.69,90.53,-5.34,-7.01,-1.82,-0.51,0.37,0.36,0.35,0.34,42.55,158.06,1.09,91.24,3.05,-0.37,2.81,2.05,0.37,0.36,0.35,0.34,0,1.9,NA
"1981-01-23",42.26,9.07,-29.9,90.78,1.34,-1.99,1.95,0.05,0.37,0.36,0.35,0.34,42.1,0,-81.22,90.7,-1.57,-3.39,1.51,-0.5,0.37,0.36,0.35,0.34,42.64,49.51,-3.78,90.85,2.89,-0.58,2.64,0.81,0.37,0.36,0.35,0.34,0.91,2.88,NA
"1981-01-24",42.7,29.33,-57.42,90.74,-3.36,-5.31,2.76,-0.82,0.37,0.36,0.35,0.34,42.49,0,-87.6,90.61,-5.88,-7.18,2.22,-1.34,0.37,0.36,0.35,0.34,43.42,160.77,-9.2,90.86,-1.63,-3.9,3.03,-0.33,0.37,0.36,0.35,0.34,1.06,2.5,NA
"1981-01-25",44.35,13.49,-19.7,91.03,-5.09,-6.32,1.86,-0.95,0.37,0.36,0.35,0.34,43.48,0,-41.74,90.85,-6.37,-7.21,0.63,-1.31,0.37,0.36,0.35,0.34,45.17,72.22,-5.44,91.15,-3.44,-4.54,2.56,-0.33,0.37,0.36,0.35,0.34,1.91,0.99,NA
"1981-01-26",45.42,19.55,-20.03,90.78,-7.29,-8.63,-1.51,1.01,0.36,0.36,0.35,0.34,45.27,0,-37.84,90.63,-9.09,-10.37,-1.87,-0.39,0.36,0.36,0.35,0.34,45.46,91.65,-3.79,90.95,-5.81,-6.5,-0.59,1.84,0.37,0.36,0.35,0.34,0.4,0.68,NA
"1981-01-27",45.48,27.91,-37.99,90.62,-7.1,-8.6,-1.57,1.65,0.36,0.36,0.35,0.34,45.44,0,-61.97,90.57,-9.52,-10.65,-1.99,0.87,0.36,0.36,0.35,0.34,45.51,164.71,-16.15,90.75,-4.33,-6.77,-1.25,2.63,0.36,0.36,0.35,0.34,0.1,0.95,NA
"1981-01-28",45.62,16.24,-12.88,90.48,-7.73,-9.3,-2.56,2.67,0.36,0.36,0.35,0.34,45.49,0,-21.15,90.4,-8.55,-10.24,-3.19,1.79,0.36,0.36,0.35,0.34,46.12,76.05,-8.67,90.64,-6.79,-7.84,-1.81,3.27,0.36,0.36,0.35,0.34,0.81,1.54,NA
"1981-01-29",46.38,21.09,-23.68,91.18,-8.22,-9.92,0.5,0.06,0.36,0.36,0.35,0.34,46.2,0,-45.78,90.69,-10.52,-11.76,-1.49,-1.09,0.36,0.36,0.35,0.34,46.46,97.59,-12.81,91.63,-6.12,-8.88,1.83,1.48,0.36,0.36,0.35,0.34,0.47,0.93,NA
"1981-01-30",46.56,24.68,-39.19,91.64,-9.46,-11.24,0.95,-0.22,0.36,0.36,0.35,0.34,46.47,0,-71.31,91.47,-13.5,-14.86,-0.66,-0.86,0.36,0.36,0.35,0.34,46.64,115.64,-14.61,91.77,-6.47,-9.86,1.65,1.41,0.36,0.36,0.35,0.34,0.2,0.86,NA
"1981-01-31",46.54,33.8,-40.87,91.68,-12.37,-14.42,1.34,-0.95,0.36,0.36,0.35,0.34,46.5,0,-71.55,91.31,-15.9,-17.6,0.29,-2.7,0.36,0.36,0.35,0.34,46.55,181.18,-20.36,92.36,-8.99,-12.3,2.48,1.46,0.36,0.36,0.35,0.34,0.1,0.89,NA
"1981-02-01",46.52,42.28,-56.26,92.14,-12.21,-15.1,0.1,0.41,0.36,0.36,0.35,0.34,46.45,0,-92.25,91.89,-18.1,-19.81,-0.84,-1.24,0.36,0.36,0.35,0.34,46.56,199.39,-11.67,92.32,-5,-10.97,2.31,1.51,0.36,0.36,0.35,0.34,0.02,1.28,NA
"1981-02-02",46.38,45.2,-62.31,91.96,-9.81,-13.48,1.96,-0.64,0.36,0.36,0.35,0.34,46.23,0,-93.96,91.87,-16.04,-18.12,1.2,-1.04,0.36,0.36,0.35,0.34,46.45,204.28,-36.9,92.05,-3.29,-9.38,2.53,-0.12,0.36,0.36,0.35,0.34,0,3.02,NA
"1981-02-03",46.16,46.31,-65.46,92.13,-5.98,-9.15,1.84,-0.32,0.36,0.36,0.35,0.34,46.01,0,-92.86,91.99,-11.23,-13.08,0.19,-0.82,0.36,0.36,0.35,0.34,46.23,208.42,-36.45,92.22,-1.18,-6.62,2.65,0.67,0.36,0.36,0.35,0.34,0,3.05,NA
"1981-02-04",45.9,48.82,-82.54,91.97,-7.47,-9.94,2.13,-0.68,0.36,0.35,0.35,0.34,45.78,0,-95.98,91.83,-13.02,-14.43,1.07,-1.25,0.36,0.35,0.35,0.34,46,215.17,-48.4,92.04,-3.68,-7.67,2.86,0.95,0.36,0.36,0.35,0.34,0,2.24,NA
"1981-02-05",45.72,33.56,-53.49,91.36,-11.34,-14.19,1.59,-0.16,0.36,0.35,0.35,0.34,45.62,0,-78.23,91.15,-17.33,-19.3,0.21,-1.17,0.36,0.35,0.35,0.34,45.78,143.79,-23.99,91.73,-5.35,-10.05,3.01,0.78,0.36,0.35,0.35,0.34,0,1.63,NA
"1981-02-06",46.09,35.55,-56.34,91.88,-12.49,-15.64,2.28,-2.53,0.36,0.35,0.35,0.34,45.62,0,-92.11,91.2,-20.17,-22.76,0.57,-4.08,0.36,0.35,0.35,0.34,46.5,175.03,-13.21,92.54,-8.9,-11.09,3.23,-1.18,0.36,0.35,0.35,0.34,1.16,2.96,NA
