"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",30.04,18.9,-45.58,94.78,-11.7,-14.01,0.62,0.8,0.39,0.38,0.37,0.35,30,0,-68.8,94.2,-16.08,-17.54,-1.33,-2.65,0.39,0.38,0.37,0.35,30.06,104.69,-19.18,95.41,-7.63,-10.48,2.42,2.48,0.4,0.38,0.37,0.35,0.01,0.1,NA
"1981-01-02",29.99,18.3,-42.12,94.73,-13.26,-15.58,-0.85,0.42,0.39,0.38,0.37,0.35,29.95,0,-63.33,94.41,-16.16,-18.33,-1.53,-2.8,0.39,0.38,0.37,0.35,30.01,99.95,-20.38,95,-9.91,-12.44,0.79,2.35,0.39,0.38,0.37,0.35,0.01,0.11,NA
"1981-01-03",29.95,22.48,-52.62,94.17,-12.09,-15.05,0.94,1.41,0.39,0.38,0.37,0.35,29.91,0,-77.38,94.04,-17.04,-18.93,-0.32,-0.09,0.39,0.38,0.37,0.35,29.97,122.11,-39.81,94.33,-6.29,-10.52,1.8,2.37,0.39,0.38,0.37,0.35,0,0.09,NA
"1981-01-04",29.81,18.15,-45.21,94.07,-2.88,-5.93,2.7,0.44,0.39,0.38,0.37,0.35,29.64,0,-73.1,93.99,-11.07,-14.01,1.25,-1.1,0.39,0.38,0.37,0.35,29.92,107.81,-11.23,94.13,2.78,-0.81,3.5,2.07,0.39,0.38,0.37,0.35,0,0.76,NA
"1981-01-05",30.77,18.58,-46.05,94.45,-0.25,-2.42,2.99,-1.37,0.39,0.38,0.37,0.35,29.64,0,-74.18,94.04,-3.43,-4.63,1.41,-2.17,0.39,0.38,0.37,0.35,31.2,97.27,-14.79,94.83,1.51,-1.19,3.88,0.33,0.39,0.38,0.37,0.35,1.69,1.2,NA
"1981-01-06",32.18,7.49,-9.3,94.11,-3.75,-4.81,-1.36,1.47,0.39,0.38,0.37,0.35,31.06,0,-36.61,93.25,-4.59,-5.72,-2.62,-1.28,0.39,0.38,0.37,0.35,36.91,48.29,-2.08,94.89,-2.06,-3.08,2.22,2.98,0.39,0.38,0.37,0.35,5.95,0.32,NA
"1981-01-07",37.93,13.87,-20.79,93.99,-3.97,-5.97,1.34,-1.07,0.39,0.38,0.37,0.35,37.38,0,-40.16,93.39,-7.23,-8.35,-1.4,-3.17,0.38,0.38,0.37,0.35,38.23,77.19,-1.17,94.25,-0.56,-2.48,3.75,1.15,0.39,0.38,0.37,0.35,1.5,0.8,NA
"1981-01-08",40.21,10.18,-15.77,94.67,-9.41,-11.27,-2.16,-0.49,0.38,0.38,0.37,0.35,38.42,0,-55.93,94.05,-14.62,-16.81,-2.84,-1.78,0.38,0.38,0.37,0.35,40.83,46.18,3.11,95.23,-5.32,-6.29,-0.96,1.59,0.38,0.38,0.37,0.35,2.73,0.36,NA
"1981-01-09",41.52,9.19,-9.09,94.69,-12.2,-14.57,-1.81,2.1,0.38,0.38,0.37,0.35,40.85,0,-39.14,94.44,-13.63,-16.07,-2.8,1.68,0.38,0.38,0.37,0.35,42.21,51.85,6.71,95.05,-10.55,-12.43,0.33,2.7,0.38,0.38,0.37,0.35,1.49,0.36,NA
"1981-01-10",42.22,23.52,-45.45,94.87,-9.07,-11.21,0.79,1.76,0.38,0.37,0.37,0.35,42.21,0,-84.26,94.54,-11.9,-13.19,-0.42,1.11,0.38,0.37,0.37,0.35,42.23,126.57,-19,95.06,-5.13,-8.36,1.5,2.45,0.38,0.38,0.37,0.35,0.01,0.08,NA
