"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",47.82,9.89,-26.36,95.46,-19.7,-22.19,-0.86,-0.22,0.56,0.52,0.53,0.52,47.79,0,-49.93,94.82,-22.61,-25.38,-1.43,-1.84,0.56,0.52,0.53,0.52,47.86,55.49,-4.84,96.09,-16.23,-18.15,0.16,0.68,0.56,0.52,0.53,0.52,0.15,0.07,NA
"1981-01-02",47.97,8.67,-5.19,95.34,-19.41,-22.35,-1,0.32,0.56,0.52,0.53,0.52,47.85,0,-47.33,94.83,-22.3,-24.86,-1.42,-1.38,0.56,0.52,0.53,0.52,48.34,60.58,19.81,95.62,-14.52,-17.01,-0.6,0.99,0.56,0.52,0.53,0.52,0.57,0.36,NA
"1981-01-03",48.33,15.7,-27.74,94.52,-12.95,-15.5,0.58,0.72,0.55,0.52,0.53,0.52,48.31,0,-54.07,94.4,-16.42,-18.5,-0.28,-0.64,0.55,0.52,0.53,0.52,48.34,94.37,12.32,94.65,-9.86,-14.21,1.51,1.43,0.56,0.52,0.53,0.52,0,0.24,NA
"1981-01-04",48.56,10.47,-26.51,94.26,-4.58,-7.04,1.9,-0.1,0.55,0.52,0.53,0.52,48.3,0,-76.32,94.18,-11.59,-13.89,0.05,-0.77,0.55,0.52,0.53,0.52,48.68,77.14,11.56,94.36,0.2,-3.01,2.72,1.13,0.55,0.52,0.53,0.52,0.44,1.02,NA
"1981-01-05",48.75,9.79,-34.07,94.89,-5.01,-6.6,0.71,-0.99,0.55,0.52,0.53,0.52,48.64,0,-63.18,94.3,-11.15,-12.55,-1.52,-1.75,0.55,0.52,0.53,0.52,48.85,69.11,-5.53,95.57,-2.13,-3.85,2.14,0.38,0.55,0.52,0.53,0.52,0.35,1.12,NA
"1981-01-06",50.32,5.18,-7.27,94.71,-11.92,-13.56,-1.15,0.68,0.55,0.52,0.53,0.52,48.86,0,-32.99,93.72,-15.13,-16.92,-1.57,-0.49,0.55,0.52,0.53,0.52,55.62,36.16,9.21,95.61,-7.82,-8.85,-0.52,1.06,0.55,0.52,0.53,0.52,6.81,0.09,NA
"1981-01-07",56.28,14.63,-42.03,94.58,-11.17,-13.17,0.14,-1.09,0.55,0.52,0.52,0.52,55.94,0,-63.82,93.89,-15.53,-17.44,-1.2,-2.19,0.55,0.52,0.52,0.52,56.34,83.52,-0.79,95.06,-7.54,-8.81,1.64,-0.45,0.55,0.52,0.52,0.52,0.83,0.41,NA
"1981-01-08",56.94,18.77,-53.8,95.6,-19.78,-22.28,-1.35,-0.48,0.55,0.52,0.52,0.52,56.52,0,-78.09,94.96,-24.79,-27.48,-1.74,-1.21,0.54,0.52,0.52,0.52,57,106.06,4.21,96,-13.91,-15.92,-0.89,0.37,0.55,0.52,0.52,0.52,0.7,0.11,NA
"1981-01-09",57.22,7.76,-11.95,95.32,-20.51,-23.24,-1.38,0.34,0.54,0.52,0.52,0.52,56.98,0,-58.43,94.83,-25.58,-28.35,-1.91,-0.28,0.54,0.52,0.52,0.52,57.66,48.55,17.03,95.9,-14.84,-16.71,-0.81,1.35,0.54,0.52,0.52,0.52,0.69,0.16,NA
"1981-01-10",57.71,15.97,-32.72,95.15,-12.43,-14.18,1.1,0.78,0.54,0.52,0.52,0.52,57.67,0,-66.73,95,-16.65,-18.5,-1.22,0.24,0.54,0.52,0.52,0.52,57.73,91.57,-9.54,95.31,-7.55,-9.17,1.89,1.27,0.54,0.52,0.52,0.52,0.04,-0.06,NA
"1981-01-11",57.69,19.75,-59.96,95.02,-4.79,-7.61,2.14,0.55,0.54,0.52,0.52,0.52,57.62,0,-74.59,94.8,-8.35,-10.42,1.69,-0.32,0.54,0.52,0.52,0.52,57.74,110.71,-42.11,95.16,-0.24,-4.75,2.49,1.32,0.54,0.52,0.52,0.52,0,1.32,NA
"1981-01-12",57.55,14.89,-55.24,94.52,-3.69,-7.12,2.38,-0.07,0.54,0.52,0.52,0.52,57.46,0,-81.59,94.34,-6.43,-9.3,1.81,-0.79,0.54,0.52,0.52,0.52,57.62,80.8,-6.61,94.74,-0.76,-4.68,3.02,0.61,0.54,0.52,0.52,0.52,0.04,2.12,NA
"1981-01-13",57.41,17.62,-60.93,95.14,-3.72,-5.79,1.16,-0.6,0.54,0.52,0.52,0.52,57.38,0,-83.08,94.75,-6.54,-7.66,-1.09,-1.2,0.54,0.52,0.52,0.52,57.46,116.26,-23.7,95.38,-1.21,-4.44,2.91,0.65,0.54,0.52,0.52,0.52,0,0.84,NA
"1981-01-14",57.4,18.44,-35.84,95.62,-9.31,-10.24,-0.83,-0.32,0.54,0.52,0.52,0.52,57.38,0,-53.51,95.37,-12.06,-12.8,-1.57,-1.45,0.54,0.52,0.52,0.52,57.44,97.55,-16.74,95.85,-6.5,-7.61,0.31,0.56,0.54,0.52,0.52,0.52,0.04,-0.08,NA
