"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",57.1,11.42,-37.34,94.79,-13.66,-16.25,0.18,1.03,0.45,0.42,0.37,0.36,57.08,0,-46.8,94.4,-16.7,-18.38,-1.69,-1.67,0.45,0.42,0.37,0.36,57.1,68.04,-26.87,95.32,-11,-13.89,2.62,2.43,0.45,0.42,0.37,0.36,0,0.06,NA
"1981-01-02",57.11,11.04,-29.41,94.54,-13.51,-15.9,-1.46,1.08,0.45,0.42,0.37,0.36,57.1,0,-47.44,94.16,-16.62,-18.42,-2.24,-1.36,0.44,0.42,0.37,0.36,57.12,63.16,-5.23,94.83,-10.35,-13.74,-0.08,2.43,0.45,0.42,0.37,0.36,0,0.08,NA
"1981-01-03",57.12,12.57,-37.88,94.16,-11.92,-15.41,1.83,1.87,0.44,0.42,0.37,0.36,57.12,0,-50.43,94.09,-14.75,-17.67,1.06,1.47,0.44,0.42,0.37,0.36,57.13,72.67,-15.65,94.27,-7.21,-10.82,2.59,2.54,0.44,0.42,0.37,0.36,0,0.24,NA
"1981-01-04",57.16,13.1,-35.06,94.19,-1.95,-4.32,3.27,0.75,0.44,0.42,0.37,0.36,57.12,0,-67.2,94.1,-6.68,-10,2.33,-0.03,0.44,0.42,0.37,0.36,57.31,72.06,-0.95,94.3,0.77,-1.74,4.37,1.89,0.44,0.42,0.37,0.36,0.13,0.59,NA
"1981-01-05",57.81,13.65,-54.32,94.75,-3.27,-4.96,2.92,0.04,0.44,0.42,0.37,0.36,57.43,0,-76.71,94.33,-10.1,-10.81,-1.23,-0.91,0.44,0.42,0.37,0.36,57.87,75.51,-3.5,94.98,0.31,-1.6,5.2,1.59,0.44,0.42,0.37,0.36,0.57,0.55,NA
"1981-01-06",61.21,3.63,-14.81,93.94,-4.12,-5.82,0.02,1,0.44,0.42,0.37,0.36,57.88,0,-48.87,93.43,-10.61,-11.43,-3.05,-2.33,0.44,0.42,0.37,0.36,66.08,22.53,2.3,94.86,-0.45,-1.96,4.09,2.74,0.44,0.42,0.37,0.36,8.2,0.3,NA
"1981-01-07",66.23,10.05,-34.6,94.16,-7.07,-8.43,-0.44,-0.46,0.44,0.42,0.37,0.36,66.11,0,-63.64,93.85,-10.52,-11.41,-2.11,-1.91,0.43,0.41,0.37,0.36,66.8,55.57,-0.77,94.3,-1.93,-3.7,3.2,0.58,0.44,0.42,0.37,0.36,0.71,0.09,NA
"1981-01-08",68.2,8.02,-17.38,94.65,-8.97,-11.01,-2.31,-1.11,0.43,0.41,0.37,0.36,67.01,0,-57.06,94.13,-11.8,-13.82,-3.86,-2.58,0.43,0.41,0.37,0.36,68.52,45.48,4.87,94.9,-6.89,-8.22,-0.63,0.96,0.43,0.41,0.37,0.36,1.8,0.4,NA
"1981-01-09",69.41,10.52,-33.38,94.27,-6.93,-9.21,-1.23,1.8,0.43,0.41,0.37,0.36,68.52,0,-62.3,94.11,-9.7,-11.82,-4.25,0.91,0.43,0.41,0.37,0.36,69.93,60.02,3.5,94.55,-4.71,-7.14,2.91,2.36,0.43,0.41,0.37,0.36,1.37,0.24,NA
"1981-01-10",69.97,13.43,-47.03,94.73,-7.28,-9.48,0.88,2.27,0.43,0.41,0.37,0.36,69.93,0,-61.05,94.47,-9.34,-10.84,-0.65,1.25,0.43,0.41,0.37,0.36,69.98,74.09,-14.96,94.86,-5.8,-7.97,2.88,3.02,0.43,0.41,0.37,0.36,0,0.2,NA
"1981-01-11",69.98,14.17,-44.84,94.68,-8.99,-11.86,-0.29,2.25,0.43,0.41,0.37,0.36,69.98,0,-54.24,94.32,-11.21,-13.32,-2.17,1.65,0.43,0.41,0.37,0.36,69.99,74.6,-29.63,94.87,-6.66,-10.22,0.84,2.82,0.43,0.41,0.37,0.36,0,0.23,NA
"1981-01-12",70,14.49,-34.36,94.35,-8.06,-10.91,1.54,1.33,0.43,0.41,0.37,0.36,69.99,0,-57.22,94.18,-11.23,-13.8,-1.98,0.33,0.43,0.41,0.37,0.36,70.02,75.79,2.38,94.62,-4.42,-7.77,3.07,2.03,0.43,0.41,0.37,0.36,0,0.17,NA
"1981-01-13",70.05,15.05,-41.32,94.82,-8.1,-10.29,1.01,1.66,0.43,0.41,0.37,0.36,70.03,0,-58.26,94.68,-11.17,-13.2,-0.48,0.81,0.43,0.41,0.37,0.36,70.07,78.47,-31.46,94.96,-5.21,-8.26,2.43,2.39,0.43,0.41,0.37,0.36,0,0.05,NA
"1981-01-14",70.09,14.71,-33.8,94.99,-10.05,-11.58,-0.94,1.38,0.43,0.41,0.37,0.36,70.07,0,-43.3,94.96,-13.63,-14.8,-2.52,0.99,0.42,0.41,0.37,0.36,70.12,78.36,-23.8,95.06,-6.69,-9.64,1.03,1.83,0.43,0.41,0.37,0.36,0,-0.01,NA
"1981-01-15",70.17,14.99,-45.16,94.62,-5.31,-7.62,-2.26,2.29,0.42,0.41,0.37,0.36,70.12,0,-61.77,94.28,-9.98,-11.54,-2.59,1.26,0.42,0.41,0.37,0.36,70.22,78.47,-15.44,94.96,-0.8,-4.47,-1.57,2.8,0.42,0.41,0.37,0.36,0,0.3,NA
"1981-01-16",70.25,16.89,-56.13,94.09,-8.23,-10.44,-1.44,1.77,0.42,0.41,0.37,0.36,70.23,0,-65.81,93.95,-12.42,-14.32,-2.35,1.03,0.42,0.41,0.37,0.36,70.26,86.52,-49.76,94.28,-5.21,-7.01,-0.29,2.35,0.42,0.41,0.37,0.36,0,0.14,NA
"1981-01-17",70.27,18.02,-49.33,93.56,-14,-16.75,-0.32,1.8,0.42,0.41,0.37,0.36,70.26,0,-62.39,93.36,-16.63,-18.42,-1.33,0.73,0.42,0.41,0.37,0.36,70.27,91.16,-35.3,93.88,-10.33,-14.79,0.96,2.36,0.42,0.41,0.37,0.36,0,0.08,NA
