"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",65.58,1.18,-26.81,97.83,-41.22,-44.81,-1.15,-1.44,0.31,0.31,0.31,0.31,65.57,0,-51.62,97.63,-42.38,-45.86,-3.11,-3.64,0.31,0.31,0.31,0.31,65.58,9.66,14.37,98.04,-38.98,-42.67,1.72,0.01,0.31,0.31,0.31,0.31,0.01,0,NA
"1981-01-02",65.59,1.47,-15.04,97.48,-38.54,-42.22,-3.05,2.3,0.31,0.31,0.31,0.31,65.58,0,-34.36,96.93,-42.21,-45.37,-4.91,0.01,0.31,0.31,0.31,0.31,65.61,12.42,15.05,97.83,-32.78,-37.33,-1.61,3.49,0.31,0.31,0.31,0.31,0.01,-0.01,NA
"1981-01-03",66.52,0.94,19.16,96.49,-25.31,-28.91,-5.16,4.41,0.31,0.31,0.31,0.31,65.64,0,6.77,96.13,-30.49,-35.05,-6.45,3.43,0.31,0.31,0.31,0.31,67.25,7.6,32.3,96.71,-20.88,-23.36,-2.54,5.17,0.31,0.31,0.31,0.31,1.69,0.03,NA
"1981-01-04",67.43,1.14,-4,95.84,-19.91,-22.33,-0.44,-0.91,0.31,0.31,0.31,0.31,67.29,0,-13.28,95.76,-20.67,-23.09,-2.4,-2.89,0.31,0.31,0.31,0.31,67.56,9.77,6.87,96.02,-19.11,-21.68,1.55,3.58,0.31,0.31,0.31,0.31,0.31,-0.01,NA
"1981-01-05",67.62,1.84,-50.86,96.9,-27.77,-30.9,-2.07,-3.89,0.31,0.31,0.31,0.31,67.58,0,-69.69,95.92,-33.54,-36.58,-3.47,-6.79,0.31,0.31,0.31,0.31,67.64,15.15,-3,97.6,-19.22,-21.91,1.15,1.06,0.31,0.31,0.31,0.31,0.05,-0.01,NA
"1981-01-06",67.88,1.29,-10.1,96.6,-30.27,-33.27,-1.26,1.92,0.31,0.31,0.31,0.31,67.64,0,-42.83,95.81,-34.92,-37.82,-1.87,-3.4,0.31,0.31,0.31,0.31,68.26,10.72,24.4,97.49,-26.48,-29.45,-0.53,3.68,0.31,0.31,0.31,0.31,0.61,-0.01,NA
"1981-01-07",68.35,1.57,-38.61,96.47,-29.88,-32.97,-1.69,-4.92,0.31,0.31,0.31,0.31,68.26,0,-56.7,95.8,-33.02,-36.26,-3.27,-5.63,0.31,0.31,0.31,0.31,68.47,12.13,-0.02,97.3,-27.86,-30.96,0.29,-3.64,0.31,0.31,0.31,0.31,0.18,-0.04,NA
"1981-01-08",68.48,2.2,-37.1,97.68,-33.78,-36.71,0.61,-1.31,0.31,0.31,0.31,0.31,68.47,0,-52.98,97.34,-35.51,-38.48,-2.19,-3.78,0.31,0.31,0.31,0.31,68.49,17.42,-26.59,97.85,-31.9,-34.73,2.4,2.15,0.31,0.31,0.31,0.31,0.01,-0.01,NA
"1981-01-09",68.5,2.41,-25.74,97.1,-32.45,-34.88,-0.39,2.83,0.31,0.31,0.31,0.31,68.49,0,-28.83,96.41,-33.97,-36.43,-1.8,1.82,0.31,0.31,0.31,0.31,68.52,18.7,-22.88,97.7,-30.51,-32.77,1.36,4.1,0.31,0.31,0.31,0.31,0.01,-0.02,NA
"1981-01-10",68.69,1.47,-1.76,96,-22.32,-24.57,1.91,4.57,0.31,0.31,0.31,0.31,68.52,0,-22.37,95.81,-29.5,-31.71,-0.92,2.19,0.31,0.31,0.31,0.31,68.86,11.66,25.05,96.47,-17.66,-19.58,4.16,5.68,0.31,0.31,0.31,0.31,0.27,-0.09,NA
"1981-01-11",68.94,1.6,-0.72,95.94,-16.5,-18.35,0.73,1.2,0.31,0.31,0.31,0.31,68.87,0,-9.36,95.81,-17.3,-19.22,-1.08,0.32,0.31,0.31,0.31,0.31,69.01,12.2,5.64,96.05,-15.6,-17.4,2.96,2.22,0.31,0.31,0.31,0.31,0.13,-0.02,NA
"1981-01-12",69.51,1.26,5.51,95.57,-14.11,-15.84,-0.95,0.93,0.31,0.31,0.31,0.31,69.02,0,-13.14,95.4,-15.69,-17.48,-1.95,-2.72,0.31,0.31,0.31,0.31,72.31,8.41,16.69,95.8,-11.82,-13.52,0.11,2.06,0.31,0.31,0.31,0.31,3.33,0.01,NA
"1981-01-13",72.57,2.07,-25.52,96.52,-13.97,-15.85,0.09,-3.84,0.31,0.31,0.31,0.31,72.46,0,-53.94,95.61,-19.21,-21.16,-1.39,-5.2,0.31,0.31,0.31,0.31,72.63,15.63,6.77,97.16,-10.93,-12.6,1.2,-2.52,0.31,0.31,0.31,0.31,0.28,-0.04,NA
"1981-01-14",72.71,1.8,-17.7,97.28,-19.33,-21.5,0.16,0.84,0.31,0.31,0.31,0.31,72.63,0,-42.18,97.12,-20.45,-22.72,-0.81,-2.72,0.31,0.31,0.31,0.31,72.79,12.3,3.01,97.4,-17.79,-19.83,1.15,5.31,0.31,0.31,0.31,0.31,0.14,-0.02,NA
"1981-01-15",72.99,2.25,-12.06,95.96,-11.31,-12.97,3.69,5.78,0.31,0.31,0.31,0.31,72.8,0,-46.9,95.25,-19.02,-21.29,0.64,3.51,0.31,0.31,0.31,0.31,73.15,17.03,14.96,96.98,-8.51,-9.59,6.19,8.3,0.31,0.31,0.31,0.31,0.2,-0.2,NA
"1981-01-16",73.25,3.13,-51.47,95.02,-6.76,-10.07,5.59,2.33,0.31,0.31,0.31,0.31,73.17,0,-59.99,94.86,-8.71,-11.22,3.82,-0.49,0.31,0.31,0.31,0.31,73.29,22.2,-34.64,95.23,-4.67,-9.04,6.83,4.98,0.31,0.31,0.31,0.31,0,-0.16,NA
"1981-01-17",73.33,3.17,-22.67,95.26,-10.94,-12.79,-1.12,-0.22,0.31,0.31,0.31,0.31,73.3,0,-38.08,95.1,-13.23,-14.83,-5.1,-2.25,0.31,0.31,0.31,0.31,73.39,22.19,2.81,95.38,-7.9,-10.48,3.81,1.92,0.31,0.31,0.31,0.31,0.03,-0.06,NA
"1981-01-18",73.62,2.43,-15.56,95.33,-12.17,-13.5,-4.62,2.12,0.31,0.31,0.31,0.31,73.42,0,-32.73,95.1,-15.93,-17.72,-6.44,-0.24,0.31,0.31,0.31,0.31,73.74,17.17,-1.53,95.54,-10.72,-11.91,-1.88,3.77,0.31,0.31,0.31,0.31,0.28,-0.07,NA
"1981-01-19",73.83,2.76,-16.04,94.84,-10.41,-11.85,1.66,4.61,0.31,0.31,0.31,0.31,73.75,0,-43.05,94.42,-15.1,-16.88,-0.82,3.93,0.31,0.31,0.31,0.31,73.96,17.61,-3.88,95.33,-4.7,-5.75,5.7,5.01,0.31,0.31,0.31,0.31,0.05,-0.19,NA
"1981-01-20",74.38,2.46,-31.11,94.31,-2.81,-4.58,8.02,0.64,0.31,0.31,0.31,0.31,73.98,0,-83.46,93.92,-4.58,-5.93,4.47,-6.39,0.31,0.31,0.31,0.31,74.64,16.02,4.89,95.02,-1.11,-3.14,12.66,5.21,0.31,0.31,0.31,0.31,0.64,-0.13,NA
"1981-01-21",74.56,4.25,-38.17,95.85,-5.73,-8.03,5.31,-2.88,0.31,0.31,0.31,0.31,74.53,0,-75.59,95.2,-8.92,-10.7,-1.55,-7.27,0.31,0.31,0.31,0.31,74.6,29.69,4.97,96.12,-2.72,-5.01,11.07,1.15,0.31,0.31,0.31,0.31,0.02,0.1,NA
"1981-01-22",75.75,2.27,-14.75,95.44,-7.77,-9.17,-5.3,2.94,0.31,0.31,0.31,0.31,74.61,0,-42.5,95.15,-9.04,-10.24,-6.29,1.48,0.31,0.31,0.31,0.31,76.04,13.28,5.01,95.81,-6.81,-8.2,-2.08,4.11,0.31,0.31,0.31,0.31,1.4,-0.06,NA
"1981-01-23",77.53,1.68,-5.71,94.47,-6.9,-8.1,-2.6,-0.71,0.31,0.31,0.31,0.31,76.04,0,-23.92,94.08,-10.78,-12.71,-7.34,-6.3,0.31,0.31,0.31,0.31,78.38,9.5,6.59,94.97,-4.07,-4.61,1.3,4.41,0.31,0.31,0.31,0.31,2.36,0.01,NA
"1981-01-24",78.37,2.91,-12.11,95.39,-13.31,-15.58,-2.73,-5.34,0.31,0.31,0.31,0.31,78.36,0,-46.49,94.71,-16.94,-19.28,-4.57,-6.97,0.31,0.31,0.31,0.31,78.39,16.73,-0.43,96.16,-10.49,-12.34,-0.29,-2.48,0.31,0.31,0.31,0.31,0.11,0.17,NA
"1981-01-25",78.4,4.03,-30.07,96.35,-20.57,-22.95,0.78,-0.18,0.31,0.31,0.31,0.31,78.37,0,-59.4,96.12,-21.54,-24.06,-2.79,-2.63,0.31,0.31,0.31,0.31,78.42,24.95,-12.69,96.52,-17.69,-19.94,3.7,1.61,0.31,0.31,0.31,0.31,0.04,0,NA
"1981-01-26",78.59,2.96,-7.46,95.96,-17.73,-19.75,-0.24,-1.3,0.31,0.31,0.31,0.31,78.43,0,-26.45,95.85,-20.54,-22.93,-3.79,-2.26,0.31,0.31,0.31,0.31,78.77,17.81,7.14,96.06,-14.77,-16.41,3.82,0.25,0.31,0.31,0.31,0.31,0.32,-0.03,NA
"1981-01-27",78.86,4.37,-28.17,95.96,-19.13,-21.3,-0.99,3.86,0.31,0.31,0.31,0.31,78.77,0,-39.44,95.74,-20.74,-23.1,-3.27,0.28,0.31,0.31,0.31,0.31,78.96,25.82,-16.15,96.08,-16.9,-18.78,1.99,5.42,0.31,0.31,0.31,0.31,0.14,-0.06,NA
"1981-01-28",79.16,3.94,-10.98,95.64,-14.5,-16.16,2.19,4.67,0.31,0.31,0.31,0.31,78.98,0,-24.71,95.56,-17.03,-18.92,1.54,3.39,0.31,0.31,0.31,0.31,79.41,25.2,1.05,95.74,-12.06,-13.54,3.2,5.15,0.31,0.31,0.31,0.31,0.37,-0.1,NA
"1981-01-29",79.67,4.01,-13.09,95.95,-13.33,-15.23,0.77,-1.53,0.31,0.31,0.31,0.31,79.44,0,-26.49,95.65,-16.91,-19.69,-1.72,-4.86,0.31,0.31,0.31,0.31,80.02,23.49,-1.89,96.28,-11.73,-13.18,3.19,3.33,0.31,0.31,0.31,0.31,0.61,0.01,NA
"1981-01-30",80.17,7.09,-52.16,96.63,-22.71,-25.4,-1.06,-3.43,0.31,0.31,0.31,0.31,80.07,0,-65.85,96.27,-28.13,-30.84,-2.06,-4.46,0.31,0.31,0.31,0.31,80.19,39.8,-12.08,96.87,-16.91,-19.84,-0.55,-2.69,0.31,0.31,0.31,0.31,0.16,0,NA
