"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",2000.29,3.13,-16.56,87.23,-10.32,-14.23,-0.57,-0.11,0.23,0.23,0.19,0.3,2000.29,0,-44.73,87.02,-12.98,-15.37,-0.77,-0.33,0.23,0.23,0.19,0.3,2000.3,19.39,-1.53,87.4,-7.93,-13.15,-0.43,0.02,0.23,0.23,0.19,0.3,0.03,0.01,1.22
"1981-01-02",2000.32,4.03,-17.74,86.79,-7.78,-14,-0.58,-0.06,0.23,0.23,0.19,0.3,2000.31,0,-33.67,86.59,-8.32,-14.82,-0.71,-0.16,0.23,0.23,0.19,0.3,2000.33,25.38,-0.57,86.98,-7.27,-13.26,-0.44,0.06,0.23,0.23,0.19,0.3,0.03,0,1.2
"1981-01-03",2004.67,1.94,12.4,86.67,-7.11,-9.44,-0.63,0.3,0.23,0.23,0.19,0.3,2000.33,0,-5.63,86.53,-7.83,-14.56,-0.76,-0.02,0.23,0.23,0.19,0.3,2008.81,12.27,23.48,86.88,-5.94,-7,-0.44,0.44,0.23,0.23,0.19,0.3,10.34,-0.01,1.19
"1981-01-04",2012.41,2.1,6.58,87.06,-5.01,-5.93,-0.27,0.64,0.23,0.23,0.19,0.3,2009.01,0,-13.81,86.78,-5.84,-6.88,-0.78,0.13,0.23,0.23,0.19,0.3,2014.73,12.74,15.51,87.47,-3.82,-4.52,0.3,1.18,0.23,0.23,0.19,0.3,7.14,-0.02,1.18
"1981-01-05",2015.85,2.49,-0.77,87.05,-5.74,-6.66,-0.74,-0.02,0.23,0.23,0.19,0.3,2014.76,0,-14.86,86.23,-6.62,-7.75,-1.03,-0.43,0.23,0.23,0.19,0.3,2018.7,14.51,9.58,87.53,-4.44,-5.11,-0.14,0.66,0.23,0.23,0.19,0.3,4.71,-0.01,1.17
"1981-01-06",2022.69,2.19,-0.51,86.22,-5.31,-6.19,-0.58,0.63,0.23,0.23,0.19,0.3,2019.27,0,-22.73,85.95,-6.27,-7.17,-1,0.24,0.23,0.23,0.19,0.3,2025.17,13.97,7.34,86.55,-3.7,-4.23,0,1.1,0.23,0.23,0.19,0.3,7.87,-0.01,1.16
"1981-01-07",2027.92,2.51,-1.53,86.33,-4.2,-4.83,-0.73,0.37,0.23,0.23,0.19,0.3,2025.28,0,-10.31,86.21,-4.61,-5.16,-0.85,0.18,0.23,0.23,0.19,0.3,2030.02,13.71,6.74,86.54,-3.72,-4.17,-0.39,0.79,0.23,0.23,0.19,0.3,5.7,-0.02,1.15
"1981-01-08",2030.27,3.26,-10.74,86.08,-5.46,-6.21,-0.88,-0.4,0.23,0.23,0.19,0.3,2030.04,0,-24.54,85.58,-6.81,-7.66,-1.1,-0.72,0.23,0.23,0.19,0.3,2031.25,18.85,4.11,86.38,-4.34,-4.85,-0.49,0.34,0.23,0.23,0.19,0.3,1.47,-0.02,1.14
"1981-01-09",2034.46,3.39,-15.39,85.94,-6.6,-7.54,-1.01,0.32,0.23,0.23,0.19,0.3,2031.6,0,-46.69,85.54,-7.71,-8.38,-1.33,-0.29,0.23,0.23,0.19,0.3,2039.15,18.4,3.96,86.49,-4.97,-6.1,-0.54,1.15,0.23,0.23,0.19,0.3,9.61,-0.02,1.13
"1981-01-10",2045.46,2.29,-1.8,86.39,-5.95,-6.84,-1.09,0.33,0.23,0.23,0.19,0.3,2040.19,0,-22.33,86.18,-6.54,-7.38,-1.27,-0.02,0.23,0.23,0.19,0.3,2052.18,14.62,8.56,86.54,-4.81,-5.54,-0.9,0.71,0.23,0.23,0.19,0.3,15.6,-0.02,1.12
