"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",665.73,17.08,-44.84,88.32,-9.43,-12.66,-0.73,0.11,0.3,0.3,0.29,0.35,665.72,0,-64.79,88.15,-11.57,-13.71,-0.9,0,0.3,0.3,0.29,0.35,665.74,94.76,-27,88.56,-6.87,-11.49,-0.63,0.21,0.3,0.3,0.29,0.35,0.03,0.24,3.23
"1981-01-02",665.73,17.96,-44.41,87.93,-9.22,-13.64,-0.73,0.11,0.3,0.3,0.29,0.35,665.72,0,-66.77,87.81,-10.71,-14.43,-0.85,0.02,0.29,0.3,0.29,0.35,665.74,96.78,-27.78,88.12,-7.19,-12.05,-0.56,0.15,0.3,0.3,0.29,0.35,0.01,0.13,3.28
"1981-01-03",667.19,5.94,9.36,87.96,-5.79,-8.33,-0.12,0.55,0.29,0.3,0.29,0.35,665.74,0,-41.35,87.81,-10.45,-14.3,-0.64,0.19,0.29,0.3,0.29,0.35,668.13,29.62,30.15,88.13,-2.92,-3.92,0.53,0.75,0.29,0.3,0.29,0.35,2.41,-0.02,3.23
"1981-01-04",671.07,7,2.37,88.34,-2.61,-3.22,0.46,0.72,0.29,0.3,0.29,0.35,668.19,0,-20.09,88.1,-3.18,-3.91,-0.02,0.52,0.29,0.3,0.29,0.35,672.93,46.13,22.17,88.56,-1.86,-2.33,1,0.94,0.29,0.3,0.29,0.35,4.79,-0.06,3.2
"1981-01-05",675.08,5.89,0.05,88.19,-3.36,-4.01,-0.67,0.15,0.29,0.3,0.29,0.35,672.93,0,-9.59,87.62,-3.83,-4.48,-1.12,-0.04,0.29,0.3,0.29,0.35,680.43,31.18,5.1,88.57,-2.79,-3.13,0.01,0.53,0.29,0.3,0.29,0.35,7.48,0.01,3.11
"1981-01-06",684.62,8.34,-9.14,87.55,-2.46,-3.32,0.29,0.73,0.29,0.3,0.29,0.35,680.77,0,-34.6,87.25,-3.72,-4.92,-0.56,0.4,0.29,0.3,0.29,0.35,686.83,44,2.31,87.85,-0.92,-1.91,1.42,1.13,0.29,0.3,0.29,0.35,6.35,0.01,3.01
"1981-01-07",689.41,7.23,-9.77,87.51,-2.21,-2.71,-0.43,0.44,0.29,0.29,0.29,0.35,686.89,0,-17.44,87.36,-3,-3.31,-0.73,0.21,0.29,0.29,0.29,0.35,691.61,35.28,-0.05,87.81,-1.58,-2.31,0.03,0.74,0.29,0.3,0.29,0.35,4.77,0.01,2.94
"1981-01-08",692.2,8.53,-18.14,87.09,-4.26,-5.12,-1.25,-0.3,0.29,0.29,0.29,0.35,691.67,0,-58.89,86.72,-5.49,-6.05,-1.81,-0.7,0.29,0.29,0.29,0.35,695.15,45.68,-2.43,87.41,-2.59,-3.04,-0.46,0.55,0.29,0.29,0.29,0.35,3.55,0.2,2.81
"1981-01-09",699,11.06,-18.89,87.38,-4.48,-5.37,-0.48,0.73,0.29,0.29,0.29,0.35,695.35,0,-54.4,86.82,-6.19,-7.02,-0.93,0.31,0.29,0.29,0.29,0.35,700.92,59.79,2.58,87.86,-2.63,-3.77,0.38,1.11,0.29,0.29,0.29,0.35,5.73,0.09,2.74
"1981-01-10",706.8,7.13,-7.34,87.81,-3.5,-4.29,-0.77,0.4,0.29,0.29,0.28,0.35,700.99,0,-33.76,87.64,-4.49,-5.14,-1.02,0.17,0.29,0.29,0.28,0.35,710.84,40.82,-0.4,88,-2.35,-3.27,-0.37,0.58,0.29,0.29,0.29,0.35,9.91,0.12,2.65
"1981-01-11",710.97,10.56,-28.15,87.8,-5.18,-6.36,-0.71,0.11,0.29,0.29,0.28,0.35,710.85,0,-57.15,87.66,-6.25,-7.6,-1.07,-0.07,0.29,0.29,0.28,0.34,711.75,54.14,0.24,87.98,-2.91,-3.6,-0.16,0.45,0.29,0.29,0.28,0.35,0.91,0.16,2.58
"1981-01-12",713.45,9.94,-1.74,87.87,-3.4,-5,-0.5,0.2,0.29,0.29,0.28,0.34,711.97,0,-24.98,87.79,-4.87,-6.65,-1.01,-0.2,0.29,0.29,0.28,0.34,715.17,55.56,10.87,87.99,-1.97,-4.22,-0.16,0.5,0.29,0.29,0.28,0.34,3.43,0.24,2.49
"1981-01-13",715.47,14.1,-26.26,88.18,-2.92,-4.32,-0.35,0.34,0.29,0.29,0.28,0.34,715.24,0,-53.83,87.99,-4.68,-5.89,-0.76,0.09,0.29,0.29,0.28,0.34,715.91,77.05,3.61,88.35,-1.93,-3.37,-0.04,0.85,0.29,0.29,0.28,0.34,0.74,0.22,2.37
"1981-01-14",715.92,17.71,-40.11,88.14,-5.79,-6.86,-0.68,-0.11,0.28,0.29,0.28,0.34,715.91,0,-65.32,87.94,-8.25,-9.13,-1.03,-0.38,0.28,0.29,0.28,0.34,715.94,93.1,-9,88.31,-3.24,-5.69,-0.29,0.19,0.29,0.29,0.28,0.34,0.01,0.19,2.29
"1981-01-15",715.96,20.34,-41.14,87.63,-8.46,-10.45,-0.77,-0.04,0.28,0.29,0.28,0.34,715.95,0,-63.41,87.42,-10.69,-11.94,-1.03,-0.17,0.28,0.29,0.28,0.34,715.97,101.12,-27.02,87.9,-6.21,-9.28,-0.59,0.03,0.28,0.29,0.28,0.34,0.06,0.27,2.19
"1981-01-16",716.1,17.09,-29.7,87.24,-7.92,-11.17,-0.71,-0.07,0.28,0.29,0.28,0.34,715.96,0,-48.1,87.09,-9.05,-12.23,-0.9,-0.27,0.28,0.29,0.28,0.34,716.49,79.99,7.65,87.37,-5.68,-9.34,-0.56,0.06,0.28,0.29,0.28,0.34,0.56,0.52,2.11
"1981-01-17",716.71,17.8,-24.25,86.85,-8.2,-10.94,-0.67,0.04,0.28,0.29,0.28,0.34,716.56,0,-50.12,86.66,-10,-12.51,-0.91,-0.25,0.28,0.29,0.28,0.34,717.27,100.03,18.01,87.07,-6.83,-8.64,-0.4,0.53,0.28,0.29,0.28,0.34,0.78,0.49,2.05
"1981-01-18",724.99,5.93,8.46,86.73,-6.03,-7.48,-1.01,-0.11,0.28,0.29,0.28,0.34,717.27,0,-19.62,86.53,-7.87,-9.44,-1.32,-0.4,0.28,0.29,0.28,0.34,737.46,30.74,17.02,87.09,-2.26,-3.21,-0.57,0.31,0.29,0.29,0.28,0.34,20.68,0.21,1.99
"1981-01-19",748.62,6.63,3.94,86.85,-0.23,-0.83,-0.17,0.48,0.29,0.29,0.28,0.34,738.3,0,-15.94,86.63,-1.98,-2.88,-0.99,0.15,0.29,0.29,0.28,0.34,761.92,39.96,13.89,87.15,0.8,0.01,0.4,0.75,0.3,0.29,0.28,0.34,25.74,0.1,2
"1981-01-20",762.99,11.6,-9.78,87.05,-0.37,-0.75,-1.13,-0.26,0.29,0.29,0.28,0.34,761.96,0,-42.53,86.6,-0.84,-1.2,-1.66,-0.68,0.29,0.29,0.28,0.34,765.79,55.17,1.96,87.31,0.24,-0.3,-0.13,0.55,0.3,0.29,0.28,0.34,4.09,0.19,1.97
"1981-01-21",772.76,21.04,-27.66,86.9,-0.41,-1.21,-0.86,0.27,0.3,0.29,0.28,0.34,766.38,0,-73.53,86.6,-1.87,-2.47,-1.2,-0.61,0.29,0.29,0.28,0.34,775.76,113.51,-1.11,87.16,0.69,-0.68,-0.51,0.94,0.3,0.29,0.28,0.34,11.31,0.41,1.94
"1981-01-22",780.67,22.07,-34.62,86.67,-0.99,-2.27,-0.41,0.63,0.3,0.29,0.28,0.34,775.79,0,-78.54,86.16,-2.68,-3.79,-1.27,-0.61,0.29,0.29,0.28,0.34,782.73,119.92,-2.84,87.33,0.36,-0.95,0.88,2.13,0.3,0.29,0.28,0.34,7.57,0.88,1.94
"1981-01-23",782.77,23.18,-47.11,87.51,-4.2,-4.89,0.27,0.08,0.29,0.29,0.27,0.34,782.72,0,-65.44,87.35,-6.04,-6.67,-0.15,-0.22,0.29,0.29,0.27,0.34,782.8,111.8,-22.16,87.72,-1.93,-3.27,0.79,0.37,0.29,0.29,0.28,0.34,0.1,0.31,1.93
"1981-01-24",782.68,26.37,-46.52,87.82,-5.29,-6.65,0.72,0.1,0.29,0.29,0.27,0.34,782.66,0,-85.64,87.72,-7.31,-8.01,0.37,-0.05,0.29,0.29,0.27,0.34,782.72,129.79,-14.62,87.93,-3.03,-6.09,1,0.26,0.29,0.29,0.27,0.34,0.02,0.51,1.9
"1981-01-25",782.66,25.45,-40.75,87.39,-8.9,-10.22,-0.62,-0.09,0.29,0.29,0.27,0.34,782.65,0,-75.84,86.67,-10.52,-11.81,-1.31,-0.68,0.29,0.29,0.27,0.34,782.7,121.21,-14.83,87.7,-6.08,-8.21,0.23,0.18,0.29,0.29,0.27,0.34,0.11,0.23,1.86
"1981-01-26",784.47,12.68,-17.94,86.23,-7.94,-9.38,-1.15,-0.42,0.29,0.29,0.27,0.34,782.71,0,-42.11,86.05,-9.57,-10.7,-1.41,-0.72,0.29,0.29,0.27,0.34,786,61.84,-1.06,86.6,-6.08,-8.33,-0.22,0.38,0.29,0.29,0.27,0.34,3.32,0.24,1.83
"1981-01-27",786.36,26.6,-42.74,86.39,-8.11,-9.52,-0.56,-0.02,0.29,0.29,0.27,0.34,786.02,0,-74.28,86.09,-10.01,-11.02,-1.03,-0.46,0.28,0.29,0.27,0.34,786.63,125.26,-12.13,86.59,-6.66,-8.72,-0.11,0.36,0.29,0.29,0.27,0.34,0.6,0.35,1.8
"1981-01-28",786.86,23.41,-32.56,86.32,-8.25,-9.7,-0.54,-0.33,0.28,0.29,0.27,0.34,786.64,0,-59.69,86.04,-9.8,-10.89,-0.88,-0.48,0.28,0.29,0.27,0.34,787.04,115.05,-5.2,86.89,-6.29,-8.62,-0.25,-0.15,0.28,0.29,0.27,0.34,0.39,0.29,1.77
"1981-01-29",787.12,34.12,-63.36,87.51,-9.29,-11.39,-0.39,-0.17,0.28,0.29,0.27,0.34,787.05,0,-93.91,86.93,-12.68,-14.21,-0.7,-0.44,0.28,0.29,0.27,0.34,787.16,160.83,-31.64,88,-5.46,-9.74,-0.2,0,0.28,0.29,0.27,0.34,0.09,0.52,1.74
"1981-01-30",787.17,35.53,-62,88.15,-9.96,-14.27,0.22,0.27,0.28,0.28,0.27,0.34,787.16,0,-82.99,88.01,-12.58,-18.6,-0.35,0.12,0.28,0.28,0.27,0.34,787.18,164.84,-39.39,88.46,-5.19,-12.28,1.04,0.35,0.28,0.29,0.27,0.34,0,0.67,1.7
"1981-01-31",787.18,35.74,-53.45,88.47,-8.52,-16.35,0.24,0.23,0.28,0.28,0.27,0.34,787.17,0,-76.1,88.38,-10.53,-18.58,-0.46,0.12,0.28,0.28,0.27,0.34,787.19,166.73,-37.24,88.56,-4.62,-12.95,1,0.35,0.28,0.28,0.27,0.34,0,0.53,1.67
"1981-02-01",787.22,28.24,-30.86,88.65,-8.27,-14.84,0.24,0.34,0.28,0.28,0.27,0.34,787.19,0,-51.79,88.47,-10.98,-18.72,-0.19,0.19,0.28,0.28,0.27,0.34,787.45,131.99,15.43,88.85,-5,-9.37,0.68,0.45,0.28,0.28,0.27,0.34,0.26,0.41,1.63
"1981-02-02",787.66,25.35,-14.44,88.83,-6.87,-8.01,0.04,0.16,0.28,0.28,0.27,0.34,787.55,0,-40.68,88.72,-8.76,-9.55,-0.77,-0.22,0.28,0.28,0.27,0.34,787.75,112.48,8.28,88.91,-3.79,-5.54,0.52,0.5,0.28,0.28,0.27,0.34,0.2,0.14,1.61
"1981-02-03",787.88,24.41,-16.34,88.68,-7.45,-8.97,-0.82,-0.19,0.28,0.28,0.27,0.34,787.76,0,-44.58,88.62,-8.84,-9.86,-1.09,-0.44,0.28,0.28,0.27,0.34,787.97,116.15,1.14,88.77,-4.67,-7.55,-0.53,0.03,0.28,0.28,0.27,0.34,0.2,0.49,1.57
"1981-02-04",788.03,30.78,-39.11,88.35,-8.23,-9.86,-0.92,-0.07,0.28,0.28,0.27,0.34,787.98,0,-68.71,88.2,-10.44,-11.62,-1.08,-0.18,0.28,0.28,0.27,0.34,788.06,139.17,-14.7,88.56,-5.12,-8.3,-0.54,0.06,0.28,0.28,0.27,0.34,0.08,0.43,1.54
"1981-02-05",788.07,41.34,-53.15,88.22,-6.72,-10.75,-0.11,0.07,0.28,0.28,0.27,0.34,788.06,0,-87.32,88.13,-10.05,-11.9,-0.71,-0.23,0.28,0.28,0.27,0.34,788.08,184.99,-24.35,88.36,-1.67,-9.63,0.32,0.28,0.28,0.28,0.27,0.34,0.02,1.27,1.52
"1981-02-06",788.08,41.42,-58.37,88.4,-4.85,-10.63,-0.1,0.07,0.28,0.28,0.27,0.34,788.07,0,-80.59,88.25,-7.32,-13,-0.77,-0.14,0.28,0.28,0.27,0.34,788.1,174.87,-20.48,88.53,-0.31,-7.59,0.33,0.39,0.28,0.28,0.27,0.34,0,0.92,1.48
"1981-02-07",788.1,43.13,-52.9,88.02,-6.22,-12.07,0.97,0.24,0.28,0.28,0.27,0.34,788.1,0,-81.34,87.9,-7.74,-14.94,0.09,-0.29,0.28,0.28,0.27,0.34,788.1,189.53,-39.68,88.32,-3.31,-8.93,1.5,0.57,0.28,0.28,0.27,0.34,0,1.08,1.45
"1981-02-08",788.12,47.04,-66.73,87.71,-6.55,-10.3,-0.49,-0.33,0.28,0.28,0.27,0.34,788.1,0,-98.1,87.59,-9.78,-11.85,-1.45,-0.86,0.28,0.28,0.27,0.34,788.15,194.65,-48.13,87.95,-2.6,-8.15,0.02,-0.02,0.28,0.28,0.27,0.34,0.02,1.02,1.42
"1981-02-09",788.3,50.58,-83.84,88.1,-17.1,-21.24,-1.79,-0.35,0.28,0.28,0.27,0.34,788.18,0,-107.84,87.64,-20.08,-23.97,-2.31,-0.71,0.28,0.28,0.27,0.34,788.43,211.17,-27.45,88.29,-11.03,-12.91,-0.42,0.27,0.28,0.28,0.27,0.34,0.35,1.24,1.37
"1981-02-10",788.17,45.66,-53.54,87.54,-15.14,-22.09,0.78,0.47,0.28,0.28,0.27,0.34,788.14,0,-86.36,87.15,-20.32,-26.01,-0.33,0.12,0.27,0.28,0.27,0.34,788.19,198.27,-7.53,87.88,-9.42,-17.89,1.21,0.63,0.28,0.28,0.27,0.34,0.03,1.1,1.33
"1981-02-11",788.48,37.23,-22.29,87.12,-10.14,-12.58,0.67,0.4,0.27,0.28,0.27,0.33,788.17,0,-57.02,87.04,-13.95,-20.09,0.1,0.31,0.27,0.28,0.27,0.33,788.75,151.97,7.82,87.19,-6.52,-9.35,1.21,0.53,0.27,0.28,0.27,0.34,0.51,0.37,1.32
"1981-02-12",791.19,18.86,-1.26,87.09,-7.54,-8.98,0.1,0.52,0.27,0.28,0.26,0.33,788.77,0,-30.31,87.02,-10.73,-12.05,-0.14,0.27,0.27,0.28,0.26,0.33,795.41,91.67,9.06,87.21,-5.27,-6.09,0.33,0.86,0.27,0.28,0.27,0.33,6.6,0.22,1.32
"1981-02-13",805.77,12.1,2.16,86.15,-5.03,-5.96,-0.63,0.45,0.27,0.28,0.26,0.33,795.58,0,-34.71,85.44,-5.94,-6.74,-0.98,-0.22,0.27,0.27,0.26,0.33,815.62,54.25,18.09,87.02,-3.46,-4.78,-0.14,0.94,0.27,0.28,0.26,0.33,20.15,0.08,1.31
"1981-02-14",826.49,19.65,-9.05,85.76,-3,-3.94,0.48,1.29,0.27,0.27,0.26,0.33,816.26,0,-28.68,85.29,-5.01,-5.76,-0.45,0.82,0.27,0.27,0.26,0.33,840.67,84.62,7.2,86.27,-0.77,-2.17,1.5,2.1,0.27,0.27,0.26,0.33,24.91,0.4,1.32
"1981-02-15",854.93,16.23,-14.5,85.99,-2.19,-3.04,0.74,1.19,0.27,0.27,0.26,0.33,842.7,0,-29.66,85.82,-3.25,-4.05,0.12,1.02,0.27,0.27,0.26,0.33,861.05,60.86,0.22,86.13,-0.56,-1.63,1.12,1.54,0.27,0.27,0.26,0.33,20.3,0.32,1.35
"1981-02-16",863.81,15.07,-16.14,85.57,-2.15,-2.93,0.08,0.19,0.27,0.27,0.26,0.33,861.1,0,-35.39,85.22,-3.46,-4.01,-0.96,-0.82,0.27,0.27,0.26,0.33,867.57,63.63,0.5,86.05,-0.65,-1.97,0.82,0.89,0.27,0.27,0.26,0.33,6.49,0.3,1.34
"1981-02-17",871.88,22.16,-21.22,85.97,-1.97,-3.05,0.29,1.3,0.27,0.27,0.26,0.33,867.61,0,-57.68,85.53,-3.62,-4.58,-0.47,0.68,0.27,0.27,0.26,0.33,879.15,101.3,-4.11,86.17,-0.31,-2.23,1.13,1.95,0.27,0.27,0.26,0.33,11.58,0.78,1.33
