"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",466.4,37.62,-72.77,90.64,-1.78,-3.98,-0.59,-1.43,0.38,0.39,0.39,0.42,466.36,0,-96.12,90.5,-4.2,-5.53,-0.72,-1.63,0.38,0.39,0.39,0.42,466.42,185.54,-56.03,90.85,2.47,-1.18,-0.45,-1.2,0.38,0.39,0.4,0.42,0,1.1,NA
"1981-01-02",466.36,38.08,-65.58,90.5,-2.67,-4.66,-0.51,-1.16,0.37,0.38,0.39,0.42,466.35,0,-86.12,90.45,-4.95,-6.5,-0.58,-1.31,0.37,0.38,0.39,0.42,466.37,186.13,-51.43,90.59,1.75,-1.36,-0.39,-0.88,0.38,0.39,0.39,0.42,0,1.07,NA
"1981-01-03",466.37,38.44,-61.56,90.54,-2.5,-4.41,-0.4,-1.03,0.37,0.38,0.38,0.42,466.35,0,-88.02,90.38,-5.18,-6.16,-0.56,-1.3,0.37,0.38,0.38,0.42,466.4,187.39,-40.16,90.83,1.86,-1.26,-0.22,-0.65,0.37,0.38,0.39,0.42,0,0.88,NA
"1981-01-04",466.43,15.02,-18.02,91.02,-1.48,-2.84,-0.25,-0.79,0.36,0.37,0.38,0.42,466.4,0,-51.64,90.82,-4,-4.76,-0.47,-1.18,0.36,0.37,0.37,0.42,466.46,67.7,18.4,91.14,1.13,-0.97,0.04,-0.38,0.37,0.37,0.38,0.42,0.02,0.47,NA
"1981-01-05",466.47,32.54,-40.47,90.85,-2.77,-4.24,-0.52,-1.18,0.36,0.37,0.37,0.42,466.46,0,-60.62,90.56,-5.66,-6.33,-0.64,-1.33,0.36,0.37,0.37,0.42,466.48,164.36,-14.58,91.14,1.38,-1.84,-0.36,-0.98,0.36,0.37,0.37,0.42,0,0.97,NA
"1981-01-06",468.54,15.34,-13.82,90.5,-0.34,-1.98,-0.24,-0.23,0.36,0.37,0.37,0.42,466.47,0,-43.22,90.39,-2.97,-4.12,-0.48,-1.02,0.36,0.36,0.37,0.42,469.64,81.78,9.67,90.58,1.77,0.09,0.42,0.78,0.36,0.37,0.37,0.42,3.09,0.43,NA
"1981-01-07",469.63,27.83,-45.95,90.16,-2.04,-3.82,-0.5,-0.86,0.36,0.36,0.36,0.42,469.62,0,-77.75,89.99,-4.18,-5.17,-0.63,-1.29,0.35,0.36,0.36,0.41,469.64,141.7,-17.16,90.5,1.96,-2.28,-0.24,-0.2,0.36,0.36,0.36,0.42,0,0.79,NA
"1981-01-08",470.45,22.25,-32.72,89.96,-2.14,-3.95,-0.66,-0.55,0.35,0.36,0.36,0.41,469.62,0,-62.04,89.81,-5.58,-6.42,-0.96,-1.2,0.35,0.36,0.36,0.41,474.54,94.82,8.57,90.27,1.16,-0.76,-0.41,1.01,0.35,0.36,0.36,0.41,4.92,0.35,NA
"1981-01-09",480.27,17.71,-19.72,90.65,-0.74,-1.22,-0.46,0.17,0.35,0.36,0.36,0.41,475.01,0,-41.71,90.3,-2.15,-2.92,-0.73,-0.89,0.35,0.36,0.35,0.41,483.32,99.43,0.4,90.85,0.44,-0.1,-0.12,0.79,0.35,0.36,0.36,0.41,8.85,0.32,NA
"1981-01-10",483.35,34.14,-54.81,90.72,-1.6,-3.29,-0.65,-1.13,0.35,0.36,0.35,0.41,483.32,0,-93.24,90.64,-4.48,-5.5,-0.81,-1.28,0.35,0.36,0.35,0.41,483.36,159.07,-18.47,90.82,1.91,-1.21,-0.5,-0.9,0.35,0.36,0.35,0.41,0.03,0.92,NA
"1981-01-11",483.34,39.29,-51.58,90.62,-1.99,-4.21,-0.63,-1.1,0.35,0.35,0.35,0.41,483.33,0,-84.85,90.55,-5.15,-6.47,-0.78,-1.4,0.35,0.35,0.35,0.41,483.36,193.85,-21.39,90.72,3.04,-0.89,-0.47,-0.75,0.35,0.35,0.35,0.41,0,1.3,NA
"1981-01-12",483.35,35.09,-47.79,90.69,0.06,-4.01,-0.48,-0.95,0.35,0.35,0.35,0.41,483.34,0,-77.6,90.53,-3.26,-5.96,-0.59,-1.21,0.35,0.35,0.34,0.41,483.38,177.07,-19.77,90.95,4.15,-0.35,-0.26,-0.53,0.35,0.35,0.35,0.41,0,1.15,NA
"1981-01-13",483.37,36.59,-48.74,90.92,-0.7,-3.7,-0.44,-1.1,0.34,0.35,0.34,0.41,483.35,0,-80.33,90.83,-3.99,-5.25,-0.56,-1.36,0.34,0.35,0.34,0.41,483.39,180.75,-15.12,90.99,2.85,-0.81,-0.27,-0.79,0.34,0.35,0.34,0.41,0,1.35,NA
"1981-01-14",483.27,40.89,-61.65,90.54,-2.88,-5.41,-0.62,-1.5,0.34,0.35,0.34,0.41,483.17,0,-86.3,90.34,-5.16,-7.14,-0.73,-1.62,0.34,0.35,0.34,0.41,483.35,195.88,-43.76,90.81,1.71,-3.11,-0.47,-1.32,0.34,0.35,0.34,0.41,0,2.03,NA
"1981-01-15",483.13,45.62,-69.31,90.12,-4.08,-6.85,-0.68,-1.33,0.34,0.35,0.34,0.41,483.08,0,-92.26,89.96,-7.03,-8.73,-0.85,-1.47,0.34,0.35,0.34,0.41,483.17,210.21,-55.77,90.37,1.21,-3.08,-0.49,-1,0.34,0.35,0.34,0.41,0,1.86,NA
"1981-01-16",483.06,45.59,-66.35,89.8,-4.87,-7.6,-0.72,-1.25,0.34,0.34,0.33,0.41,483.04,0,-88.2,89.67,-7.57,-9.74,-0.8,-1.47,0.34,0.34,0.33,0.41,483.07,210.26,-52.96,89.95,0.41,-3.79,-0.57,-0.9,0.34,0.35,0.34,0.41,0,1.7,NA
"1981-01-17",484.9,15.4,-14.15,89.77,-3.69,-5.46,-0.64,-0.7,0.34,0.34,0.33,0.41,483.04,0,-56.74,89.46,-7.29,-8.74,-0.81,-1.13,0.34,0.34,0.33,0.41,488.36,89.32,11.27,90.24,0.42,-2.68,-0.09,0.28,0.34,0.34,0.33,0.41,5.31,0.26,NA
"1981-01-18",495.45,7.24,5.78,90.12,-0.16,-1.08,-0.79,-0.77,0.35,0.34,0.33,0.41,488.5,0,-16.65,90.06,-3.31,-3.94,-0.88,-1.12,0.34,0.34,0.33,0.41,503.01,34.26,16.38,90.21,1.88,0.93,-0.7,-0.55,0.38,0.35,0.33,0.41,20.11,0.17,NA
"1981-01-19",500.92,21.91,-2.64,90.01,3.4,2.09,-0.58,-0.29,0.41,0.37,0.33,0.41,498.12,0,-28.42,89.84,1.25,0.81,-0.82,-1.05,0.38,0.35,0.33,0.41,503.09,109.94,15.5,90.16,6.35,3.56,-0.19,1.05,0.43,0.4,0.33,0.41,14.37,0.42,NA
"1981-01-20",494.67,39.55,-17.55,89.95,2.76,1.75,-0.82,-0.67,0.42,0.41,0.34,0.41,490.59,0,-81.82,89.74,1.19,0.86,-0.99,-0.98,0.41,0.4,0.33,0.41,497.96,189.24,10.69,90.22,4.43,3.61,-0.63,0.12,0.43,0.42,0.34,0.41,7.33,1.28,NA
"1981-01-21",486.24,29.94,-6.88,89.96,3.29,2.19,-0.79,-0.54,0.42,0.42,0.37,0.41,481.41,0,-54.55,89.53,2.03,0.92,-1.09,-1.46,0.41,0.42,0.34,0.4,490.42,154.61,14.69,90.34,4.9,4.1,-0.56,0.62,0.43,0.43,0.38,0.41,30.27,0.9,NA
"1981-01-22",477.91,11.61,3.56,89.71,2.65,2.1,-0.68,-0.24,0.42,0.42,0.4,0.41,475.06,0,-9.15,89.48,1.05,0.53,-1.32,-1.07,0.41,0.42,0.38,0.4,481.18,59.9,14.32,89.96,4.31,4.17,-0.27,1.58,0.43,0.43,0.41,0.41,24.04,0.05,NA
"1981-01-23",476.62,9.87,0.57,89.69,1.15,0.6,-0.03,-0.21,0.42,0.42,0.41,0.41,475.18,0,-12,89.53,0.05,-0.05,-0.57,-0.95,0.41,0.42,0.41,0.41,479.32,77.09,6.62,89.92,3.37,1.28,0.54,0.43,0.42,0.42,0.42,0.41,14.91,0.43,NA
"1981-01-24",480.44,28.71,-21.25,90.13,-0.56,-1.63,0.26,0.56,0.4,0.41,0.42,0.41,479.55,0,-54.72,89.92,-2.37,-3.7,-0.1,0.26,0.39,0.4,0.41,0.41,480.73,140.1,2.46,90.25,0.55,0.22,0.6,0.92,0.41,0.42,0.42,0.41,1.94,1.92,NA
"1981-01-25",480.89,29.43,-34.4,90.03,-2.09,-3.23,-0.2,0.34,0.38,0.39,0.41,0.41,480.55,0,-51.34,89.31,-3.6,-4.56,-0.82,-0.58,0.38,0.39,0.41,0.41,481.18,146.96,-15.7,90.26,-0.24,-2.48,0.34,1.15,0.39,0.4,0.41,0.41,0.95,1.48,NA
"1981-01-26",488.53,8.5,-16.53,88.9,-2.37,-3.17,-0.63,0.09,0.38,0.38,0.41,0.41,481.18,0,-37.21,88.51,-3.73,-4.39,-0.91,-0.69,0.37,0.38,0.41,0.41,497.66,34.46,-3.38,89.3,-1.36,-1.91,-0.22,1.39,0.38,0.39,0.41,0.41,16.63,0.39,NA
"1981-01-27",497.83,46.9,-51.97,88.87,-3.02,-5.32,-0.67,-0.74,0.37,0.38,0.41,0.41,497.73,0,-100.08,88.31,-5.19,-6.63,-0.81,-1.22,0.37,0.37,0.41,0.41,497.95,225.75,-11.13,89.32,-0.8,-3.15,-0.49,0.39,0.37,0.38,0.41,0.41,0.45,2.45,NA
"1981-01-28",506.16,17.96,-9.68,88.43,-1.68,-2.56,-0.53,-0.61,0.36,0.37,0.41,0.41,498.2,0,-23.89,88.23,-3.3,-4.13,-0.78,-0.77,0.36,0.37,0.4,0.41,511.37,99.98,2.28,88.84,-0.06,-1.05,-0.23,-0.3,0.37,0.37,0.41,0.41,13.37,0.58,NA
"1981-01-29",512.1,22.15,-23.82,89.44,-1.45,-2.43,-0.23,-0.48,0.36,0.37,0.4,0.41,511.48,0,-43.93,88.87,-3.54,-3.96,-0.45,-0.82,0.36,0.36,0.4,0.41,513.04,88.62,-10.19,90.08,0.84,-1.21,0.21,0.11,0.36,0.37,0.4,0.41,1.64,1.01,NA
"1981-01-30",513,50.06,-56.04,90.43,-2.83,-4.55,-0.16,-0.64,0.36,0.36,0.4,0.41,512.94,0,-89.12,90.07,-5.18,-5.63,-0.52,-1.12,0.35,0.36,0.4,0.41,513.05,213.08,-25.74,90.83,0.18,-3.6,0.59,0.18,0.36,0.36,0.4,0.41,0,2.82,NA
"1981-01-31",512.94,35.74,-37.62,90.97,-3.58,-4.88,-0.07,-0.18,0.35,0.36,0.4,0.41,512.92,0,-60.67,90.85,-6.05,-6.6,-0.48,-0.58,0.35,0.36,0.39,0.41,512.95,166.07,-17.47,91.1,-1.21,-3.62,0.59,0.59,0.35,0.36,0.4,0.41,0.05,1.91,NA
"1981-02-01",512.92,30.65,-28.97,91.19,-3.43,-5,-0.02,-0.22,0.35,0.36,0.39,0.41,512.89,0,-44.98,91.09,-5.66,-6.67,-0.29,-0.58,0.35,0.36,0.39,0.41,512.94,136.07,-7.27,91.29,-0.77,-3.83,0.58,0.39,0.35,0.36,0.39,0.41,0.01,1.8,NA
"1981-02-02",512.87,55.71,-56.06,91.2,-2.96,-6.12,-0.26,-0.67,0.35,0.35,0.39,0.41,512.83,0,-95.76,91.07,-6.55,-8.04,-0.49,-1.16,0.35,0.35,0.39,0.41,512.9,238.15,-9.83,91.29,1.84,-4.35,0.18,-0.2,0.35,0.36,0.39,0.41,0,3.55,NA
"1981-02-03",512.84,60.04,-66.76,90.91,-4.95,-7.52,-0.48,-1.07,0.35,0.35,0.39,0.41,512.83,0,-93.06,90.74,-9.71,-10.66,-0.6,-1.3,0.35,0.35,0.38,0.41,512.85,255.08,-42.12,91.05,2.21,-3.97,-0.29,-0.52,0.35,0.35,0.39,0.41,0,2.58,NA
"1981-02-04",512.83,60.17,-63.32,90.57,-5.71,-8.28,-0.42,-1.02,0.34,0.35,0.38,0.41,512.82,0,-91.89,90.5,-9.49,-10.52,-0.6,-1.35,0.34,0.35,0.38,0.41,512.85,251.24,-37.97,90.72,0.4,-5.69,-0.15,-0.3,0.35,0.35,0.38,0.41,0,2.65,NA
"1981-02-05",512.8,62.88,-68.41,90.46,-6.92,-9.7,-0.37,-0.99,0.34,0.35,0.38,0.41,512.76,0,-96.52,90.38,-11.23,-12.44,-0.51,-1.22,0.34,0.35,0.38,0.41,512.82,263.69,-37.88,90.53,-0.13,-6.57,0.02,-0.42,0.34,0.35,0.38,0.41,0,3.17,NA
"1981-02-06",512.73,62.22,-64.41,90.67,-6.9,-10.09,-0.36,-0.99,0.34,0.35,0.38,0.41,512.68,0,-95.79,90.54,-10.69,-12.1,-0.55,-1.31,0.34,0.35,0.37,0.41,512.77,248.24,-27.4,90.8,0.07,-6.87,0.2,-0.35,0.34,0.35,0.38,0.41,0,3.09,NA
"1981-02-07",512.6,57.63,-56.22,90.45,-6.5,-9.91,-0.21,-0.58,0.34,0.35,0.37,0.41,512.56,0,-79.15,90.19,-11.42,-12.81,-0.52,-1.24,0.34,0.35,0.37,0.41,512.67,258.03,-36.76,90.71,-0.54,-6.55,0.51,0.44,0.34,0.35,0.37,0.41,0,3.88,NA
"1981-02-08",512.55,67.99,-64.99,89.82,-5.89,-9.28,-0.3,-0.76,0.34,0.35,0.37,0.41,512.53,0,-93.16,89.35,-11.11,-12.63,-0.52,-1.14,0.34,0.34,0.37,0.41,512.56,278.24,-44.78,90.23,0.85,-5.5,0.25,0,0.34,0.35,0.37,0.41,0,3.72,NA
"1981-02-09",512.37,69.46,-76.27,89.74,-9.89,-15.96,-0.73,-1.55,0.34,0.34,0.37,0.41,511.99,0,-117.63,89.26,-15.19,-21.42,-0.97,-2.11,0.34,0.34,0.36,0.41,512.55,293.88,-11.96,90.46,-7.24,-9.82,-0.45,-1.06,0.34,0.34,0.37,0.41,0.03,5.04,NA
"1981-02-10",511.85,71.99,-81.35,90.26,-12.62,-19.62,-0.41,-0.76,0.34,0.34,0.36,0.41,511.75,0,-97.98,89.88,-18.26,-22.21,-0.63,-1.34,0.34,0.34,0.36,0.41,511.97,293.96,-62.3,90.51,-6.54,-17.27,0.03,0.23,0.34,0.34,0.36,0.41,0,3.46,NA
"1981-02-11",511.91,69.97,-50.54,89.88,-9.59,-16.62,-0.42,-0.55,0.34,0.34,0.36,0.41,511.7,0,-105.62,89.76,-13.9,-21.99,-0.62,-0.95,0.34,0.34,0.36,0.41,512.81,306.97,15.57,90,-4.51,-10.37,-0.14,0.63,0.34,0.34,0.36,0.41,1.12,4.01,NA
