"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",602.16,29.7,-67.12,90.84,-6.25,-10.73,-0.96,-1.12,0.38,0.39,0.41,0.43,602.14,0,-82.93,90.67,-10.23,-13.84,-1.04,-1.25,0.37,0.38,0.41,0.43,602.18,148.46,-53.58,91.05,-2.29,-5.41,-0.79,-0.87,0.38,0.39,0.42,0.43,0,0.45,NA
"1981-01-02",602.14,29.55,-51.96,90.55,-4.98,-11.57,-1.19,-0.92,0.37,0.38,0.4,0.43,602.13,0,-73.44,90.5,-6.76,-14.35,-1.34,-1.13,0.37,0.38,0.4,0.43,602.15,147.71,-41.29,90.65,-1.85,-6.01,-1.05,-0.64,0.37,0.38,0.41,0.43,0,0.2,NA
"1981-01-03",602.17,21.95,-18.61,90.72,-3.45,-6.96,-0.93,-0.84,0.37,0.38,0.4,0.43,602.14,0,-43.76,90.57,-6.11,-10.7,-1.21,-1.05,0.37,0.37,0.39,0.43,602.2,123.92,9.54,91.02,-0.02,-3.41,-0.66,-0.49,0.37,0.38,0.4,0.43,0,0.12,NA
"1981-01-04",603.72,9.68,-4.41,91.22,-1.05,-3.14,-0.79,-0.6,0.37,0.37,0.39,0.43,602.2,0,-44.96,90.95,-3.01,-5.66,-1.04,-0.85,0.36,0.37,0.39,0.43,604.66,51.58,30,91.39,0.78,-0.92,-0.55,-0.38,0.37,0.37,0.39,0.43,2.46,0.01,NA
"1981-01-05",605.11,13.14,-4.89,90.93,-0.86,-2.26,-1.02,-0.56,0.36,0.37,0.39,0.43,604.66,0,-38.72,90.55,-3.96,-4.41,-1.27,-0.94,0.36,0.37,0.38,0.43,607.26,64.73,11.57,91.29,1.53,-0.57,-0.83,-0.18,0.36,0.37,0.39,0.43,2.79,0.18,NA
"1981-01-06",613.79,7.53,-3.68,90.61,0.49,-0.24,-0.63,0.2,0.37,0.37,0.38,0.43,607.49,0,-22.61,90.36,-0.83,-1.35,-0.96,-0.47,0.36,0.37,0.38,0.43,616.06,36,12.03,90.77,1.37,0.41,-0.25,0.72,0.37,0.37,0.38,0.43,10.12,0.09,NA
"1981-01-07",616.56,13.92,-21.83,90.29,-0.68,-1.85,-0.72,-0.27,0.36,0.37,0.37,0.42,616.07,0,-44.4,90.08,-2.47,-3.06,-1,-0.66,0.36,0.37,0.37,0.42,617.77,83.34,-3.22,90.66,1.45,-1.19,-0.33,0.45,0.37,0.37,0.38,0.43,1.77,0.55,NA
"1981-01-08",619.58,14.83,-32.51,89.67,-0.96,-3.03,-1.3,-0.12,0.36,0.37,0.37,0.42,617.76,0,-58.64,89.37,-2.95,-4.63,-1.71,-0.8,0.36,0.37,0.37,0.42,627.1,73.28,2.37,90.05,2.26,-1.15,-1.07,0.8,0.37,0.37,0.37,0.42,10.15,0.21,NA
"1981-01-09",632.39,19.44,-27.91,90.51,-1.22,-2.61,-0.94,0.48,0.36,0.37,0.37,0.42,627.82,0,-51.36,89.89,-2.61,-3.87,-1.21,-0.13,0.36,0.37,0.36,0.42,633.7,94.1,-5.8,90.83,0.88,-1.15,-0.71,1,0.37,0.37,0.37,0.42,7.13,0.61,NA
"1981-01-10",635.5,19.18,-31.83,90.72,-0.36,-2.01,-1.11,-0.24,0.36,0.37,0.36,0.42,633.88,0,-78.11,90.62,-2.16,-5.08,-1.21,-0.76,0.36,0.37,0.36,0.42,636.2,108.11,-1.33,90.84,2.13,-0.26,-1,0.15,0.37,0.37,0.36,0.42,2.68,0.27,NA
