"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",49.04,44.57,-62.35,92.82,2.44,-1.59,0.81,0.39,0.3,0.3,0.31,0.36,48.42,0,-98.3,92.67,-1.15,-4.02,0.18,-0.04,0.29,0.3,0.3,0.36,49.51,217.82,-42.59,93,5.68,2.71,1.25,0.83,0.3,0.31,0.32,0.36,0,1.47,8.01
"1981-01-02",47.98,44.35,-57.71,92.62,1.07,-1.97,0.55,0.74,0.29,0.3,0.3,0.36,47.42,0,-93.42,92.55,-1.63,-4.47,-0.37,0.38,0.29,0.3,0.29,0.35,48.42,217.99,-37.3,92.69,5.07,1.96,1.07,1.03,0.29,0.3,0.3,0.36,0,1.43,5.84
"1981-01-03",47.07,31.94,-32.51,92.73,0.64,-0.9,0.78,0.57,0.29,0.29,0.28,0.35,46.58,0,-62.15,92.55,-1.99,-2.7,-0.12,0.17,0.28,0.29,0.28,0.35,47.42,161.11,5.24,93.08,5.11,2.21,1.2,0.84,0.29,0.3,0.29,0.35,0.13,1.03,4.52
"1981-01-04",45.58,12.2,-0.07,93.29,2.55,1.55,0.34,0.33,0.29,0.29,0.27,0.35,44.28,0,-15,93.06,1.63,0.08,-0.03,-0.25,0.28,0.29,0.27,0.35,46.75,63.2,13.31,93.45,4.12,3.09,0.74,0.86,0.3,0.29,0.28,0.35,0.32,0.4,3.52
"1981-01-05",43.65,25.37,-21.97,93.02,1.59,0.86,0.26,0.49,0.29,0.29,0.26,0.35,42.68,0,-34.89,92.69,-0.55,-0.86,-0.68,0.19,0.28,0.29,0.26,0.35,44.28,135.08,-7.85,93.33,4.09,2.38,0.91,0.91,0.3,0.29,0.27,0.35,1.59,0.93,2.69
"1981-01-06",41.34,24.8,-10.37,92.73,2.4,1.81,0.09,0.51,0.31,0.3,0.26,0.35,40.08,0,-49.55,92.54,1.33,0.83,-0.87,-0.1,0.3,0.29,0.25,0.35,42.74,125.17,7.8,92.88,4.57,3.15,0.57,1.05,0.32,0.3,0.26,0.35,4.04,0.81,2.32
"1981-01-07",39.94,23.77,-25.27,92.36,1.42,0,-0.06,0.44,0.29,0.3,0.25,0.35,39.74,0,-48.03,92.13,-0.32,-1.05,-0.8,0.13,0.29,0.29,0.25,0.34,40.09,144.06,-12.51,92.74,3.17,1.48,0.68,0.8,0.3,0.3,0.25,0.35,0.02,1.59,2.49
"1981-01-08",40.86,23.82,-17.23,91.89,1.17,-0.15,-0.84,1.19,0.3,0.29,0.25,0.34,39.6,0,-36.39,91.62,-0.79,-2.02,-1.83,0.67,0.28,0.29,0.24,0.34,44.83,132.97,7.41,92.17,4.16,2.04,0.13,1.88,0.34,0.3,0.25,0.34,12.9,1.54,2.35
"1981-01-09",48.75,23.36,-10.36,92.71,1.79,1.38,-0.94,0.96,0.32,0.3,0.24,0.34,45.4,0,-35.6,92.18,0.85,0.47,-1.3,0.5,0.31,0.3,0.24,0.34,50.63,116.35,7.13,93,3.27,2.31,-0.59,1.57,0.32,0.31,0.24,0.34,9.57,0.97,2.58
"1981-01-10",47.68,39.91,-35.06,92.83,1.8,0.89,0.02,0.56,0.31,0.3,0.24,0.34,46.75,0,-86.47,92.75,-0.62,-2.16,-0.8,0.18,0.3,0.3,0.24,0.34,48.49,196.86,-1.1,92.97,4.21,2.18,0.84,0.82,0.31,0.31,0.24,0.34,0.3,1.26,2.55
"1981-01-11",46.41,34.68,-36.5,92.66,2.44,-1.27,0.13,0.96,0.29,0.29,0.24,0.34,45.92,0,-65.04,92.59,-0.05,-3.08,-0.9,0.73,0.29,0.29,0.24,0.34,46.75,174.07,-15.69,92.76,5.24,1.28,0.72,1.31,0.3,0.3,0.24,0.34,0,1.79,2.38
"1981-01-12",45.23,37.01,-26.4,92.76,4.41,-0.53,-0.29,1.02,0.29,0.29,0.24,0.34,43.93,0,-79.54,92.61,3.39,-2.39,-1.05,0.72,0.28,0.29,0.24,0.34,45.96,184.14,7.95,93.02,5.95,1.39,0.3,1.44,0.3,0.29,0.24,0.34,0.4,2.23,2.2
"1981-01-13",42.04,15.42,-9.07,93.06,4.49,1.95,0.22,0.8,0.3,0.29,0.24,0.34,40.7,0,-53.8,93,1.95,0.3,-0.32,0.31,0.29,0.29,0.24,0.33,43.82,72.23,12.78,93.15,6.16,3.19,1.08,1.25,0.3,0.29,0.24,0.34,0.23,0.9,1.99
"1981-01-14",40.14,53.42,-63.58,92.64,3.87,-0.24,0.41,0.51,0.29,0.29,0.23,0.33,39.36,0,-95.5,92.38,1.37,-3.06,-0.52,0.03,0.28,0.28,0.23,0.33,40.7,253.18,-38.51,92.95,6.61,2.42,1.12,0.82,0.29,0.29,0.23,0.33,0,2.54,1.9
"1981-01-15",39.15,52.81,-60.18,92.19,3.58,-2.68,0.11,0.57,0.28,0.28,0.23,0.33,38.87,0,-87.52,92.01,2.41,-4.81,-0.71,0.12,0.28,0.28,0.23,0.33,39.36,248.97,-43.58,92.41,5.18,0.98,0.43,0.88,0.28,0.28,0.23,0.33,0,2.95,1.77
"1981-01-16",38.68,52.73,-58.07,91.85,3.28,-2.99,-0.23,0.63,0.27,0.28,0.23,0.33,38.39,0,-89.72,91.67,0.69,-5.61,-1.01,0.29,0.27,0.27,0.23,0.33,38.91,246.4,-36.55,92.01,5.16,0.92,0.4,0.98,0.28,0.28,0.23,0.33,0.11,2.85,1.66
"1981-01-17",40.2,8.79,-2.32,91.72,1.37,0.11,-1.12,0.97,0.28,0.27,0.23,0.33,38.4,0,-34.46,91.38,0.22,-3.04,-1.64,0.63,0.27,0.27,0.23,0.33,41.79,44.63,6.53,92.1,2.09,1.97,-0.45,1.45,0.3,0.28,0.23,0.33,7.66,0.31,1.71
"1981-01-18",40,5.46,5.62,91.85,3.41,3.27,-1.7,1.33,0.35,0.32,0.23,0.33,37.46,0,1.81,91.79,1.97,1.86,-2.03,0.94,0.3,0.28,0.23,0.33,41.44,34.72,8.84,92.03,5.41,5.24,-1.43,1.79,0.37,0.35,0.25,0.33,39.7,0.61,10.59
"1981-01-19",34.56,5.35,5.2,91.9,4.76,4.69,-1.19,1.41,0.37,0.36,0.27,0.33,32.02,0,2.39,91.8,4.07,4.02,-1.4,1.04,0.35,0.35,0.25,0.33,37.22,33.34,7.94,92.12,5.38,5.28,-0.74,1.77,0.38,0.37,0.3,0.33,38.13,0.38,26.19
"1981-01-20",29.6,27.1,-3.7,91.76,4.57,4.3,-1.73,1.11,0.35,0.35,0.3,0.33,26.65,0,-32.84,91.43,3.64,3.52,-2.45,0.68,0.33,0.34,0.3,0.33,31.88,173.45,7.16,92.16,6.01,4.84,-1.28,1.63,0.37,0.36,0.31,0.33,22.06,1.19,18.86
"1981-01-21",23.99,19.13,-0.91,91.78,4.3,4.11,-1.14,1.24,0.36,0.36,0.33,0.33,22.17,0,-30.15,91.21,3.62,3.49,-2.17,0.4,0.33,0.34,0.31,0.33,26.4,92,13.16,92.24,5.22,4.88,-0.04,1.88,0.38,0.37,0.33,0.33,26.6,0.8,39.21
"1981-01-22",20.33,47.39,-33.01,91.72,3.68,1.9,-0.24,1.03,0.35,0.35,0.34,0.33,19.47,0,-87.44,91.05,-0.25,-2.86,-2.3,0.14,0.32,0.33,0.33,0.33,22.04,210.57,9.67,92.16,5.55,5.32,1.37,2.22,0.38,0.37,0.35,0.34,20.95,3.68,37.5
"1981-01-23",19.34,50.23,-59.37,92.02,0.06,-2.61,1.06,0.27,0.3,0.31,0.34,0.34,19.19,0,-87.97,91.81,-2.47,-4.27,0.53,-0.75,0.3,0.3,0.34,0.34,19.47,227.31,-20.75,92.26,4.48,-0.48,1.39,0.67,0.31,0.33,0.34,0.34,0,3.35,15.03
"1981-01-24",19.12,45.45,-41.24,92.5,-0.92,-3.27,0.41,0.09,0.29,0.3,0.33,0.34,19.05,0,-69.65,92.32,-3.23,-4.49,-0.67,-0.65,0.28,0.29,0.33,0.34,19.19,216.07,-19.56,92.62,2.34,-1.9,1.41,0.62,0.29,0.3,0.34,0.34,0.01,3.59,8.01
"1981-01-25",19.34,22.12,-13.44,92.22,0.09,-0.85,-1.03,0.66,0.28,0.29,0.32,0.34,19.05,0,-31.61,91.24,-1.06,-1.9,-2.22,0.2,0.28,0.28,0.32,0.34,20.4,123.77,6.94,92.57,1.7,0.03,0.28,1.1,0.28,0.29,0.33,0.34,2.76,1.24,5.32
"1981-01-26",31.36,19.55,-15.63,90.95,-0.45,-1.15,-1.09,0.89,0.28,0.28,0.31,0.34,21.03,0,-57.84,90.55,-1.89,-2.9,-2.42,0.25,0.28,0.28,0.31,0.34,35.83,98.03,1.77,91.44,1.14,0.13,0.24,1.56,0.29,0.28,0.32,0.34,17.74,1.46,5.15
"1981-01-27",35.58,47.43,-39.71,91.08,-1.7,-3.39,0.1,0.18,0.28,0.28,0.31,0.34,35.26,0,-65.19,90.52,-3.62,-4.75,-0.82,-0.73,0.28,0.28,0.3,0.34,35.92,218.62,-4.32,91.45,0.88,-2.04,1.1,1.26,0.28,0.28,0.31,0.34,0.22,2.39,4.21
