"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",303.99,13.94,-39.92,89.07,-11.04,-13.36,-0.05,0.08,0.33,0.33,0.33,0.4,303.94,0,-61.05,88.9,-12.31,-15.52,-0.51,-0.11,0.33,0.33,0.33,0.4,304.07,82.4,-7.07,89.32,-9.55,-11.2,0.25,0.45,0.33,0.33,0.33,0.4,0.13,0.02,0.85
"1981-01-02",304.08,14.68,-33.67,88.67,-11.11,-15.56,-0.11,0.12,0.33,0.33,0.33,0.4,304.07,0,-60.32,88.56,-11.95,-16.55,-0.35,-0.04,0.33,0.33,0.33,0.4,304.09,80.64,-11.89,88.87,-9.97,-14.68,0.07,0.34,0.33,0.33,0.33,0.4,0.02,0,0.83
"1981-01-03",304.45,8.16,6.39,88.59,-10.13,-14.13,-0.29,0.36,0.33,0.33,0.33,0.39,304.09,0,-39.62,88.48,-11.87,-16.92,-0.5,0.18,0.33,0.33,0.33,0.39,305.34,43.17,36.5,88.68,-8.27,-10.36,-0.11,0.54,0.33,0.33,0.33,0.4,1.24,0.02,0.81
"1981-01-04",306.78,7.86,5.09,88.87,-6.9,-8.49,0.09,0.3,0.33,0.33,0.33,0.39,305.44,0,-18.72,88.69,-8.11,-10.16,-0.59,-0.03,0.33,0.33,0.33,0.39,307.78,52.15,16.69,89.14,-5.68,-6.73,0.66,0.63,0.33,0.33,0.33,0.39,2.43,-0.02,0.8
"1981-01-05",308.26,8.35,-6.87,88.92,-7.02,-8.45,-0.2,0.05,0.33,0.33,0.33,0.39,307.79,0,-26,88.33,-8.8,-9.72,-0.76,-0.43,0.33,0.33,0.33,0.39,310.51,47.78,8.76,89.23,-5.71,-7.56,0.52,0.83,0.33,0.33,0.33,0.39,2.72,-0.01,0.78
"1981-01-06",312.86,7.45,-8.59,88.1,-6.04,-7.18,-0.14,0.56,0.33,0.33,0.33,0.39,311.55,0,-30.58,87.87,-7.11,-8.08,-1.05,0.4,0.33,0.33,0.33,0.39,313.77,41.74,7.61,88.41,-4.84,-5.79,0.66,0.79,0.33,0.33,0.33,0.39,3.25,-0.02,0.76
"1981-01-07",315.66,9.73,-7.82,88.17,-4.55,-5.34,-0.4,0.21,0.33,0.33,0.33,0.39,313.78,0,-19.12,88.02,-5.61,-6.36,-0.71,-0.07,0.33,0.33,0.33,0.39,317.63,54.58,-0.32,88.38,-3.66,-4.31,0.01,0.68,0.33,0.33,0.33,0.39,3.83,0,0.75
"1981-01-08",317.99,9.18,-13.35,87.98,-5.04,-5.85,-0.73,-0.1,0.33,0.33,0.33,0.39,317.67,0,-30.4,87.53,-5.77,-6.64,-1.01,-0.31,0.33,0.33,0.33,0.39,318.72,53.99,1.63,88.19,-4.06,-4.93,-0.29,0.26,0.33,0.33,0.33,0.39,1.06,0,0.75
"1981-01-09",321.33,15.57,-31.76,88,-5.82,-7,-0.77,0.65,0.33,0.33,0.33,0.39,319.2,0,-74.13,87.48,-7.17,-8.25,-1.13,-0.08,0.33,0.33,0.33,0.39,321.77,94.77,-1.46,88.58,-4.71,-6.02,-0.05,1.21,0.33,0.33,0.33,0.39,3.03,0.12,0.73
"1981-01-10",325.31,6.39,-11.86,88.53,-5.98,-6.93,-0.9,0.46,0.33,0.33,0.33,0.39,321.77,0,-38.38,88.39,-6.84,-7.66,-1.1,-0.12,0.33,0.33,0.33,0.39,328.72,34.1,3.84,88.64,-5.23,-6.31,-0.44,0.77,0.33,0.33,0.33,0.39,6.93,-0.02,0.72
"1981-01-11",328.97,9.62,-21.76,88.55,-5.88,-7.13,-0.52,0.14,0.33,0.33,0.32,0.39,328.79,0,-61.02,88.34,-6.71,-7.96,-0.87,-0.3,0.33,0.33,0.32,0.39,329.41,50.57,0.37,88.74,-5.04,-6.35,-0.2,0.64,0.33,0.33,0.33,0.39,0.68,-0.02,0.71
"1981-01-12",329.91,11.93,-11.46,88.57,-5.17,-7.25,-0.38,0.14,0.33,0.33,0.32,0.39,329.52,0,-29.65,88.43,-5.94,-8.07,-0.62,-0.35,0.33,0.33,0.32,0.39,331.13,73.69,5.04,88.72,-4.09,-5.55,-0.14,0.52,0.33,0.33,0.32,0.39,1.72,0.07,0.7
"1981-01-13",331.34,15.68,-28.02,88.88,-4.53,-6.42,-0.38,0.12,0.33,0.33,0.32,0.39,331.2,0,-77.92,88.61,-5.2,-7.19,-0.62,-0.26,0.33,0.33,0.32,0.39,331.85,85.91,-3.94,89.09,-3.75,-5.58,-0.22,0.56,0.33,0.33,0.32,0.39,0.7,0.05,0.69
"1981-01-14",331.88,16.37,-42.37,88.93,-5.41,-6.94,-0.26,-0.18,0.33,0.33,0.32,0.39,331.87,0,-66.02,88.77,-7.45,-8.98,-0.52,-0.44,0.33,0.33,0.32,0.39,331.88,92.88,-2.83,89.06,-3.59,-6.16,-0.01,0.12,0.33,0.33,0.32,0.39,0.03,-0.02,0.66
"1981-01-15",331.89,24.27,-49.01,88.41,-7.18,-10.12,-0.19,-0.09,0.33,0.33,0.32,0.39,331.89,0,-74.19,88.16,-8.6,-11.08,-0.47,-0.4,0.33,0.33,0.32,0.39,331.9,128.5,-29.4,88.75,-5.19,-9.19,0,0.33,0.33,0.33,0.32,0.39,0,-0.01,0.64
"1981-01-16",331.9,25.04,-41.72,88.02,-8.13,-11.39,-0.09,-0.23,0.33,0.33,0.32,0.39,331.9,0,-63.9,87.89,-9.43,-12.55,-0.34,-0.44,0.33,0.33,0.32,0.39,331.92,130.72,-19.65,88.14,-6.65,-10.8,0.17,0.17,0.33,0.33,0.32,0.39,0.01,0.01,0.6
"1981-01-17",332.15,25.81,-35.25,87.61,-9.54,-13.08,-0.14,-0.13,0.33,0.33,0.32,0.39,331.92,0,-73.18,87.43,-11.39,-14.02,-0.48,-0.58,0.33,0.33,0.32,0.39,332.25,136.08,3.74,87.88,-7.69,-12.37,0.2,0.52,0.33,0.33,0.32,0.39,0.33,0.05,0.56
"1981-01-18",334.32,10.67,2.59,87.6,-8.07,-10.47,-0.7,0.05,0.33,0.33,0.32,0.39,332.25,0,-43.34,87.34,-10.49,-14,-1.04,-0.74,0.33,0.33,0.32,0.39,338.82,70.43,20.94,87.96,-5.39,-6.65,0.13,0.42,0.33,0.33,0.32,0.39,6.55,-0.02,0.53
"1981-01-19",345.13,9.71,0.89,87.51,-3.59,-4.57,-0.33,0.17,0.33,0.33,0.32,0.39,339.11,0,-22.06,87.4,-5.3,-6.51,-1.18,-0.27,0.33,0.33,0.32,0.39,352.95,50.34,18.87,87.68,-2.3,-2.84,0.46,0.58,0.33,0.33,0.32,0.39,14.14,-0.05,0.51
"1981-01-20",353.27,14.31,-12.69,87.93,-3.95,-4.97,-0.42,-0.23,0.33,0.33,0.32,0.39,353.02,0,-39.09,87.55,-4.62,-5.6,-1.05,-0.75,0.32,0.33,0.32,0.39,353.59,80.73,5.57,88.26,-2.66,-4.28,0.52,0.37,0.33,0.33,0.32,0.39,0.6,0.16,0.5
"1981-01-21",357.16,20.56,-29.24,87.66,-1.64,-3.11,-0.99,0.39,0.32,0.33,0.32,0.39,353.68,0,-81.1,87.46,-3.02,-4.08,-1.28,-0.75,0.32,0.33,0.32,0.39,358.93,116.21,8.25,87.87,-0.19,-2.26,-0.62,1.03,0.32,0.33,0.32,0.39,5.3,0.11,0.5
"1981-01-22",363.92,14.83,-29.43,87.32,-2.42,-3.41,-0.56,0.63,0.32,0.33,0.32,0.39,358.93,0,-78.82,86.96,-4.5,-5.65,-1.13,-0.76,0.32,0.33,0.32,0.39,367.83,79.55,10.73,87.82,-0.2,-0.95,0.08,1.7,0.32,0.33,0.32,0.39,8.86,0.04,0.5
"1981-01-23",367.92,23.65,-39.7,88.07,-3.44,-4.74,0.48,0.28,0.32,0.33,0.32,0.39,367.85,0,-71.3,87.86,-5.28,-6,0.13,-0.12,0.32,0.32,0.32,0.39,367.98,121.14,-5.1,88.2,-1.38,-3.85,0.94,0.96,0.32,0.33,0.32,0.39,0.12,0.11,0.5
"1981-01-24",368.05,23.81,-35.67,88.37,-6.18,-7.66,1.1,-0.34,0.32,0.32,0.32,0.39,367.99,0,-56.97,88.26,-7.5,-8.46,0.91,-0.68,0.32,0.32,0.32,0.39,368.07,124.84,-5.07,88.43,-3.72,-5.93,1.68,0.16,0.32,0.32,0.32,0.39,0.11,0.69,0.5
"1981-01-25",368.09,28.64,-54.25,88.16,-9.11,-10.59,-0.19,-0.39,0.32,0.32,0.32,0.39,368.08,0,-83.13,87.68,-11.49,-12.64,-0.88,-0.9,0.32,0.32,0.32,0.39,368.1,144.07,-23.35,88.35,-6.89,-8.48,0.89,0.14,0.32,0.32,0.32,0.39,0.04,0.33,0.5
"1981-01-26",368.14,30.69,-51.85,87.18,-12.23,-14.09,-0.31,-0.62,0.32,0.32,0.32,0.39,368.1,0,-91.74,86.96,-14.91,-16.52,-0.47,-0.79,0.32,0.32,0.32,0.39,368.45,153.26,-13.31,87.62,-9.29,-12.61,-0.12,-0.23,0.32,0.32,0.32,0.39,0.35,0.36,0.5
"1981-01-27",369.46,20.68,-18.5,87.13,-9.82,-11.41,-0.44,-0.01,0.32,0.32,0.32,0.39,368.62,0,-43.27,86.92,-11.16,-12.88,-0.84,-0.3,0.32,0.32,0.32,0.39,369.9,100.76,1.86,87.28,-8.23,-10.45,-0.08,0.45,0.32,0.32,0.32,0.39,1.41,0.2,0.5
"1981-01-28",370.01,24.79,-46.24,87.13,-10.08,-12.05,-0.06,-0.68,0.32,0.32,0.32,0.39,369.92,0,-72.84,86.88,-12.07,-14.11,-0.56,-0.9,0.32,0.32,0.32,0.39,370.04,109.54,-19.25,87.64,-7.86,-10.55,0.51,-0.29,0.32,0.32,0.32,0.39,0.12,0.29,0.5
"1981-01-29",370.04,37.3,-75.42,88.28,-13.32,-16.47,0.5,-0.78,0.32,0.32,0.32,0.39,370.04,0,-94.4,87.68,-16.11,-18.33,0.33,-0.96,0.32,0.32,0.32,0.39,370.05,177.14,-61.54,88.73,-9.1,-14.65,0.65,-0.56,0.32,0.32,0.32,0.39,0,0.47,0.49
"1981-01-30",370.06,37.74,-60.43,88.82,-15.06,-19.14,0.56,-0.49,0.32,0.32,0.32,0.39,370.05,0,-86.08,88.73,-17.69,-20.24,0.24,-0.67,0.32,0.32,0.32,0.39,370.06,177.32,-37.82,88.99,-10.04,-17.37,1.18,-0.21,0.32,0.32,0.32,0.39,0,0.59,0.49
"1981-01-31",370.06,39.46,-57.48,89.15,-13.74,-19.62,0.66,-0.58,0.32,0.32,0.32,0.39,370.06,0,-86.99,88.98,-15.91,-21.33,0.29,-0.77,0.32,0.32,0.32,0.39,370.07,185.16,-34.26,89.26,-9.54,-17.47,1.05,-0.19,0.32,0.32,0.32,0.39,0,0.6,0.48
"1981-02-01",370.08,39.37,-47.6,89.33,-13.45,-18.2,0.37,-0.25,0.32,0.32,0.32,0.39,370.07,0,-84.4,89.2,-16.25,-20.3,0.14,-0.47,0.32,0.32,0.31,0.39,370.1,185.71,-1.21,89.47,-9.02,-15.49,0.69,0.12,0.32,0.32,0.32,0.39,0.01,0.63,0.47
"1981-02-02",370.16,36.05,-38.3,89.5,-12.19,-15.2,0.63,-0.49,0.32,0.32,0.31,0.39,370.11,0,-75.28,89.43,-14.97,-18.08,0.46,-0.71,0.32,0.32,0.31,0.39,370.21,177.84,-10.3,89.59,-7.4,-11.57,0.84,-0.32,0.32,0.32,0.31,0.39,0.04,0.23,0.46
