"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",68.54,13.17,-15.81,92.27,-7.52,-8.66,-0.39,-0.41,0.44,0.44,0.44,0.42,68.29,0,-39.41,92.07,-9.08,-10.2,-0.9,-0.96,0.44,0.44,0.44,0.42,68.71,75.35,0.12,92.57,-5.34,-7.05,0.06,0.18,0.44,0.44,0.44,0.42,0.43,0.26,0.24
"1981-01-02",68.81,16.55,-38.3,91.91,-10.96,-12.26,-0.63,-0.56,0.43,0.43,0.44,0.42,68.72,0,-66.74,91.79,-14.41,-15.91,-0.99,-1.07,0.43,0.43,0.44,0.42,68.87,87.66,-3.34,92.08,-7.9,-9.78,-0.11,0.38,0.44,0.44,0.44,0.42,0.15,0.05,0.2
"1981-01-03",69.05,15.6,-20.75,91.85,-12.12,-14.28,-0.62,-0.17,0.43,0.43,0.44,0.42,68.87,0,-40.93,91.74,-16.18,-18.17,-0.95,-0.98,0.43,0.43,0.44,0.42,69.41,82.66,1.16,91.95,-8.41,-10.05,-0.24,0.8,0.43,0.43,0.44,0.42,0.56,0.2,0.19
"1981-01-04",69.97,12.58,-22.82,92.05,-7.4,-9.08,-0.41,0.19,0.43,0.43,0.44,0.42,69.42,0,-55.82,91.91,-10.69,-12.3,-1.14,-0.54,0.43,0.43,0.44,0.42,70.5,84.93,17.42,92.26,-4.14,-6.25,0.54,0.79,0.43,0.43,0.44,0.42,1.08,0.15,0.17
"1981-01-05",71.08,7.83,-7.36,92.14,-7.68,-8.89,-0.74,-0.3,0.43,0.43,0.44,0.42,70.5,0,-33.75,91.59,-11.73,-12.98,-1.93,-1.01,0.43,0.43,0.44,0.42,73.09,41.2,11.87,92.4,-3.91,-5.01,0.2,0.29,0.43,0.43,0.44,0.42,2.58,0.02,0.16
"1981-01-06",75.71,17.05,-28.8,91.26,-2.61,-4.02,-0.04,0.88,0.43,0.43,0.44,0.42,73.09,0,-77.74,91.05,-4.25,-5.07,-1.65,0.54,0.43,0.43,0.44,0.42,76.74,101.71,-3.02,91.58,-1.01,-2.85,2.11,1.28,0.43,0.43,0.44,0.42,3.72,0.61,0.16
"1981-01-07",77.27,14.64,-27.3,91.33,-3.59,-4.65,-0.83,0.46,0.43,0.43,0.44,0.42,76.74,0,-67.46,91.16,-6.59,-7.43,-1.32,0,0.42,0.43,0.44,0.42,78.16,86.95,-0.63,91.56,-1.29,-2.64,1.1,0.99,0.43,0.43,0.44,0.42,1.4,0.09,0.15
"1981-01-08",78.21,18.11,-29.58,91.18,-4.18,-5.71,-1.54,-0.39,0.42,0.42,0.44,0.42,78.17,0,-56,90.71,-6.19,-6.79,-2.55,-0.73,0.42,0.42,0.44,0.42,78.23,108.86,-4.05,91.4,-1.97,-4.37,-0.61,0.15,0.42,0.42,0.44,0.42,0.14,1.17,0.15
"1981-01-09",78.38,20.96,-63.43,91.29,-4.65,-6.81,-1.26,1.14,0.42,0.42,0.43,0.42,78.29,0,-89.2,90.71,-8.42,-9.63,-2.23,0.28,0.42,0.42,0.43,0.42,78.41,103.94,-15.56,91.81,-1.93,-4.93,-0.06,1.7,0.42,0.42,0.44,0.42,0.26,0.82,0.15
"1981-01-10",78.64,10.06,-22.73,91.84,-4.73,-6.1,-1.66,0.69,0.42,0.42,0.43,0.42,78.36,0,-65.07,91.73,-8.78,-9.9,-2.02,0.18,0.42,0.42,0.43,0.42,79.02,50.89,-1.3,91.91,-1.96,-3.7,-1.35,1.29,0.42,0.42,0.43,0.42,0.65,0.07,0.15
