"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",355.96,24.85,-59.5,82.3,-9.55,-18.66,-0.32,0.95,0.25,0.25,0.24,0.29,355.96,0,-80.41,82.05,-10.9,-21.05,-0.48,0.82,0.25,0.25,0.24,0.29,355.96,127.54,-50.46,82.57,-7.57,-16.05,-0.13,1.06,0.25,0.25,0.24,0.29,0,0.09,2.22
"1981-01-02",355.95,25.33,-52.61,81.99,-10.52,-21.49,-0.34,1.07,0.25,0.25,0.24,0.29,355.95,0,-75.97,81.92,-11.76,-22.96,-0.53,0.93,0.25,0.25,0.24,0.29,355.95,129.95,-42.74,82.05,-8.56,-19.03,-0.19,1.18,0.25,0.25,0.24,0.29,0,0.04,1.97
"1981-01-03",355.95,24.87,-42.27,81.98,-11.77,-20.39,-0.31,1.1,0.25,0.25,0.24,0.29,355.95,0,-64.87,81.88,-13.17,-22.58,-0.45,0.99,0.25,0.25,0.24,0.29,355.96,127.39,-10.22,82.06,-10.03,-18.06,-0.09,1.18,0.25,0.25,0.24,0.29,0,0.05,1.75
"1981-01-04",356.95,10.63,14.37,82.24,-10.29,-13.67,0.06,1.06,0.25,0.25,0.24,0.29,355.96,0,-3.58,82.08,-13.09,-18.25,-0.21,0.94,0.25,0.25,0.24,0.29,359.66,64.96,33.43,82.38,-8.41,-9.62,0.4,1.16,0.25,0.25,0.24,0.29,3.69,0,1.59
"1981-01-05",359.81,15.56,-7.67,82.29,-9.05,-10.89,-0.38,0.85,0.25,0.25,0.24,0.29,359.71,0,-27.02,81.97,-10.7,-12.16,-0.8,0.72,0.25,0.25,0.24,0.29,359.85,86.21,10.06,82.45,-8.41,-10.01,0.35,1.08,0.25,0.25,0.24,0.29,0.14,0.13,1.46
"1981-01-06",363.91,7.09,-2.51,81.62,-7.42,-9.87,0.01,1.04,0.25,0.25,0.24,0.29,359.86,0,-25.73,81.34,-8.45,-11.96,-0.85,0.84,0.25,0.25,0.24,0.29,367.86,40.52,14.93,81.9,-6.51,-7.97,0.62,1.21,0.25,0.25,0.24,0.29,7.99,0,1.39
"1981-01-07",368.19,14.35,-22.02,81.61,-7.85,-9.93,-0.32,0.8,0.25,0.25,0.24,0.29,367.95,0,-47.98,81.37,-9.14,-10.96,-0.75,0.66,0.25,0.25,0.23,0.29,368.29,87.49,-1.32,81.83,-7.08,-8.97,0.57,0.87,0.25,0.25,0.24,0.29,0.42,0.12,1.33
"1981-01-08",368.33,25.13,-42.19,81.47,-8.79,-12.32,-0.62,0.77,0.24,0.25,0.23,0.29,368.29,0,-76.35,81.4,-10.6,-13.41,-1.04,0.53,0.24,0.25,0.23,0.29,368.48,132.29,-0.12,81.55,-6.49,-11.23,0,1.15,0.25,0.25,0.23,0.29,0.19,0.2,1.29
"1981-01-09",368.6,23.88,-43.84,81.8,-8.26,-11.28,-0.32,1.16,0.24,0.25,0.23,0.29,368.55,0,-71.06,81.37,-11.19,-12.29,-1.02,1.05,0.24,0.25,0.23,0.29,368.64,116.81,-3.48,82.23,-6.8,-10.14,-0.05,1.32,0.24,0.25,0.23,0.29,0.13,0.07,1.25
"1981-01-10",368.68,22.47,-38.16,82.24,-10.98,-13.47,-0.81,1.05,0.24,0.25,0.23,0.29,368.64,0,-66.92,82.17,-12.88,-14.34,-1.03,0.91,0.24,0.25,0.23,0.29,368.7,114.49,-9.83,82.31,-9.02,-13,-0.58,1.13,0.24,0.25,0.23,0.29,0.04,0.18,1.23
