"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",36.07,26.61,-50.97,87.23,-7.94,-10.76,0.24,1.28,0.38,0.38,0.38,0.37,36,0,-95.62,87.02,-13.17,-16.61,-0.15,0.36,0.38,0.38,0.38,0.37,36.13,148.05,-16.03,87.52,-2.67,-8.19,0.86,1.71,0.39,0.38,0.38,0.37,0.08,0.92,0.09
"1981-01-02",35.95,30.49,-57.57,86.86,-11.26,-16.2,0.44,1.38,0.38,0.38,0.38,0.37,35.85,0,-96.84,86.77,-15.46,-21.1,-0.34,0.84,0.38,0.38,0.38,0.37,36,156.62,-35.04,86.99,-4.17,-10.32,0.81,1.76,0.38,0.38,0.38,0.37,0.01,0.88,0.09
"1981-01-03",35.8,24.9,-41.23,86.88,-8.93,-12.15,0.61,1.44,0.38,0.38,0.38,0.37,35.71,0,-67.09,86.74,-13.82,-17.49,0.16,0.58,0.38,0.38,0.38,0.37,35.85,129.5,-9.97,87.03,-1.88,-6.3,0.93,1.95,0.38,0.38,0.38,0.37,0,0.7,0.08
"1981-01-04",35.73,18.52,-36.69,87.27,-3.88,-6.01,0.9,1.31,0.38,0.38,0.38,0.37,35.69,0,-71.86,87.06,-7.41,-9.87,0.24,0.9,0.38,0.37,0.38,0.37,35.86,103.45,-2.97,87.5,1.09,-1.96,1.42,1.93,0.38,0.38,0.38,0.37,0.19,0.79,0.08
"1981-01-05",35.95,10.82,-22.33,87.17,-5.28,-6.53,0.05,1.51,0.38,0.37,0.38,0.37,35.67,0,-60.12,86.67,-8.93,-9.98,-0.61,1.01,0.37,0.37,0.38,0.37,36.55,55.8,14.87,87.51,-1.7,-3.56,0.82,2.12,0.38,0.37,0.38,0.37,0.93,0.6,0.08
"1981-01-06",37.89,30.04,-55.43,86.53,-2.72,-4.68,0.78,1.64,0.38,0.37,0.38,0.37,36.59,0,-95.5,86.25,-6.22,-7.7,-0.31,0.79,0.37,0.37,0.38,0.37,38.24,148.43,-19.68,86.89,1.83,-2.51,1.94,2.18,0.38,0.37,0.38,0.37,2.35,2.06,0.08
"1981-01-07",38.1,14.23,-24.59,86.49,-5.52,-7.26,0.17,1.3,0.38,0.37,0.38,0.37,38.03,0,-58.24,86.28,-8.17,-9.37,-0.37,0.91,0.37,0.37,0.38,0.37,38.16,73.72,5.41,86.84,-2.73,-5.44,0.75,1.58,0.38,0.37,0.38,0.37,0.24,0.84,0.08
"1981-01-08",38.13,17.01,-35,86.18,-6.92,-9.64,-0.53,1.55,0.37,0.37,0.38,0.37,38.07,0,-61.39,85.84,-11.84,-13.78,-1.53,1.04,0.37,0.37,0.38,0.37,38.15,88.96,-14.28,86.4,-3.09,-6.77,0.72,2.88,0.37,0.37,0.38,0.37,0.08,1.43,0.08
"1981-01-09",37.98,29.51,-76.59,86.56,-4.1,-6.94,0,2.33,0.37,0.37,0.38,0.37,37.86,0,-90.7,85.96,-6.12,-8.67,-0.46,1.76,0.37,0.37,0.38,0.37,38.07,157.65,-55.46,86.96,-0.44,-5.11,0.37,2.83,0.37,0.37,0.38,0.37,0.01,2.41,0.08
"1981-01-10",37.89,16.61,-48.14,86.96,-5.17,-7.36,-0.22,2.08,0.37,0.37,0.38,0.37,37.85,0,-79.87,86.83,-7.71,-9.09,-0.73,1.79,0.37,0.37,0.38,0.37,37.98,79.87,-23.75,87.04,-1.85,-5.29,0.29,2.29,0.37,0.37,0.38,0.37,0.17,1.09,0.08
