"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",190.49,30.61,-65.95,89.67,-10.23,-12.91,-1.25,0.33,0.35,0.36,0.35,0.38,190.49,0,-89.41,89.45,-13.46,-15.64,-1.47,0.13,0.35,0.36,0.35,0.38,190.5,157.62,-41.45,89.98,-5.34,-10.55,-0.7,0.45,0.35,0.36,0.35,0.38,0,0.25,NA
"1981-01-02",190.5,31.92,-62.78,89.35,-12.72,-16,-1.48,0.43,0.35,0.36,0.35,0.38,190.5,0,-85.19,89.25,-16.05,-18.68,-1.82,0.23,0.35,0.35,0.35,0.38,190.51,162.36,-51.31,89.44,-7.88,-12.99,-0.96,0.66,0.35,0.36,0.35,0.38,0,0.2,NA
"1981-01-03",190.51,31.39,-52.93,89.37,-11.93,-15.19,-1.44,0.46,0.35,0.35,0.35,0.38,190.5,0,-77.89,89.25,-14.55,-17.08,-1.69,0.31,0.35,0.35,0.35,0.38,190.51,157.86,-26.43,89.51,-6.86,-12.49,-0.79,0.59,0.35,0.35,0.35,0.38,0,0.15,NA
"1981-01-04",190.64,19.63,-17.48,89.7,-9.2,-11.72,-1.21,0.4,0.34,0.35,0.35,0.38,190.51,0,-41.68,89.53,-12.14,-14.38,-1.59,0.24,0.34,0.35,0.35,0.38,190.99,100.98,22.37,89.87,-6.12,-9.12,-0.94,0.55,0.35,0.35,0.35,0.38,0.46,0.09,NA
"1981-01-05",191.04,22.85,-32.08,89.68,-8.04,-10.04,-1.44,0.31,0.34,0.35,0.35,0.38,190.99,0,-51.61,89.3,-11.17,-12.76,-1.72,0.04,0.34,0.35,0.34,0.38,191.69,130.74,-6.37,89.93,-5.11,-7.91,-1.1,0.53,0.34,0.35,0.35,0.38,0.67,0.14,NA
"1981-01-06",194.88,15.34,-29.62,89.01,-5.37,-7.35,-1.25,0.65,0.34,0.35,0.34,0.38,191.95,0,-66.62,88.77,-7.3,-8.75,-1.84,0.47,0.34,0.35,0.34,0.38,197.23,101.71,9.69,89.26,-3.17,-5.57,-0.57,0.84,0.34,0.35,0.34,0.38,5.55,0.35,NA
"1981-01-07",197.27,21.1,-36.72,88.94,-6.91,-8.71,-1.39,0.39,0.34,0.35,0.34,0.38,197.24,0,-56.5,88.73,-9.35,-10.71,-1.66,-0.05,0.34,0.35,0.34,0.38,197.3,120.7,-9.6,89.27,-4.26,-6.84,-1.12,0.76,0.34,0.35,0.34,0.38,0.03,0.32,NA
"1981-01-08",197.32,26.33,-41.76,88.76,-6.73,-9.3,-1.57,0.44,0.34,0.34,0.34,0.38,197.31,0,-58.72,88.65,-10.49,-12.19,-2.14,0.18,0.34,0.34,0.34,0.38,197.39,134.98,-14.49,88.86,-4.25,-7.52,-1.03,0.81,0.34,0.35,0.34,0.38,0.08,0.74,NA
"1981-01-09",197.43,30.18,-66.67,89.2,-5.77,-8.17,-1.63,0.65,0.34,0.34,0.34,0.38,197.38,0,-83.02,88.67,-7.71,-9.71,-1.86,0.36,0.34,0.34,0.34,0.38,197.5,150.6,-27.8,89.63,-3.14,-6.36,-1.28,1.08,0.34,0.34,0.34,0.38,0.15,0.79,NA
"1981-01-10",197.48,30.73,-61.46,89.6,-6.37,-8.43,-1.8,0.39,0.34,0.34,0.34,0.38,197.45,0,-82.92,89.53,-8.09,-10.21,-1.96,0.13,0.34,0.34,0.34,0.38,197.49,156.71,-39.12,89.68,-3.11,-6.9,-1.48,0.63,0.34,0.34,0.34,0.38,0,0.78,NA
