"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",450.3,23.57,-59.15,82.64,-8.77,-18.69,-0.37,-0.36,0.4,0.41,0.4,0.47,450.29,0,-78.72,82.39,-10.09,-22.31,-0.5,-0.43,0.4,0.41,0.4,0.47,450.3,119.5,-52.34,82.9,-7.33,-16.16,-0.25,-0.16,0.4,0.41,0.4,0.47,0,0.1,1.66
"1981-01-02",450.29,24.16,-52.29,82.35,-8.61,-23.32,-0.41,-0.16,0.4,0.41,0.4,0.47,450.28,0,-74.1,82.31,-10.79,-24.29,-0.55,-0.33,0.4,0.4,0.4,0.47,450.29,121.99,-44.36,82.42,-7.16,-22.47,-0.25,-0.02,0.4,0.41,0.4,0.47,0,0.01,1.6
"1981-01-03",450.28,24.08,-42.48,82.35,-9.95,-19.18,-0.39,-0.11,0.4,0.4,0.4,0.47,450.28,0,-63.81,82.26,-11.5,-22.44,-0.46,-0.18,0.4,0.4,0.4,0.47,450.29,120.57,-30.61,82.43,-9.05,-15.79,-0.24,-0.03,0.4,0.4,0.4,0.47,0,0,1.56
"1981-01-04",450.93,12.87,5.22,82.58,-9.11,-12.59,-0.06,0.09,0.4,0.4,0.4,0.47,450.29,0,-25.4,82.45,-10.91,-15.53,-0.33,-0.07,0.4,0.4,0.4,0.47,452.88,65.02,29.59,82.7,-7.93,-8.63,0.45,0.34,0.4,0.4,0.4,0.47,2.59,-0.01,1.54
"1981-01-05",452.99,16.15,-7.44,82.62,-9.77,-11.07,-0.39,-0.03,0.4,0.4,0.4,0.47,452.91,0,-26.55,82.35,-10.89,-12.94,-0.68,-0.18,0.4,0.4,0.4,0.47,453.04,85.02,11.27,82.74,-8.85,-9.85,0.14,0.07,0.4,0.4,0.4,0.47,0.12,0,1.52
"1981-01-06",456.25,7.34,-0.13,81.99,-8.52,-10.59,-0.04,0.41,0.4,0.4,0.4,0.47,453.06,0,-26.28,81.79,-9.85,-13.01,-0.77,0.06,0.4,0.4,0.4,0.47,459.39,38.78,19.52,82.32,-7.54,-8.19,0.63,0.65,0.4,0.4,0.4,0.47,6.33,-0.02,1.47
"1981-01-07",459.64,14.82,-18.5,81.94,-8.1,-9.66,-0.38,0.19,0.4,0.4,0.4,0.47,459.45,0,-45.01,81.69,-9.42,-10.76,-0.75,0.02,0.4,0.4,0.4,0.47,459.73,87.05,-0.55,82.13,-6.71,-8.17,0.53,0.32,0.4,0.4,0.4,0.47,0.32,0.07,1.39
"1981-01-08",459.79,23.53,-37.7,81.82,-9.33,-11.79,-0.56,0.07,0.4,0.4,0.4,0.47,459.74,0,-70.15,81.72,-10.85,-12.65,-0.8,-0.15,0.4,0.4,0.4,0.47,460.08,121.67,3.17,81.89,-7.37,-11.02,-0.2,0.38,0.4,0.4,0.4,0.47,0.32,0.11,1.34
"1981-01-09",460.38,17.83,-24.33,82.2,-8.03,-9.87,-0.38,0.51,0.4,0.4,0.4,0.47,460.22,0,-46.33,81.84,-9.78,-11.51,-0.78,0.18,0.4,0.4,0.4,0.47,460.55,85.14,0.83,82.61,-6.57,-8.6,-0.2,0.68,0.4,0.4,0.4,0.47,0.43,0.05,1.31
"1981-01-10",460.63,22.45,-36.35,82.64,-9.49,-11.26,-0.7,0.17,0.4,0.4,0.4,0.47,460.57,0,-72.53,82.58,-10.85,-12.05,-0.9,-0.01,0.4,0.4,0.4,0.47,460.66,118.64,-0.16,82.73,-7.65,-10.77,-0.51,0.42,0.4,0.4,0.4,0.47,0.09,0.13,1.27
