"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",105.51,36.39,-59.8,87.64,-4.64,-6.7,0.07,-0.21,0.38,0.38,0.37,0.36,105.51,0,-91.68,87.42,-6.98,-9.99,-0.28,-0.91,0.37,0.38,0.37,0.36,105.52,184.4,-33.68,87.9,-1.89,-4.3,0.39,0.1,0.38,0.38,0.37,0.36,0,1.1,0.14
"1981-01-02",105.51,40.49,-59.15,87.41,-6.42,-10.31,-0.33,0.12,0.37,0.38,0.37,0.36,105.5,0,-97.99,87.36,-8.75,-12.41,-0.79,-0.09,0.37,0.38,0.37,0.36,105.51,193.55,-36.05,87.52,-1.8,-7.26,0.26,0.38,0.37,0.38,0.37,0.36,0.01,1.11,0.13
"1981-01-03",105.52,34.27,-47.88,87.42,-6.51,-8.62,-0.32,0.11,0.37,0.38,0.37,0.36,105.5,0,-75.99,87.32,-8.83,-10.48,-0.51,-0.29,0.37,0.38,0.37,0.36,105.54,157.59,-21.58,87.52,-2.03,-5.63,0.02,0.37,0.37,0.38,0.37,0.36,0.02,0.57,0.14
"1981-01-04",105.56,33.82,-44.38,87.72,-6.23,-8.22,0.04,-0.04,0.37,0.37,0.37,0.36,105.54,0,-71.97,87.55,-8.6,-10.11,-0.21,-0.4,0.37,0.37,0.37,0.36,105.58,153.14,-26.24,87.88,-1.55,-5.27,0.33,0.29,0.37,0.38,0.37,0.36,0.01,0.55,0.14
"1981-01-05",105.6,32.64,-37.98,87.75,-6.77,-8.34,-0.25,-0.01,0.37,0.37,0.37,0.36,105.58,0,-66.79,87.49,-9.84,-11.02,-0.77,-0.23,0.36,0.37,0.37,0.36,105.63,173.4,-16.38,87.93,-2.98,-5.63,0.23,0.31,0.37,0.37,0.37,0.36,0.01,0.78,0.15
"1981-01-06",106.49,21.27,-25.59,87.22,-4.87,-6.17,-0.19,0.7,0.36,0.37,0.37,0.36,105.63,0,-61.36,87.07,-7.59,-8.41,-0.79,0.26,0.36,0.37,0.37,0.36,107.09,114.42,14.08,87.45,-0.62,-3.09,0.62,1.18,0.36,0.37,0.37,0.36,1.44,0.34,0.15
"1981-01-07",107.11,25.64,-30.19,87.05,-5.01,-6.12,-0.35,0.17,0.36,0.37,0.37,0.36,107.09,0,-50.35,86.81,-7.44,-8.52,-0.89,-0.26,0.36,0.37,0.37,0.36,107.12,132.97,-7.14,87.3,-2.32,-4.8,0.41,0.47,0.36,0.37,0.37,0.36,0.03,0.58,0.15
"1981-01-08",107.16,22.18,-30.95,86.95,-6.09,-7.86,-0.59,0.2,0.36,0.37,0.37,0.36,107.11,0,-55.19,86.82,-9.42,-11.09,-0.94,-0.16,0.36,0.37,0.37,0.36,107.23,106.03,-4.73,87.13,-2.51,-5.58,-0.25,0.83,0.36,0.37,0.37,0.36,0.12,0.85,0.15
"1981-01-09",107.33,36.34,-45.46,87.44,-4.22,-5.64,-0.56,0.83,0.36,0.37,0.37,0.36,107.25,0,-83.33,87.13,-6.51,-7.3,-0.85,0.25,0.36,0.36,0.37,0.36,107.4,182.58,7.1,87.74,-0.05,-3,-0.22,0.97,0.36,0.37,0.37,0.36,0.19,1.04,0.16
"1981-01-10",107.41,36.6,-53.06,87.78,-6.3,-8.04,-0.81,0.24,0.36,0.36,0.37,0.36,107.39,0,-80.26,87.7,-8.42,-9.99,-1.07,0.04,0.36,0.36,0.37,0.36,107.44,173.52,-22.04,87.88,-2.21,-5.38,-0.45,0.41,0.36,0.36,0.37,0.36,0.04,0.95,0.14
"1981-01-11",107.39,36.47,-45.33,87.69,-6.63,-9.61,-0.56,0.13,0.36,0.36,0.37,0.36,107.36,0,-78.87,87.44,-9.66,-11.59,-0.96,-0.09,0.36,0.36,0.37,0.36,107.4,172.98,-8.71,87.8,-1.42,-6.08,-0.31,0.34,0.36,0.36,0.37,0.36,0,1.68,0.13
"1981-01-12",107.33,40.31,-43.53,87.55,-3.69,-7.15,-0.34,0.23,0.36,0.36,0.37,0.36,107.26,0,-85.51,87.41,-6.77,-9.45,-0.75,0.04,0.35,0.36,0.37,0.36,107.36,205.47,-1.7,87.68,0.95,-3.1,-0.1,0.35,0.36,0.36,0.37,0.36,0,2.13,0.14
"1981-01-13",107.25,33.69,-46.05,87.77,-4.9,-7.77,-0.28,-0.08,0.35,0.36,0.37,0.36,107.24,0,-71.88,87.69,-7,-9.82,-0.67,-0.69,0.35,0.36,0.37,0.36,107.26,161.5,-18.73,87.87,-0.4,-3.93,-0.12,0.2,0.35,0.36,0.37,0.36,0,1.43,0.14
"1981-01-14",107.24,44.35,-57.91,87.58,-6.47,-9.25,-0.14,-0.15,0.35,0.36,0.37,0.36,107.22,0,-87.48,87.39,-9.57,-11.6,-0.61,-0.91,0.35,0.36,0.37,0.36,107.25,209.11,-32.28,87.75,-0.93,-4.95,0.16,0.25,0.35,0.36,0.37,0.36,0,2.05,0.13
"1981-01-15",107.2,44.62,-57.15,87.25,-7.48,-10.84,-0.45,0,0.35,0.36,0.37,0.36,107.14,0,-89.31,87.13,-10.51,-12.82,-0.84,-0.4,0.35,0.36,0.37,0.36,107.22,212.93,-40.1,87.38,-1.33,-6.45,-0.12,0.21,0.35,0.36,0.37,0.36,0,2.22,0.12
"1981-01-16",107.11,43.75,-63.1,86.95,-8.52,-12.03,-0.51,0.02,0.35,0.36,0.37,0.36,107.04,0,-97.6,86.76,-12,-15.47,-0.82,-0.34,0.35,0.36,0.37,0.36,107.14,199.46,-41.53,87.1,-2.57,-7.41,-0.29,0.19,0.35,0.36,0.37,0.36,0,2.11,0.12
"1981-01-17",107.03,39.48,-37.04,86.77,-8.26,-12.19,-0.65,0.28,0.35,0.36,0.37,0.36,107.01,0,-72.57,86.56,-12.73,-16.16,-1.11,0.07,0.35,0.36,0.37,0.36,107.05,175.94,-1.28,87.16,-2.89,-8.13,-0.41,0.53,0.35,0.36,0.37,0.36,0.04,1.86,0.13
"1981-01-18",107.05,28.57,-29.93,87.28,-5.33,-7.32,-0.89,0.48,0.35,0.35,0.37,0.36,107.02,0,-54.27,87.2,-9.95,-11.18,-1.22,0.27,0.35,0.35,0.37,0.36,107.09,127.35,-1.36,87.35,-1.18,-4.25,-0.59,0.73,0.35,0.36,0.37,0.36,0.07,1.16,0.15
"1981-01-19",107.23,32.13,-33.57,87.08,-2.89,-4.5,-0.66,0.35,0.35,0.35,0.37,0.36,107.08,0,-60.64,86.93,-5.72,-6.74,-1.04,0.18,0.35,0.35,0.37,0.36,107.56,150.75,-13.24,87.26,1.24,-1.62,-0.22,0.63,0.35,0.35,0.37,0.36,0.51,1.4,0.15
"1981-01-20",107.36,45.51,-38.78,87.08,-0.77,-2.67,-0.86,0.48,0.35,0.35,0.37,0.36,107.05,0,-82.75,86.97,-3.24,-4.59,-1.44,0.2,0.35,0.35,0.37,0.36,107.56,218.77,11.43,87.24,3.22,-0.87,-0.07,0.94,0.35,0.35,0.37,0.36,0,2.54,0.16
"1981-01-21",106.72,37.99,-23.42,87.1,0.69,-0.71,-1.06,0.29,0.36,0.35,0.37,0.36,106.09,0,-72.26,86.8,-1.14,-1.75,-1.38,-0.37,0.35,0.35,0.37,0.36,107.4,222.83,4.61,87.42,4.06,0.63,-0.59,0.69,0.37,0.35,0.37,0.36,0.41,2.03,0.18
"1981-01-22",104.69,34.45,-25.16,86.73,1.11,-0.09,-0.79,0.36,0.38,0.36,0.37,0.36,102.88,0,-71.09,86.55,-0.84,-1.62,-1.2,-0.13,0.36,0.35,0.37,0.36,106.41,203.69,3.33,86.88,3.66,1.21,-0.39,0.73,0.4,0.37,0.37,0.36,1.52,1.75,0.18
"1981-01-23",102.63,25.91,-10.17,86.47,0.81,-0.13,0.09,-0.04,0.4,0.37,0.37,0.36,101.14,0,-35.97,86.42,-1.19,-2.12,-0.55,-0.66,0.38,0.37,0.37,0.36,104.33,153.87,4.24,86.55,3.87,1.73,1.3,0.37,0.42,0.39,0.37,0.36,5.2,1.13,0.17
"1981-01-24",100.9,53.77,-67.71,86.69,-3.02,-5.87,1.44,-0.42,0.4,0.39,0.37,0.36,100.65,0,-100.97,86.46,-5.92,-9.37,1.01,-1.27,0.39,0.39,0.37,0.36,101.19,252.69,-21.41,86.82,-0.34,-1.06,2.15,-0.01,0.41,0.39,0.37,0.36,0.02,3.81,0.16
"1981-01-25",100.75,42.86,-46.11,86.73,-4.13,-7.45,0.4,0.25,0.38,0.39,0.37,0.36,100.65,0,-82.88,86.29,-6.02,-9.34,-0.7,-0.06,0.38,0.38,0.37,0.36,100.82,194.7,5.12,86.9,-0.88,-5.94,1.08,0.7,0.39,0.39,0.37,0.36,0.26,2.86,0.15
"1981-01-26",102.3,19.28,-22.05,85.86,-6.15,-7.81,-1.04,0.5,0.38,0.38,0.37,0.36,100.76,0,-57.01,85.66,-9.06,-10.78,-1.67,0.09,0.38,0.38,0.37,0.36,104.37,85.05,0.52,86.23,-3.81,-5.42,-0.52,1.06,0.38,0.38,0.37,0.36,3.63,0.69,0.15
"1981-01-27",104.55,44.59,-50.17,85.89,-5.87,-8.05,-0.84,0.47,0.37,0.38,0.37,0.36,104.39,0,-76.67,85.45,-8.04,-9.71,-1.76,-0.23,0.37,0.38,0.37,0.36,104.65,196.52,-23.48,86.11,-2.04,-6.22,-0.19,1.28,0.38,0.38,0.37,0.36,0.28,1.89,0.16
"1981-01-28",107.19,31.5,-22,85.46,-4.55,-6.21,-0.71,-0.1,0.37,0.38,0.37,0.36,104.6,0,-50.39,85.29,-6.49,-8.3,-1.41,-0.71,0.37,0.38,0.37,0.36,108.76,163.45,3.85,85.72,-1.1,-3.74,-0.07,0.32,0.37,0.38,0.37,0.36,4.22,1.21,0.15
"1981-01-29",109.73,22.4,-20.9,86.27,-4.68,-6.11,0.35,-0.63,0.37,0.37,0.37,0.36,108.77,0,-37.94,85.73,-7.18,-8.5,-0.13,-1,0.37,0.37,0.37,0.36,110.63,110.63,-1.75,86.86,-2.17,-4.47,0.76,-0.37,0.37,0.38,0.37,0.36,1.9,0.9,0.18
"1981-01-30",110.68,32.94,-31.17,87.12,-5.51,-7.25,1.02,-0.53,0.37,0.37,0.37,0.36,110.64,0,-69.64,86.83,-8.73,-9.97,0.84,-1.21,0.37,0.37,0.37,0.36,110.74,166.53,-3.29,87.37,-2.63,-5.55,1.44,0.18,0.37,0.37,0.37,0.36,0.16,1.85,0.16
"1981-01-31",110.64,55.3,-63.51,87.53,-8.16,-10.66,0.72,-0.14,0.36,0.37,0.37,0.36,110.61,0,-102.8,87.33,-12.71,-14.17,0.41,-0.79,0.36,0.37,0.37,0.36,110.67,256.37,-16.46,87.65,-3.03,-8.43,0.98,0.24,0.36,0.37,0.37,0.36,0.01,2.23,0.13
"1981-02-01",110.59,56.59,-58.18,87.83,-9.06,-12.49,0.14,0.03,0.36,0.37,0.37,0.36,110.55,0,-89.31,87.68,-14.59,-16.2,-0.62,-0.45,0.36,0.37,0.37,0.36,110.61,249.08,-19.93,87.91,-2.39,-9.53,0.65,0.34,0.36,0.37,0.37,0.36,0.01,3.12,0.12
"1981-02-02",110.5,63.09,-60.45,87.92,-10.51,-13.79,0.25,-0.17,0.36,0.37,0.37,0.37,110.44,0,-94.79,87.83,-17.59,-19.58,-0.22,-0.7,0.36,0.37,0.37,0.36,110.55,277.79,-23.36,88.05,-4.4,-9.58,0.47,0.22,0.36,0.37,0.37,0.37,0,3.38,0.13
"1981-02-03",110.43,66.07,-65.17,87.84,-9.1,-12.38,-0.18,0,0.36,0.37,0.37,0.37,110.38,0,-95.28,87.68,-13.78,-16.23,-0.67,-0.5,0.36,0.37,0.37,0.37,110.45,280.51,-39.94,87.97,-3.37,-7.55,0.14,0.34,0.36,0.37,0.37,0.37,0,3.75,0.13
