"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",193.81,41.83,-70.84,93.23,-0.91,-3.36,-0.89,-1.41,0.4,0.41,0.39,0.43,193.59,0,-94.23,93.06,-3.87,-5.14,-1.19,-1.62,0.39,0.4,0.39,0.43,193.98,201.39,-56.16,93.46,3.16,-0.39,-0.66,-1.13,0.41,0.41,0.39,0.43,0,1.34,NA
"1981-01-02",193.47,42.4,-66.52,93.06,-1.5,-4.42,-0.62,-1.27,0.39,0.4,0.38,0.43,193.3,0,-90.79,93.01,-4.16,-6.64,-0.77,-1.49,0.38,0.39,0.38,0.43,193.6,203.47,-52.85,93.16,2.95,-0.8,-0.43,-0.96,0.39,0.4,0.39,0.43,0,1.28,NA
"1981-01-03",193.23,42.4,-62.92,93.1,-2.41,-4.69,-0.57,-1.13,0.38,0.39,0.38,0.43,193.13,0,-90.98,92.91,-5,-6.85,-0.76,-1.5,0.38,0.39,0.37,0.43,193.31,204.6,-45.66,93.42,2.12,-1.35,-0.31,-0.74,0.38,0.39,0.38,0.43,0,1.04,NA
"1981-01-04",192.99,22.66,-28.12,93.63,-1.22,-3.03,-0.3,-0.84,0.38,0.39,0.37,0.43,192.82,0,-54.08,93.43,-3.99,-5.17,-0.54,-1.16,0.38,0.38,0.37,0.43,193.13,104.29,2.07,93.77,2.03,-0.23,-0.08,-0.46,0.38,0.39,0.37,0.43,0,0.52,NA
"1981-01-05",192.69,37.56,-46.88,93.44,-2.18,-4.19,-0.6,-1.3,0.38,0.38,0.37,0.42,192.53,0,-73.18,93.1,-5.9,-7.23,-0.71,-1.49,0.37,0.38,0.36,0.42,192.83,190.52,-29.97,93.76,2.02,-0.8,-0.47,-1,0.38,0.38,0.37,0.43,0,1.01,NA
"1981-01-06",193.37,13.55,-17.85,93.11,-0.13,-1.79,-0.21,-0.63,0.37,0.38,0.36,0.42,192.53,0,-43.72,93.01,-2.03,-4.32,-0.56,-1.23,0.37,0.38,0.36,0.42,193.94,65.26,8.19,93.22,1.88,0.64,0.37,0.13,0.37,0.38,0.36,0.42,1.78,0.27,NA
"1981-01-07",193.74,31.63,-51.91,92.77,-1.54,-3.53,-0.53,-1.05,0.37,0.38,0.36,0.42,193.63,0,-83.02,92.58,-4.39,-5.57,-0.8,-1.41,0.37,0.37,0.35,0.42,193.84,142.72,-31.18,93.12,1.54,-0.79,-0.16,-0.61,0.37,0.38,0.36,0.42,0,0.6,NA
"1981-01-08",194.09,23.08,-34.06,92.57,-1.49,-3.96,-0.68,-1.08,0.37,0.37,0.35,0.42,193.49,0,-63.49,92.4,-4.21,-6.66,-0.95,-1.42,0.37,0.37,0.35,0.42,197.1,100.49,9.54,92.94,1.43,-1.13,-0.27,-0.46,0.37,0.37,0.35,0.42,4.31,0.4,NA
"1981-01-09",202.75,16.13,-16.11,93.31,0.47,-0.82,-0.36,-0.38,0.38,0.37,0.35,0.42,197.65,0,-41.63,92.96,-1.1,-2.31,-0.69,-1.17,0.37,0.37,0.35,0.42,204.94,78.26,1.99,93.49,1.74,0.7,0.04,0.11,0.39,0.38,0.35,0.42,10.64,0.41,NA
"1981-01-10",204.76,39.43,-59.78,93.33,-0.75,-2.92,-0.86,-1.24,0.37,0.37,0.35,0.42,204.55,0,-98.45,93.24,-3.34,-5.78,-1.1,-1.42,0.37,0.37,0.35,0.42,204.92,199.61,-21.38,93.44,2.6,-0.51,-0.61,-0.96,0.38,0.38,0.35,0.42,0,1.26,NA
"1981-01-11",204.37,44.77,-61.43,93.21,-1.8,-4.35,-0.92,-1.3,0.37,0.37,0.34,0.42,204.13,0,-90.15,93.1,-5.02,-6.61,-1.15,-1.47,0.37,0.37,0.34,0.42,204.56,215.32,-32.73,93.31,3.01,-0.92,-0.7,-1.04,0.37,0.37,0.35,0.42,0,1.51,NA
"1981-01-12",203.95,39.91,-51.84,93.25,-1,-3.71,-0.54,-1.13,0.36,0.37,0.34,0.42,203.73,0,-81.92,93.09,-3.17,-5.73,-0.75,-1.33,0.36,0.37,0.34,0.42,204.13,198.33,-18.13,93.48,4.4,0.18,-0.29,-0.65,0.37,0.37,0.34,0.42,0,0.98,NA
"1981-01-13",203.57,43.96,-54.46,93.47,-1.24,-3.88,-0.52,-1.17,0.36,0.37,0.34,0.42,203.37,0,-85.74,93.36,-3.66,-5.81,-0.9,-1.52,0.36,0.36,0.34,0.42,203.73,204.93,-28.16,93.55,2.92,-0.44,-0.32,-0.8,0.36,0.37,0.34,0.42,0,1.3,NA
"1981-01-14",203.28,47.77,-67.41,93.08,-2.69,-5.54,-0.91,-1.48,0.36,0.36,0.34,0.42,203.15,0,-93.09,92.9,-5.74,-7.34,-1.03,-1.62,0.36,0.36,0.34,0.42,203.38,222.22,-52.65,93.33,2.37,-2.41,-0.78,-1.26,0.36,0.36,0.34,0.42,0,2.02,NA
"1981-01-15",203.07,50.77,-71.19,92.7,-3.32,-6.4,-1.01,-1.45,0.36,0.36,0.34,0.41,202.94,0,-96.49,92.54,-6.54,-8.42,-1.15,-1.59,0.35,0.36,0.33,0.41,203.15,233.9,-54.25,92.93,1.79,-3.12,-0.86,-1.12,0.36,0.36,0.34,0.42,0,2.17,NA
"1981-01-16",202.87,50.89,-71.2,92.4,-3.97,-7.08,-1.02,-1.34,0.35,0.36,0.33,0.41,202.78,0,-95.46,92.26,-6.97,-8.95,-1.12,-1.54,0.35,0.36,0.33,0.41,202.93,233.67,-52.92,92.52,1.35,-3.81,-0.91,-1.08,0.35,0.36,0.33,0.41,0,2.25,NA
"1981-01-17",203.36,28.82,-27.81,92.39,-3.1,-5.51,-0.79,-1.03,0.35,0.35,0.33,0.41,202.75,0,-61.3,92.09,-6.95,-8.93,-1.1,-1.31,0.35,0.35,0.33,0.41,204.71,165.2,-4.43,92.88,1.41,-2.43,-0.23,-0.24,0.35,0.36,0.33,0.41,2.13,1.02,NA
"1981-01-18",206.72,12.15,-6.28,92.74,-0.09,-1.69,-0.97,-1.2,0.36,0.35,0.33,0.41,204.72,0,-40.92,92.64,-3.01,-4.18,-1.1,-1.43,0.35,0.35,0.33,0.41,209.56,56.63,14.95,92.84,2.15,0.13,-0.76,-0.94,0.37,0.36,0.33,0.41,7.3,1.3,NA
"1981-01-19",208.68,35.03,-18.48,92.58,2.6,0.66,-0.72,-0.91,0.38,0.36,0.33,0.41,206.53,0,-57.34,92.39,0.33,-1.14,-1.04,-1.35,0.36,0.36,0.33,0.41,209.96,174.22,12.63,92.76,6.25,2.63,-0.01,-0.18,0.41,0.37,0.33,0.41,4.75,1.27,NA
"1981-01-20",204.09,50.71,-32.48,92.55,2.89,1.09,-0.91,-0.99,0.41,0.38,0.33,0.41,200.63,0,-89.07,92.35,-0.33,-1.39,-1.11,-1.25,0.39,0.37,0.33,0.41,206.48,237.28,10.17,92.82,6.01,3.36,-0.67,-0.66,0.42,0.39,0.33,0.41,1.47,1.41,NA
"1981-01-21",196.85,32.72,-11.48,92.56,3.38,1.81,-0.92,-0.95,0.42,0.42,0.34,0.41,192.71,0,-65.97,92.17,2.14,1,-1.31,-1.36,0.41,0.39,0.33,0.41,200.47,182.61,13.21,92.95,5.58,3.54,-0.47,-0.43,0.43,0.43,0.35,0.41,18.06,0.87,NA
"1981-01-22",190.14,8.12,2.49,92.3,3.14,2.2,-0.59,-0.77,0.43,0.42,0.36,0.41,188.26,0,-10.3,92.12,2,1.44,-1.22,-1.12,0.42,0.42,0.35,0.41,192.49,43.26,13.02,92.59,5.36,4.18,0.07,0.35,0.43,0.43,0.37,0.41,14.31,0.06,NA
"1981-01-23",186,16.17,-1.46,92.28,2.11,1.61,0.19,-0.04,0.42,0.42,0.38,0.41,183.66,0,-12.7,92.08,0.79,0.74,-0.32,-0.96,0.42,0.42,0.37,0.41,188.23,103.25,5.98,92.56,4.29,3.22,0.91,0.79,0.43,0.43,0.38,0.41,11.73,0.3,NA
"1981-01-24",185.43,33.75,-26.18,92.8,0.43,-0.15,0.35,0.68,0.41,0.42,0.39,0.41,184.42,0,-70.64,92.56,-1.17,-1.32,-0.16,0.35,0.4,0.41,0.39,0.41,186.02,163.64,-0.44,92.92,1.69,0.9,0.86,1.04,0.42,0.42,0.39,0.41,4.82,1.22,NA
"1981-01-25",186.21,32.18,-37.39,92.71,-0.86,-1.77,-0.33,0.03,0.39,0.41,0.39,0.41,185.53,0,-63.6,91.96,-2.58,-3.66,-0.75,-0.91,0.39,0.4,0.39,0.41,186.6,139.24,-13.76,92.94,1.02,-0.45,0.23,0.74,0.4,0.41,0.39,0.41,1.4,1.03,NA
"1981-01-26",191.77,10.23,-17.08,91.56,-1.33,-2.15,-0.46,-0.15,0.39,0.4,0.39,0.41,186.6,0,-38.09,91.18,-2.61,-3.76,-0.97,-1.01,0.38,0.39,0.39,0.41,198.71,48.91,-8.07,91.97,-0.21,-1.05,0.27,0.8,0.39,0.4,0.39,0.41,12.33,0.31,NA
"1981-01-27",199.1,52.26,-47.63,91.49,-1.25,-3.84,-0.79,-0.93,0.38,0.39,0.39,0.41,198.9,0,-98.68,90.91,-4.14,-5.43,-1.09,-1.33,0.38,0.39,0.39,0.41,199.24,247.93,-5.78,92,1.62,-1.51,-0.2,-0.02,0.38,0.39,0.39,0.41,0.83,2.7,NA
"1981-01-28",201.55,35.74,-28.08,91.01,0.27,-1.81,-0.37,-0.77,0.38,0.39,0.39,0.41,199.49,0,-58.44,90.85,-1.31,-2.63,-0.77,-1,0.38,0.38,0.39,0.41,201.96,186.78,-5.76,91.4,3.01,-0.76,0.17,-0.56,0.38,0.39,0.39,0.41,2.96,1.73,NA
"1981-01-29",203.13,17.25,-20.33,92.04,-0.23,-1.41,0,-0.37,0.37,0.38,0.39,0.41,201.81,0,-36.91,91.42,-1.45,-2.69,-0.26,-0.75,0.37,0.38,0.39,0.41,204.47,69.61,-9.22,92.69,1,-0.37,0.27,0.18,0.38,0.38,0.39,0.41,3.11,0.56,NA
"1981-01-30",204.3,59.81,-64.03,93.05,-1.23,-3.23,-0.05,-0.4,0.37,0.38,0.38,0.41,204.13,0,-101.32,92.65,-4.46,-5.67,-0.57,-1.03,0.37,0.38,0.38,0.41,204.48,257.19,-22.71,93.48,2.62,-1.42,0.74,0.67,0.37,0.38,0.39,0.41,0.01,3.32,NA
"1981-01-31",204.52,40.43,-32.26,93.65,-0.85,-2.11,0.1,0.08,0.37,0.38,0.38,0.41,204.15,0,-64.79,93.51,-2.19,-2.74,-0.61,-0.46,0.37,0.38,0.38,0.41,204.64,180.33,-1.64,93.79,0.93,-1.42,0.75,0.55,0.37,0.38,0.38,0.41,0.73,2.29,NA
"1981-02-01",204.56,38.99,-41.41,93.88,-1.28,-2.63,-0.01,-0.09,0.37,0.37,0.38,0.41,204.47,0,-68.05,93.77,-3.69,-4.14,-0.42,-0.59,0.37,0.37,0.38,0.41,204.65,162.29,-13.12,93.97,0.71,-1.69,0.63,0.57,0.37,0.38,0.38,0.41,0.1,2.1,NA
"1981-02-02",204.4,63.83,-62.38,93.85,-1.43,-3.89,-0.3,-0.66,0.36,0.37,0.38,0.41,204.26,0,-104.49,93.68,-5.12,-7.06,-0.55,-1.17,0.36,0.37,0.38,0.41,204.52,284.78,-18.96,93.97,3.52,-1.34,0.02,-0.06,0.37,0.37,0.38,0.41,0.02,3.41,NA
"1981-02-03",204.12,68.89,-73.76,93.54,-2.91,-6.39,-0.75,-1.14,0.36,0.37,0.38,0.41,203.97,0,-100.2,93.35,-6.52,-8.9,-0.91,-1.4,0.36,0.37,0.37,0.41,204.26,289,-54.68,93.66,2.59,-2.33,-0.62,-0.68,0.36,0.37,0.38,0.41,0,3.77,NA
"1981-02-04",203.9,70.49,-74.05,93.21,-3.97,-7.41,-0.72,-1.07,0.36,0.37,0.37,0.41,203.8,0,-102.54,93.14,-8.05,-9.85,-0.93,-1.45,0.36,0.37,0.37,0.41,203.97,294.14,-45.92,93.34,1.05,-4.17,-0.42,-0.53,0.36,0.37,0.37,0.41,0,3.83,NA
"1981-02-05",203.74,72.99,-74.22,93.09,-4.17,-7.8,-0.52,-0.99,0.36,0.36,0.37,0.41,203.67,0,-103.86,93.03,-8.43,-10.39,-0.74,-1.27,0.36,0.36,0.37,0.41,203.81,302.95,-47.9,93.14,0.85,-4.89,-0.19,-0.56,0.36,0.37,0.37,0.41,0,3.77,NA
"1981-02-06",203.6,73.81,-71.94,93.3,-4.4,-8.14,-0.47,-0.98,0.36,0.36,0.37,0.41,203.51,0,-105.86,93.15,-8.85,-11.05,-0.65,-1.29,0.36,0.36,0.37,0.41,203.68,304.87,-38.84,93.45,1.52,-5.06,-0.25,-0.46,0.36,0.36,0.37,0.41,0,3.8,NA
"1981-02-07",203.42,65.37,-65.1,93.08,-3.76,-7.82,-0.13,-0.57,0.36,0.36,0.37,0.41,203.32,0,-93.45,92.84,-8.57,-10.89,-0.62,-1.31,0.35,0.36,0.37,0.41,203.52,281.62,-46.97,93.32,1.34,-4.63,0.67,0.69,0.36,0.36,0.37,0.41,0,3.88,NA
"1981-02-08",203.22,77.26,-71.22,92.42,-2.38,-6.59,-0.15,-0.64,0.35,0.36,0.37,0.41,203.1,0,-104.14,91.92,-7.83,-9.55,-0.44,-1.07,0.35,0.36,0.36,0.41,203.33,314.46,-50.14,92.84,3.69,-4.25,0.41,0.14,0.36,0.36,0.37,0.41,0,4.88,NA
"1981-02-09",203.06,80.04,-85.01,92.45,-7.25,-14.82,-1.37,-1.32,0.35,0.36,0.36,0.41,202.7,0,-124.27,91.83,-11.82,-20.79,-1.93,-1.77,0.35,0.36,0.36,0.41,203.28,335.43,-18.6,93.31,-4.89,-6.97,-0.22,-0.82,0.35,0.36,0.36,0.41,0.19,7.16,NA
"1981-02-10",202.6,79.71,-84.83,93.01,-9.92,-17.08,-0.68,-0.87,0.35,0.36,0.36,0.41,202.5,0,-106.77,92.53,-15.55,-20.98,-1.5,-1.23,0.35,0.36,0.36,0.41,202.68,333.46,-51.11,93.28,-4.63,-13.43,-0.25,-0.2,0.35,0.36,0.36,0.41,0,4.18,NA
"1981-02-11",202.56,77.83,-54.63,92.54,-6.36,-11.65,-0.19,-0.69,0.35,0.36,0.36,0.4,202.35,0,-109.84,92.41,-12.15,-14.28,-0.46,-1.01,0.35,0.35,0.36,0.4,203.29,337.64,6.49,92.67,-0.68,-7.34,0.34,0.24,0.35,0.36,0.36,0.41,0.97,4.88,NA
"1981-02-12",208.87,14.55,6.88,92.74,-2.34,-4,-0.26,-0.78,0.35,0.35,0.36,0.4,203.75,0,-1.34,92.54,-4.78,-7.11,-0.66,-1.01,0.35,0.35,0.36,0.4,213.74,71.08,11.19,92.92,-0.01,-1.95,0.02,-0.36,0.37,0.36,0.36,0.4,12.74,1.12,NA
"1981-02-13",217.85,15.54,4.45,92.28,1.11,-0.06,-0.72,-0.58,0.4,0.38,0.36,0.4,214.19,0,-3.99,91.72,-0.72,-2.07,-1.14,-0.98,0.37,0.36,0.36,0.4,219.95,77.14,9.81,92.78,3.46,1.74,-0.24,-0.18,0.43,0.42,0.36,0.4,32.65,1.49,NA
"1981-02-14",223.26,13.16,0.16,92.34,1.32,1.06,0.34,1.12,0.42,0.43,0.39,0.4,217.97,0,-10.52,91.66,0.66,0.27,-0.99,-0.05,0.41,0.42,0.36,0.4,227.49,63.35,5.9,92.85,2.13,2.06,0.97,1.74,0.43,0.43,0.4,0.4,46.17,0.18,NA
"1981-02-15",234.86,7.55,1.03,92.16,1.01,0.7,-0.28,0.34,0.42,0.43,0.41,0.41,227.9,0,-1.29,91.54,0.65,0.36,-0.92,-0.41,0.42,0.42,0.4,0.4,242.64,39.13,6.44,92.73,1.55,1.13,0.41,1.01,0.43,0.43,0.42,0.41,56.87,0.29,NA
"1981-02-16",244.59,16.08,1.66,91.2,1.72,1.33,-0.47,0.59,0.43,0.43,0.43,0.41,242.4,0,-3.72,91,0.76,0.24,-0.96,-0.79,0.42,0.42,0.42,0.41,250.54,72.91,6,91.75,3.23,3.03,0.61,1.95,0.43,0.43,0.43,0.42,65.14,0.51,NA
"1981-02-17",255.16,16.63,-1.53,92.2,1.39,1.3,0.3,1.04,0.43,0.42,0.43,0.42,251.75,0,-4.89,91.38,-0.09,-0.16,-0.62,-0.09,0.42,0.42,0.43,0.42,263.47,78.61,0.99,92.59,2.5,2.3,0.81,1.76,0.43,0.43,0.43,0.42,37.44,0.23,NA
"1981-02-18",271.78,41.54,-15.37,92.17,1.11,-0.15,-0.21,0.05,0.42,0.41,0.42,0.42,266.02,0,-45.45,91.57,-0.62,-0.94,-1.17,-0.93,0.41,0.41,0.42,0.42,274.14,206.5,2,92.67,4.09,1.22,0.69,1.45,0.43,0.42,0.43,0.43,20.82,2.36,NA
"1981-02-19",279.79,22.89,-8.46,91.47,0.7,0.09,0.27,1.35,0.42,0.42,0.43,0.43,274.31,0,-41.6,90.6,-0.98,-1.47,-1.36,-0.62,0.41,0.41,0.42,0.43,288.63,129.37,9.75,92.61,1.97,1.34,1.23,2.28,0.43,0.43,0.43,0.43,48.08,1.02,NA
"1981-02-20",293.06,39.7,-11.93,93.58,-0.05,-0.66,0.63,0.99,0.4,0.4,0.42,0.43,289.18,0,-44.68,92.73,-0.48,-1.7,0.09,-0.03,0.4,0.4,0.42,0.43,298.3,180.97,-2.15,93.92,1.07,-0.31,1.34,1.74,0.41,0.41,0.43,0.43,12.26,1.78,NA
"1981-02-21",299.67,24.8,-5.78,93.85,1.07,0.5,0.06,0.07,0.41,0.4,0.41,0.43,298.46,0,-13.98,93.62,-0.42,-0.61,-0.3,-0.68,0.4,0.4,0.41,0.43,301.07,118.8,-0.18,93.97,2.82,2,0.55,1.07,0.41,0.4,0.42,0.43,5.53,0.97,NA
