"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",227.74,34.25,-68.54,81.17,-8.24,-13.71,0.39,0,0.28,0.29,0.28,0.33,227.73,0,-91.29,80.91,-9.54,-17.16,0.11,-0.06,0.28,0.29,0.28,0.33,227.76,167.74,-58.94,81.44,-4.27,-9.89,0.58,0.12,0.28,0.29,0.28,0.33,0,0.81,0.82
"1981-01-02",227.76,35.26,-61.4,80.94,-9.66,-17.94,0.51,0.16,0.28,0.29,0.28,0.33,227.75,0,-86.6,80.85,-12.87,-20.56,0.17,0.1,0.28,0.29,0.28,0.33,227.77,170.5,-51.29,81.05,-5.61,-13.39,0.6,0.25,0.28,0.29,0.28,0.33,0,0.48,0.64
"1981-01-03",227.78,35.61,-55.02,80.92,-11.27,-17.89,0.51,0.16,0.28,0.29,0.28,0.33,227.77,0,-83.82,80.85,-13.44,-20.04,0.21,0.11,0.28,0.28,0.28,0.33,227.79,172.01,-42.68,80.97,-6.53,-13.92,0.62,0.2,0.28,0.29,0.28,0.33,0,0.32,0.54
"1981-01-04",227.8,32.83,-41.05,81.04,-11.77,-16.28,0.57,0.15,0.28,0.28,0.28,0.33,227.79,0,-68.25,80.92,-14.11,-18.63,0.3,-0.01,0.28,0.28,0.28,0.33,227.83,164.1,-30.73,81.15,-7.33,-13.28,0.72,0.25,0.28,0.28,0.28,0.33,0.01,0.36,0.5
"1981-01-05",227.87,32.94,-37.92,81.13,-11.89,-14.3,0.43,0.08,0.28,0.28,0.28,0.33,227.84,0,-74.09,81.07,-15.72,-17.8,0.18,-0.04,0.28,0.28,0.28,0.33,227.91,156.7,-5.09,81.24,-6.82,-11.14,0.72,0.2,0.28,0.28,0.28,0.33,0.03,0.38,0.47
"1981-01-06",228.38,15.93,-10.14,80.65,-10.95,-13.34,0.56,0.39,0.28,0.28,0.28,0.33,227.91,0,-28.68,80.36,-13.98,-15.93,0.18,0.18,0.28,0.28,0.28,0.33,229.23,86.9,13.85,81.06,-7.8,-10.36,1.07,0.67,0.28,0.28,0.28,0.33,1.28,0.03,0.48
"1981-01-07",229.29,25.44,-34.17,80.54,-9.67,-11.96,0.35,0.14,0.28,0.28,0.28,0.33,229.24,0,-59.74,80.38,-11.59,-13.79,0.01,-0.08,0.28,0.28,0.28,0.33,229.32,125.53,-10.83,80.65,-6.03,-10.11,0.76,0.27,0.28,0.28,0.28,0.33,0.05,0.43,0.48
"1981-01-08",229.34,32.14,-38.27,80.45,-10.04,-13.46,0.27,0.2,0.28,0.28,0.28,0.33,229.32,0,-68.5,80.27,-14.17,-16.38,-0.12,0.04,0.28,0.28,0.28,0.33,229.39,153.68,-1.98,80.72,-5.22,-11.22,0.46,0.37,0.28,0.28,0.28,0.33,0.04,0.87,0.49
"1981-01-09",229.51,31.27,-41.21,80.86,-9.57,-11.84,0.54,0.35,0.28,0.28,0.28,0.33,229.39,0,-73.77,80.68,-11.57,-13.47,0.32,0.15,0.28,0.28,0.28,0.33,229.63,137.29,-6.32,81.17,-6.53,-9.75,0.77,0.52,0.28,0.28,0.28,0.33,0.19,0.38,0.5
"1981-01-10",229.64,34.38,-49.92,81.37,-10.61,-13.59,0.21,0.13,0.28,0.28,0.28,0.33,229.63,0,-82.02,81.2,-14.04,-15.97,-0.25,0.01,0.28,0.28,0.28,0.33,229.67,165.65,-28.02,81.5,-5.79,-11.19,0.53,0.29,0.28,0.28,0.28,0.33,0.01,0.68,0.52
"1981-01-11",229.68,34.42,-50.32,81.4,-9.99,-16.21,0.3,0.21,0.28,0.28,0.28,0.33,229.67,0,-74.3,81.25,-13.73,-18.61,0.01,0.12,0.28,0.28,0.28,0.33,229.69,153.84,-26.46,81.51,-5.4,-11.98,0.42,0.31,0.28,0.28,0.28,0.33,0,0.61,0.5
"1981-01-12",229.69,36.88,-41.01,81.13,-7.39,-15.63,0.5,0.24,0.28,0.28,0.28,0.33,229.69,0,-73.46,81.03,-10.53,-18.16,0.19,0.13,0.28,0.28,0.28,0.33,229.7,160.81,-4.6,81.22,-4.03,-12.19,0.66,0.34,0.28,0.28,0.28,0.33,0,0.61,0.49
"1981-01-13",229.72,35.31,-39.73,81.28,-8.64,-13.78,0.4,0.06,0.28,0.28,0.28,0.33,229.7,0,-64.33,81.22,-11.44,-16.33,0.05,-0.05,0.28,0.28,0.28,0.33,229.74,173.33,-26.05,81.37,-3.76,-10.16,0.53,0.15,0.28,0.28,0.28,0.33,0,0.79,0.48
"1981-01-14",229.75,40.15,-53.73,81.14,-8.02,-13.67,0.33,-0.02,0.28,0.28,0.28,0.33,229.74,0,-85.16,81.05,-10.84,-16.03,-0.06,-0.15,0.28,0.28,0.28,0.33,229.77,189.88,-36.84,81.27,-3.15,-9.69,0.54,0.12,0.28,0.28,0.28,0.33,0,0.89,0.46
"1981-01-15",229.79,41.62,-55.89,80.99,-8.03,-14.65,0.15,0.14,0.28,0.28,0.28,0.33,229.78,0,-85.68,80.91,-9.78,-16.77,-0.29,-0.01,0.28,0.28,0.28,0.33,229.8,190.6,-38.96,81.07,-4.15,-11.28,0.37,0.32,0.28,0.28,0.28,0.33,0,0.94,0.44
"1981-01-16",229.81,45.08,-70.22,80.72,-10.03,-16.54,0.14,0.24,0.28,0.28,0.28,0.33,229.8,0,-103.98,80.55,-12.25,-21.23,-0.25,0.14,0.28,0.28,0.28,0.33,229.82,204.9,-49.88,80.9,-5.96,-14.14,0.27,0.29,0.28,0.28,0.28,0.33,0,1,0.43
"1981-01-17",229.85,31.64,-36.51,80.41,-11.03,-19.58,0.38,0.42,0.28,0.28,0.28,0.33,229.81,0,-66.41,80.29,-14.36,-24.72,0.09,0.26,0.28,0.28,0.28,0.33,230.01,165.87,19.47,80.64,-8.26,-11.55,0.56,0.57,0.28,0.28,0.28,0.33,0.21,0.4,0.41
"1981-01-18",230.13,37.25,-27.73,80.91,-8.84,-11.21,0.35,0.22,0.28,0.28,0.28,0.33,230.03,0,-72.03,80.66,-12.21,-13.72,0.1,0.12,0.28,0.28,0.28,0.33,230.19,172.87,12.23,81.04,-3.98,-8.71,0.64,0.35,0.28,0.28,0.28,0.33,0.11,0.57,0.39
"1981-01-19",230.22,37.63,-31.4,80.84,-6.55,-9.24,0.22,0.18,0.28,0.28,0.28,0.33,230.19,0,-66.1,80.69,-11.34,-13.05,-0.18,0.09,0.28,0.28,0.28,0.33,230.27,190.33,-9.95,81,0.04,-5.38,0.35,0.31,0.28,0.28,0.28,0.33,0,0.8,0.39
"1981-01-20",230.3,44.22,-49.66,80.84,-4.87,-7.18,0.18,0.28,0.28,0.28,0.28,0.33,230.27,0,-83.97,80.68,-8.85,-10.26,-0.43,0.09,0.28,0.28,0.28,0.33,230.35,201.25,-35.05,81.03,0.38,-4.21,0.54,0.57,0.28,0.28,0.28,0.33,0,0.89,0.41
"1981-01-21",230.39,25.57,-25.85,80.96,-4.69,-6.83,0.2,0.31,0.28,0.28,0.28,0.33,230.35,0,-59.06,80.86,-7.51,-8.89,-0.04,0.15,0.28,0.28,0.28,0.33,230.47,123.04,9.66,81.13,-0.92,-4.85,0.33,0.57,0.28,0.28,0.28,0.33,0.07,0.39,0.42
"1981-01-22",231.1,29.8,-23.29,80.63,-1.81,-3.61,0.26,0.43,0.28,0.28,0.28,0.33,230.71,0,-61.25,80.47,-4.51,-5.34,0.05,0.16,0.28,0.28,0.28,0.33,231.19,150.95,11.43,80.85,2.03,-1.66,0.52,0.64,0.28,0.28,0.28,0.33,0.66,0.54,0.43
"1981-01-23",231.36,23.59,-10.89,80.14,-0.53,-2.57,0.26,0.28,0.28,0.28,0.28,0.33,231.19,0,-29.38,79.87,-1.81,-3.98,-0.03,-0.12,0.28,0.28,0.28,0.33,231.79,120.23,8.22,80.41,1.65,-1.09,0.47,0.68,0.28,0.28,0.28,0.33,0.56,0.94,0.45
