"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",360.23,27.11,-58.72,81.69,-10,-13.23,0.16,0.31,0.27,0.28,0.28,0.33,360.22,0,-88.1,81.43,-13.25,-16.2,0.07,0.12,0.27,0.28,0.28,0.33,360.27,134.88,-42.94,81.95,-5.88,-10.71,0.26,0.44,0.27,0.28,0.28,0.33,0,0.49,NA
"1981-01-02",360.22,29.28,-57.87,81.43,-9.97,-17.94,0.24,0.47,0.27,0.28,0.28,0.33,360.22,0,-81.64,81.36,-11.36,-20.25,0.13,0.36,0.27,0.28,0.28,0.33,360.23,146.65,-45.51,81.51,-7.23,-13.82,0.31,0.56,0.27,0.28,0.28,0.33,0,0.39,NA
"1981-01-03",360.23,29.15,-49.25,81.42,-11.34,-17.81,0.27,0.47,0.27,0.28,0.28,0.33,360.23,0,-75.98,81.35,-12.86,-19.74,0.19,0.33,0.27,0.28,0.28,0.32,360.24,141.79,-34.66,81.48,-8.58,-14.65,0.32,0.54,0.27,0.28,0.28,0.33,0,0.29,NA
"1981-01-04",360.26,25.6,-28.08,81.58,-11.71,-15.41,0.41,0.44,0.27,0.28,0.28,0.32,360.24,0,-56.27,81.45,-13.64,-17.77,0.34,0.31,0.27,0.28,0.28,0.32,360.35,135.13,17.22,81.71,-8.64,-13.49,0.52,0.53,0.27,0.28,0.28,0.32,0.08,0.19,NA
"1981-01-05",360.43,19.77,-12.55,81.68,-12.09,-13.64,0.28,0.34,0.27,0.28,0.28,0.32,360.36,0,-31.31,81.53,-14.32,-15.86,0.1,0.22,0.27,0.28,0.28,0.32,360.48,99.29,12.48,81.78,-9.41,-11.65,0.57,0.44,0.27,0.28,0.28,0.32,0.08,0.09,NA
"1981-01-06",361.71,10.88,-7.2,81.13,-11.26,-13.11,0.39,0.61,0.27,0.28,0.28,0.32,360.48,0,-27.63,80.88,-13.9,-15.55,0.06,0.46,0.27,0.28,0.28,0.32,363.74,52.07,10.78,81.54,-8.81,-10.25,0.82,0.77,0.27,0.28,0.28,0.32,3.23,0.03,NA
"1981-01-07",363.89,17.96,-19.12,81.06,-9.09,-11.1,0.13,0.38,0.27,0.28,0.28,0.32,363.77,0,-54.01,80.86,-10.09,-12.39,-0.18,0.18,0.27,0.28,0.28,0.32,363.94,95.48,3.88,81.17,-7.13,-10.15,0.63,0.61,0.27,0.28,0.28,0.32,0.18,0.32,NA
"1981-01-08",363.98,28.91,-39.43,80.95,-9.75,-12.54,0.09,0.41,0.27,0.28,0.28,0.32,363.94,0,-72.5,80.79,-12.19,-13.68,-0.27,0.25,0.27,0.28,0.28,0.32,364.11,143.4,1.78,81.18,-6.04,-11.13,0.32,0.59,0.27,0.28,0.28,0.32,0.15,0.38,NA
"1981-01-09",364.6,18.91,-12.79,81.36,-8.44,-10.51,0.28,0.62,0.27,0.27,0.28,0.32,364.12,0,-43.1,81.14,-10.33,-13.08,0.12,0.48,0.27,0.27,0.28,0.32,364.95,99.17,11.03,81.67,-6.48,-8.91,0.46,0.72,0.27,0.28,0.28,0.32,0.8,0.23,NA
"1981-01-10",365.03,27.34,-41.09,81.86,-9.72,-11.83,-0.14,0.4,0.27,0.27,0.28,0.32,364.97,0,-74.87,81.73,-12.33,-13.74,-0.58,0.24,0.27,0.27,0.28,0.32,365.05,144.36,-17,81.96,-6.8,-9.47,0.22,0.5,0.27,0.27,0.28,0.32,0.1,0.43,NA
