"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",403.59,21.06,-58.09,80.93,-9.62,-17.01,0.49,0.28,0.41,0.41,0.41,0.48,403.59,0,-76.78,80.67,-11.28,-20.68,0.37,0.23,0.41,0.41,0.41,0.48,403.59,108.01,-49.51,81.19,-7.67,-14.63,0.62,0.39,0.41,0.41,0.41,0.48,0,0.08,1.53
"1981-01-02",403.59,21.88,-52.17,80.65,-10.73,-21.64,0.5,0.43,0.41,0.41,0.41,0.48,403.59,0,-71.4,80.6,-12.83,-23.24,0.38,0.31,0.41,0.41,0.41,0.48,403.59,110.28,-45.54,80.71,-8.66,-19.95,0.65,0.55,0.41,0.41,0.41,0.48,0,0.04,1.49
"1981-01-03",403.6,22,-43.38,80.64,-12.44,-19.59,0.51,0.46,0.41,0.41,0.41,0.48,403.59,0,-61.7,80.55,-14.12,-21.95,0.4,0.36,0.41,0.41,0.41,0.48,403.6,109.31,-34.4,80.7,-10.57,-17.23,0.66,0.54,0.41,0.41,0.41,0.48,0,0.02,1.46
"1981-01-04",404.05,12.43,2.44,80.85,-11.76,-14.99,0.55,0.54,0.41,0.41,0.41,0.48,403.6,0,-31.18,80.7,-13.92,-17.47,0.42,0.44,0.41,0.41,0.41,0.48,405.57,61.58,32.05,80.97,-9.98,-11.51,0.65,0.67,0.41,0.41,0.41,0.48,1.95,0,1.43
"1981-01-05",405.69,14.69,-5.08,80.92,-10.14,-12.25,0.2,0.42,0.41,0.41,0.41,0.48,405.59,0,-26.43,80.68,-11.42,-13.4,0,0.34,0.41,0.41,0.41,0.48,405.73,78.06,15.67,81.03,-8.81,-11.36,0.51,0.57,0.41,0.41,0.41,0.48,0.14,0.04,1.42
"1981-01-06",408.35,6.48,2.23,80.28,-9.31,-11.58,0.38,0.75,0.41,0.41,0.41,0.48,405.74,0,-20.09,80.09,-10.1,-13.15,-0.02,0.56,0.41,0.41,0.41,0.48,410.91,29.7,21.88,80.65,-8.22,-9.82,0.77,0.87,0.41,0.41,0.41,0.48,5.17,-0.01,1.39
"1981-01-07",411.17,12,-14.2,80.26,-8.79,-10.86,0.07,0.54,0.41,0.41,0.41,0.48,410.96,0,-49.29,80.01,-10,-11.61,-0.31,0.38,0.41,0.41,0.41,0.48,411.28,65.96,5.77,80.41,-7.17,-10.43,0.57,0.71,0.41,0.41,0.41,0.48,0.35,0.06,1.36
"1981-01-08",411.33,21.48,-37.11,80.15,-10.03,-12.56,0.09,0.46,0.41,0.41,0.41,0.48,411.28,0,-70.03,80.03,-11.94,-13.62,-0.19,0.24,0.41,0.41,0.41,0.48,411.57,112.61,4.89,80.23,-7.52,-11.59,0.32,0.81,0.41,0.41,0.41,0.48,0.28,0.08,1.33
"1981-01-09",411.93,13.62,-13.66,80.51,-9.06,-11.14,0.17,0.8,0.41,0.41,0.41,0.48,411.69,0,-31.08,80.18,-10.57,-12.68,-0.08,0.63,0.41,0.41,0.41,0.48,412.17,64.26,3.88,80.9,-7.77,-9.45,0.31,1,0.41,0.41,0.41,0.48,0.58,0.04,1.32
"1981-01-10",412.32,19.28,-32.19,80.97,-9.47,-11.29,-0.1,0.6,0.41,0.41,0.41,0.48,412.21,0,-69.98,80.89,-10.63,-12.33,-0.34,0.44,0.41,0.41,0.41,0.48,412.36,98.86,1.51,81.04,-7.52,-10.84,0.13,0.79,0.41,0.41,0.41,0.48,0.17,0.1,1.3
"1981-01-11",412.36,24.14,-47.43,80.92,-10.45,-15.16,0.21,0.55,0.4,0.41,0.41,0.48,412.36,0,-65.4,80.65,-11.97,-16.71,0.06,0.36,0.4,0.41,0.41,0.48,412.36,118.97,-16.78,81.04,-7.91,-12.8,0.32,0.72,0.41,0.41,0.41,0.48,0,0.15,1.29
"1981-01-12",412.37,25.01,-32.13,80.78,-9.01,-16.16,0.37,0.58,0.4,0.41,0.41,0.48,412.36,0,-65.13,80.66,-10.91,-17.94,0.25,0.43,0.4,0.41,0.41,0.48,412.37,122.62,-3.43,80.94,-7,-14.73,0.52,0.74,0.4,0.41,0.41,0.48,0,0.16,1.28
"1981-01-13",412.38,22.43,-36.68,81.03,-10.24,-14.25,0.41,0.37,0.4,0.41,0.41,0.48,412.37,0,-57.36,80.95,-11.43,-14.89,0.29,0.23,0.4,0.41,0.41,0.48,412.38,111.74,-16.26,81.11,-7.93,-13.18,0.54,0.54,0.4,0.41,0.41,0.48,0,0.12,1.26
"1981-01-14",412.39,25.78,-36.99,80.94,-9.87,-13.11,0.48,0.15,0.4,0.41,0.41,0.48,412.38,0,-63.39,80.8,-11.23,-14.99,0.37,0.03,0.4,0.41,0.4,0.48,412.4,127.9,-14.81,81.03,-7.37,-12.47,0.55,0.28,0.4,0.41,0.41,0.48,0,0.13,1.25
"1981-01-15",412.41,27.84,-45.59,80.6,-10.35,-16.01,0.42,0.35,0.4,0.41,0.4,0.48,412.4,0,-68.39,80.45,-12.2,-16.78,0.25,0.17,0.4,0.41,0.4,0.48,412.42,134.03,-37.74,80.8,-7.88,-15.2,0.53,0.5,0.4,0.41,0.4,0.48,0,0.16,1.23
"1981-01-16",412.42,28.81,-50.72,80.26,-11.99,-17.41,0.39,0.44,0.4,0.41,0.4,0.48,412.42,0,-77.37,80.06,-14.9,-19,0.29,0.3,0.4,0.41,0.4,0.48,412.43,138.13,-37.45,80.43,-9.1,-16.52,0.46,0.52,0.4,0.41,0.4,0.48,0,0.16,1.22
"1981-01-17",412.43,29.38,-44.2,79.92,-13.69,-21.38,0.35,0.69,0.4,0.41,0.4,0.48,412.43,0,-68.8,79.74,-16.21,-22.88,0.17,0.48,0.4,0.41,0.4,0.48,412.44,142.29,-4.19,80.21,-10.86,-19.26,0.48,0.88,0.4,0.41,0.4,0.48,0.01,0.15,1.2
"1981-01-18",412.49,20.99,-5.9,80.42,-11.57,-14.62,0.08,0.75,0.4,0.41,0.4,0.48,412.44,0,-40.66,80.29,-12.97,-18.52,-0.06,0.68,0.4,0.4,0.4,0.48,412.52,111.77,22.61,80.5,-9.64,-13.22,0.28,0.86,0.4,0.41,0.4,0.48,0.06,0.12,1.18
