"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",196.15,32.62,-46.26,85.61,-2.99,-4.55,-0.03,-0.25,0.36,0.37,0.36,0.37,196.12,0,-88,85.39,-6.95,-7.51,-0.41,-0.65,0.36,0.37,0.36,0.37,196.17,175.9,-17.78,85.85,0.25,-3.26,0.4,0.19,0.37,0.37,0.36,0.37,0.03,1.23,0.71
"1981-01-02",196.12,32.7,-46.4,85.45,-5.38,-8.6,0.06,0.27,0.36,0.37,0.36,0.37,196.1,0,-90.19,85.37,-9.54,-10.48,-0.26,-0.01,0.36,0.37,0.36,0.37,196.15,173.11,-17.26,85.57,-2.17,-6.79,0.43,0.43,0.36,0.37,0.36,0.37,0.03,1.33,0.66
"1981-01-03",196.12,33.01,-41.16,85.47,-6.45,-9.36,0.11,0.3,0.36,0.37,0.36,0.37,196.11,0,-74.32,85.4,-9.7,-10.81,-0.27,0.16,0.36,0.37,0.36,0.37,196.13,174.62,-18.94,85.55,-2.93,-7.42,0.53,0.4,0.36,0.37,0.36,0.37,0.02,1.25,0.62
"1981-01-04",196.16,24.85,-30.27,85.7,-6.87,-8.75,0.33,0.07,0.36,0.36,0.36,0.37,196.13,0,-60.09,85.55,-9.63,-10.54,-0.17,-0.15,0.36,0.36,0.36,0.37,196.19,127.06,-8.25,85.87,-3.27,-7.1,0.68,0.23,0.36,0.37,0.36,0.37,0.05,0.67,0.6
"1981-01-05",196.24,25.03,-26,85.76,-6.56,-8.02,0,0.29,0.36,0.36,0.36,0.37,196.2,0,-49.09,85.6,-8.8,-9.73,-0.55,-0.04,0.36,0.36,0.36,0.37,196.27,133.08,-12.11,85.89,-3.71,-6.16,0.5,0.82,0.36,0.36,0.36,0.37,0.04,0.49,0.6
"1981-01-06",197.11,12.9,-16.16,85.29,-6.76,-8.24,0.23,0.7,0.35,0.36,0.36,0.37,196.27,0,-40.72,85.11,-8.77,-9.88,-0.19,0.32,0.35,0.36,0.36,0.37,197.9,66.01,4.96,85.59,-4.34,-6.48,0.68,1.09,0.36,0.36,0.36,0.37,1.62,0.38,0.61
"1981-01-07",197.95,25.66,-29.94,85.1,-6.19,-7.47,-0.04,0.25,0.35,0.36,0.36,0.37,197.9,0,-70.08,84.85,-8.05,-8.86,-0.69,-0.23,0.35,0.36,0.36,0.37,197.96,136.15,-6.34,85.26,-3.42,-5.98,0.64,0.59,0.35,0.36,0.36,0.37,0.06,0.7,0.62
"1981-01-08",198,22.06,-21.81,85.03,-6.46,-8.36,-0.07,0.42,0.35,0.36,0.36,0.37,197.96,0,-51.7,84.86,-8.46,-9.43,-0.58,0.07,0.35,0.36,0.36,0.37,198.1,113.5,-5.48,85.27,-3.86,-7.03,0.35,0.81,0.35,0.36,0.36,0.37,0.16,0.77,0.62
"1981-01-09",198.38,31.54,-40.03,85.51,-5.78,-7.67,0.13,0.67,0.35,0.36,0.36,0.37,198.15,0,-81.28,85.26,-8.2,-9.28,-0.24,0.33,0.35,0.36,0.36,0.37,198.63,182.42,-1.31,85.82,-2.42,-5.48,0.39,0.92,0.35,0.36,0.36,0.37,0.52,0.76,0.6
"1981-01-10",198.66,33.29,-35.32,85.91,-6.78,-8.33,-0.4,0.23,0.35,0.36,0.36,0.37,198.64,0,-83.13,85.82,-9.65,-10.83,-0.82,-0.04,0.35,0.36,0.36,0.37,198.68,174.7,-2.96,86.01,-3.49,-6.74,0.18,0.52,0.35,0.36,0.36,0.37,0.06,0.97,0.59
