"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",325.24,39.12,-72,83.04,-5.51,-8.66,-0.58,-0.4,0.38,0.39,0.38,0.4,325.23,0,-99.83,82.8,-10.55,-11.86,-0.79,-0.57,0.38,0.39,0.38,0.4,325.25,190.31,-52.89,83.31,-0.52,-5.94,-0.26,-0.22,0.38,0.39,0.38,0.4,0,1.03,1.03
"1981-01-02",325.23,38.91,-60.94,82.89,-8.72,-12.26,-0.59,-0.17,0.38,0.39,0.38,0.4,325.23,0,-94.04,82.77,-12.08,-14.98,-0.81,-0.33,0.38,0.38,0.38,0.4,325.24,189.27,-41.61,83.02,-3.05,-9.26,-0.38,0.12,0.38,0.39,0.38,0.4,0,0.83,0.95
"1981-01-03",325.24,38.57,-53.43,82.89,-9.23,-13.57,-0.55,-0.2,0.38,0.38,0.38,0.4,325.23,0,-87.05,82.81,-12.05,-15.81,-0.73,-0.32,0.38,0.38,0.38,0.4,325.25,189.07,-29.56,82.97,-4.29,-10.8,-0.16,0.03,0.38,0.38,0.38,0.4,0,0.81,0.88
"1981-01-04",325.27,31.4,-37.13,83.08,-9.55,-12.47,-0.18,-0.27,0.37,0.38,0.38,0.4,325.25,0,-63.56,82.92,-12.11,-14.66,-0.57,-0.48,0.37,0.38,0.38,0.4,325.31,159.71,-3.15,83.23,-6.01,-10.22,0.25,-0.09,0.38,0.38,0.38,0.4,0.02,0.68,0.93
"1981-01-05",325.36,31.34,-34.56,83.16,-8.82,-11.01,-0.26,-0.19,0.37,0.38,0.38,0.4,325.32,0,-72.94,83.06,-11.47,-12.77,-0.74,-0.57,0.37,0.38,0.38,0.4,325.4,148.95,-9.8,83.28,-5.18,-9.22,0.13,0.19,0.37,0.38,0.38,0.4,0.03,0.64,0.91
"1981-01-06",326.26,13.66,-8.73,82.72,-8.86,-10.46,-0.16,0.3,0.37,0.38,0.38,0.4,325.4,0,-23.57,82.53,-10.92,-12.43,-0.78,-0.28,0.37,0.38,0.38,0.4,327.48,82.74,7.07,83.05,-6.81,-8.79,0.53,0.67,0.37,0.38,0.38,0.4,2.04,0.19,0.89
"1981-01-07",327.56,25.95,-30.88,82.54,-7.68,-9.63,-0.33,-0.02,0.37,0.38,0.38,0.4,327.49,0,-70.95,82.3,-9.97,-10.94,-0.66,-0.44,0.37,0.38,0.38,0.4,327.58,116.22,-7.02,82.67,-4.4,-8.61,0.16,0.52,0.37,0.38,0.38,0.4,0.08,0.57,0.87
"1981-01-08",327.62,30.02,-30.18,82.48,-7.49,-10.14,-0.39,0.16,0.37,0.38,0.38,0.4,327.58,0,-53.23,82.29,-10.61,-11.72,-0.6,-0.18,0.37,0.38,0.38,0.4,327.7,150.51,-3.72,82.75,-4.09,-9.06,-0.02,0.5,0.37,0.38,0.38,0.4,0.1,0.8,0.84
"1981-01-09",328.07,30.29,-37.88,82.95,-7.02,-8.79,-0.28,0.21,0.37,0.37,0.38,0.4,327.73,0,-71.49,82.72,-9.26,-10.53,-0.6,-0.18,0.37,0.37,0.37,0.4,328.46,152.02,-8.08,83.25,-4.08,-7.25,0.26,0.54,0.37,0.38,0.38,0.4,0.72,0.68,0.83
"1981-01-10",328.47,38.94,-52.1,83.35,-8.75,-11.56,-0.68,0,0.37,0.37,0.37,0.4,328.46,0,-84.89,83.24,-12.12,-14.1,-0.94,-0.27,0.37,0.37,0.37,0.4,328.47,194.91,-27.13,83.46,-4.08,-9.84,-0.42,0.37,0.37,0.37,0.37,0.4,0.02,1.23,0.81
