"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",249.79,38.27,-68.72,84.43,-3.79,-6.21,-0.16,-0.63,0.36,0.36,0.35,0.36,249.78,0,-98.04,84.19,-9.31,-10.37,-0.32,-0.77,0.36,0.36,0.35,0.36,249.79,186.67,-39.74,84.68,0.22,-4.46,0.05,-0.44,0.36,0.37,0.35,0.36,0,0.96,1.46
"1981-01-02",249.72,37.78,-54.92,84.3,-8.28,-10.99,-0.26,-0.39,0.36,0.36,0.35,0.36,249.7,0,-94.12,84.18,-11.89,-13.49,-0.41,-0.61,0.36,0.36,0.35,0.36,249.77,188.47,-30.79,84.45,-2.67,-8.33,-0.15,-0.03,0.36,0.36,0.35,0.36,0,0.88,1.35
"1981-01-03",249.71,36.87,-46.67,84.32,-8.78,-11.63,-0.27,-0.4,0.35,0.36,0.35,0.36,249.7,0,-82.51,84.24,-11.61,-13.31,-0.46,-0.55,0.35,0.36,0.35,0.36,249.72,187.7,-8.42,84.4,-3.95,-9.62,-0.07,-0.13,0.36,0.36,0.35,0.36,0.01,1.22,1.22
"1981-01-04",249.75,29.14,-31.44,84.53,-9.04,-11.1,-0.01,-0.37,0.35,0.36,0.35,0.36,249.72,0,-62.2,84.36,-11.88,-13.43,-0.29,-0.7,0.35,0.36,0.35,0.36,249.78,157.21,-2.91,84.7,-5.51,-8.92,0.28,-0.14,0.35,0.36,0.35,0.36,0.05,0.83,1.12
"1981-01-05",249.85,27,-25.71,84.6,-8.02,-9.66,-0.06,-0.34,0.35,0.36,0.35,0.36,249.79,0,-66.54,84.5,-10.48,-11.6,-0.47,-0.77,0.35,0.36,0.35,0.36,249.89,140.67,-1.1,84.73,-4.88,-8.08,0.14,0.06,0.35,0.36,0.35,0.36,0.06,0.45,1.04
"1981-01-06",250.55,13.51,-8.8,84.17,-7.47,-8.84,-0.07,0.2,0.35,0.36,0.35,0.36,249.89,0,-25.58,83.98,-9.22,-10.17,-0.58,-0.33,0.35,0.36,0.35,0.36,251.31,88.82,5.34,84.5,-5.67,-7.68,0.48,0.56,0.35,0.36,0.35,0.36,1.39,0.27,0.99
"1981-01-07",251.37,26.19,-26.97,83.97,-6.68,-8.17,-0.18,-0.18,0.35,0.35,0.35,0.36,251.32,0,-72.86,83.74,-8.98,-9.78,-0.5,-0.68,0.35,0.35,0.35,0.36,251.4,134.14,1.68,84.1,-3.62,-7.01,0.23,0.38,0.35,0.36,0.35,0.36,0.06,0.57,0.95
"1981-01-08",251.45,26.7,-26.19,83.91,-6.73,-8.84,-0.27,0,0.35,0.35,0.35,0.36,251.4,0,-55.42,83.73,-9.57,-10.6,-0.41,-0.34,0.35,0.35,0.35,0.36,251.56,133.21,-10.62,84.18,-3.75,-7.1,-0.05,0.45,0.35,0.35,0.35,0.36,0.15,0.86,0.91
"1981-01-09",251.81,29.58,-34.9,84.4,-6.03,-7.46,-0.12,0.11,0.35,0.35,0.35,0.36,251.58,0,-73.74,84.15,-8.49,-9.38,-0.51,-0.26,0.35,0.35,0.35,0.36,252.05,162.35,-10.21,84.69,-3.15,-6.12,0.24,0.49,0.35,0.35,0.35,0.36,0.45,0.73,0.88
"1981-01-10",252.08,36.49,-43.09,84.78,-7.41,-9.27,-0.44,-0.23,0.35,0.35,0.35,0.36,252.05,0,-82.44,84.68,-10.49,-11.63,-0.52,-0.57,0.35,0.35,0.35,0.36,252.09,186.24,-5.56,84.9,-3.3,-7.85,-0.19,0.23,0.35,0.35,0.35,0.36,0.04,0.9,0.84
