"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",123.8,38.78,-60.3,81.65,-11.71,-15.65,0.79,-0.26,0.31,0.31,0.28,0.31,123.77,0,-100.19,81.33,-16.79,-19.28,0.3,-0.44,0.3,0.3,0.28,0.31,123.82,193.26,-26.66,81.99,-3.97,-11.18,1.41,0.02,0.31,0.31,0.28,0.31,0,0.79,0.43
"1981-01-02",123.77,40.09,-64.18,81.39,-9.89,-17.48,1.14,-0.11,0.3,0.3,0.28,0.31,123.75,0,-95.72,81.31,-13.62,-20.71,0.68,-0.6,0.3,0.3,0.28,0.31,123.77,192.48,-44.54,81.54,-4.35,-12.64,1.58,0.24,0.3,0.3,0.28,0.31,0,0.63,0.39
"1981-01-03",123.75,40.48,-65.98,81.33,-13.07,-17.36,1.46,-0.1,0.3,0.3,0.28,0.31,123.74,0,-97.36,81.25,-16.41,-20.06,1.05,-0.18,0.3,0.3,0.28,0.31,123.76,194.07,-42.79,81.38,-6.13,-12.66,1.64,0.05,0.3,0.3,0.28,0.31,0,0.63,0.34
"1981-01-04",123.75,38.33,-53.16,81.43,-13.42,-16.99,1.51,-0.01,0.3,0.3,0.28,0.31,123.74,0,-79.53,81.33,-17.12,-20.2,1.23,-0.09,0.3,0.3,0.28,0.31,123.76,190.02,-36.98,81.51,-7.66,-12.65,1.68,0.14,0.3,0.3,0.28,0.31,0,0.76,0.3
"1981-01-05",123.75,39.5,-57.67,81.57,-13.56,-16.26,1.21,-0.03,0.3,0.3,0.28,0.31,123.74,0,-85.17,81.46,-17.21,-19.35,0.77,-0.12,0.3,0.3,0.28,0.31,123.77,188.6,-36.1,81.64,-7.91,-12.13,1.58,0.1,0.3,0.3,0.28,0.31,0,0.62,0.26
"1981-01-06",123.85,25.96,-30.9,81.06,-11.86,-14.08,1.54,0.35,0.3,0.3,0.28,0.31,123.74,0,-56.74,80.64,-15.26,-17.6,0.96,-0.03,0.3,0.3,0.28,0.31,124.08,131.54,-14.27,81.6,-7.04,-10.08,2.09,0.69,0.3,0.3,0.28,0.31,0.3,0.33,0.26
"1981-01-07",124.11,30.6,-36.73,81,-9.69,-11.62,1.15,0.15,0.29,0.3,0.28,0.31,124.07,0,-69.38,80.85,-11.55,-13.44,0.66,-0.19,0.29,0.3,0.28,0.31,124.13,162.1,-8.27,81.15,-5.7,-9.67,1.43,0.66,0.3,0.3,0.28,0.31,0.04,0.82,0.27
"1981-01-08",124.05,39.77,-50.32,80.95,-9.41,-12.51,0.78,0.13,0.29,0.3,0.28,0.31,124.04,0,-93.59,80.71,-14.63,-16.32,-0.08,-0.19,0.29,0.29,0.28,0.31,124.06,191.44,-13.04,81.25,-3.44,-9.87,1.37,0.57,0.29,0.3,0.28,0.31,0.02,1.2,0.28
"1981-01-09",124.12,28.36,-31.41,81.29,-9.4,-10.9,1.45,0.33,0.29,0.29,0.28,0.31,124.06,0,-65.01,81.16,-11.74,-13.4,1.06,-0.07,0.29,0.29,0.28,0.31,124.18,127.92,-8.29,81.63,-5.4,-7.99,1.99,0.63,0.29,0.29,0.28,0.31,0.08,0.4,0.29
"1981-01-10",124.19,36.64,-47.94,81.84,-8.98,-10.93,1.22,0.1,0.29,0.29,0.28,0.31,124.14,0,-102.34,81.63,-12.07,-14.19,1,-0.05,0.29,0.29,0.28,0.31,124.22,192.07,-12.94,81.97,-4.55,-8.96,1.47,0.29,0.29,0.29,0.28,0.31,0.04,1,0.29
