"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",96.43,38.12,-63.08,86.64,-4.05,-6.33,-0.72,0.34,0.39,0.4,0.41,0.38,96.4,0,-97.83,86.47,-8.95,-10.82,-0.94,-0.57,0.39,0.39,0.41,0.38,96.46,192.39,-32.52,86.88,1.06,-2.91,-0.44,1.22,0.4,0.4,0.41,0.38,0.01,1.49,0.07
"1981-01-02",96.4,42.21,-62.84,86.45,-6.98,-9.88,-0.72,1.05,0.38,0.39,0.41,0.38,96.38,0,-106.12,86.39,-12.39,-14.26,-1.06,0.51,0.38,0.39,0.41,0.38,96.4,199.24,-34.82,86.53,2.29,-3.28,-0.55,1.34,0.39,0.39,0.41,0.38,0,0.85,0.07
"1981-01-03",96.37,43,-63.9,86.45,-7.25,-10.18,-0.65,1,0.38,0.39,0.41,0.38,96.37,0,-105.45,86.36,-12.36,-14.27,-0.86,0.32,0.38,0.38,0.41,0.38,96.38,209.68,-32.07,86.63,0.23,-4.6,-0.2,1.56,0.38,0.39,0.41,0.38,0,0.79,0.06
"1981-01-04",96.38,29.28,-33.08,86.79,-5.8,-8.21,0.32,1.08,0.38,0.38,0.41,0.38,96.37,0,-60.02,86.66,-12.1,-14.59,-0.16,0.51,0.37,0.38,0.4,0.38,96.41,137.65,8.46,86.91,0.33,-2.43,0.91,1.65,0.38,0.38,0.41,0.38,0.01,0.4,0.06
"1981-01-05",96.38,36.86,-46.33,86.75,-3.45,-5.73,-0.61,0.76,0.37,0.38,0.4,0.38,96.32,0,-99.24,86.5,-7.94,-9.81,-1.05,0.23,0.37,0.38,0.4,0.38,96.41,193.95,-23.6,86.97,0.99,-2.96,0.19,1.11,0.37,0.38,0.4,0.38,0,1.97,0.06
"1981-01-06",97.22,17.64,-30.35,86.31,-3.21,-4.98,0.06,1.02,0.37,0.37,0.4,0.38,96.3,0,-57.13,86.21,-6.51,-8.31,-1,0.41,0.37,0.37,0.4,0.38,97.81,83.54,5.13,86.46,1.31,-1.33,0.95,1.46,0.37,0.38,0.4,0.38,1.51,0.66,0.06
"1981-01-07",97.78,32.83,-48.03,86.07,-5.83,-8.38,-0.57,0.94,0.37,0.37,0.4,0.38,97.72,0,-83.31,85.87,-10.39,-11.96,-0.78,0.38,0.36,0.37,0.4,0.38,97.82,164.59,-24.43,86.34,-0.71,-4.75,-0.21,1.44,0.37,0.37,0.4,0.38,0.01,1.14,0.06
"1981-01-08",97.69,23.54,-38.54,85.96,-6.35,-9.02,-0.76,1.05,0.36,0.37,0.4,0.38,97.67,0,-74.08,85.84,-12.03,-14.15,-1.19,0.5,0.36,0.37,0.4,0.38,97.74,117.96,-7.37,86.18,-1.49,-5.1,-0.14,1.47,0.36,0.37,0.4,0.38,0.1,0.61,0.06
"1981-01-09",97.89,42.4,-57.47,86.51,-4.06,-6.23,-0.04,1.26,0.36,0.37,0.4,0.38,97.78,0,-98.86,86.2,-9.28,-11.22,-0.9,0.78,0.36,0.37,0.4,0.38,97.96,205.99,-4.71,86.75,1.54,-2.84,1.36,1.63,0.36,0.37,0.4,0.38,0.25,1.84,0.05
"1981-01-10",97.91,38.92,-56.45,86.76,-6.55,-8.72,-1.14,0.84,0.36,0.37,0.4,0.38,97.82,0,-107.36,86.71,-9.61,-11.35,-1.49,0.33,0.36,0.36,0.4,0.38,97.94,194.01,-13.48,86.84,-0.11,-4.3,-0.83,1.25,0.36,0.37,0.4,0.38,0,1.39,0.05
"1981-01-11",97.78,46.1,-59.13,86.69,-5.61,-8.18,-1.12,0.97,0.36,0.36,0.4,0.38,97.69,0,-101.69,86.52,-9.83,-11.6,-1.39,0.57,0.36,0.36,0.39,0.38,97.81,214.48,-19.97,86.81,1.66,-3.17,-0.86,1.36,0.36,0.36,0.4,0.38,0,1.82,0.05
"1981-01-12",97.67,37.56,-50.97,86.62,-3.09,-6.07,-0.49,1.22,0.36,0.36,0.39,0.38,97.62,0,-100.22,86.5,-6.28,-8.82,-0.86,0.61,0.36,0.36,0.39,0.38,97.69,187.3,-13.16,86.8,3,-1.28,-0.12,1.72,0.36,0.36,0.39,0.38,0,1.3,0.05
"1981-01-13",97.54,36.76,-55.57,86.81,-3.2,-6.48,-0.34,1.15,0.36,0.36,0.39,0.38,97.42,0,-92.59,86.76,-8.2,-10.7,-0.83,0.35,0.36,0.36,0.39,0.38,97.62,171.45,-26.12,86.88,4.03,-1.48,0.14,1.69,0.36,0.36,0.39,0.38,0,1.09,0.05
"1981-01-14",97.36,44.87,-63.94,86.59,-6.58,-9.68,-0.94,0.63,0.36,0.36,0.39,0.38,97.26,0,-89.5,86.43,-12.89,-14.89,-1.41,-0.08,0.36,0.36,0.39,0.38,97.41,204.8,-35.78,86.81,1.43,-2.87,-0.54,1.26,0.36,0.36,0.39,0.38,0,2.25,0.05
"1981-01-15",97.17,50.55,-71.04,86.25,-7.79,-10.7,-1.13,0.8,0.35,0.36,0.39,0.38,97.05,0,-108.13,86.13,-12.93,-14.9,-1.55,0.1,0.35,0.36,0.39,0.38,97.25,226.46,-45.46,86.43,0.63,-4.83,-0.73,1.11,0.36,0.36,0.39,0.38,0,2.4,0.05
"1981-01-16",96.99,52.99,-78.65,85.94,-8.35,-11.24,-1.25,0.87,0.35,0.36,0.39,0.38,96.85,0,-123.66,85.79,-12.46,-14.23,-1.53,0.09,0.35,0.36,0.39,0.38,97.04,244.27,-48.22,86.13,-0.27,-6.1,-0.95,1.26,0.35,0.36,0.39,0.38,0,2.05,0.06
"1981-01-17",96.87,45.33,-48.52,85.81,-6.74,-9.21,-0.96,1.22,0.35,0.36,0.39,0.39,96.84,0,-87.64,85.61,-12.83,-14.82,-1.2,0.87,0.35,0.36,0.39,0.38,96.93,217.4,-22.47,86.23,0.17,-4.13,-0.55,1.41,0.35,0.36,0.39,0.39,0.12,1.78,0.08
"1981-01-18",97.08,23.9,-41.73,86.28,-4.15,-5.99,-1.3,0.99,0.35,0.36,0.39,0.39,96.92,0,-69.68,86.21,-9.74,-11.15,-1.51,0.67,0.35,0.36,0.39,0.39,97.23,100.44,7.48,86.34,1.1,-2.2,-0.95,1.31,0.35,0.36,0.39,0.39,0.34,0.79,0.1
"1981-01-19",97.17,31.3,-37.8,86.11,-0.64,-2.2,-1.02,1.03,0.35,0.36,0.39,0.39,97.04,0,-68.36,85.94,-3.93,-4.81,-1.35,0.61,0.35,0.35,0.39,0.39,97.24,143.47,-20.28,86.28,3.29,0.07,-0.31,1.43,0.35,0.36,0.39,0.39,0.16,1.22,0.11
"1981-01-20",96.93,47.59,-42.75,86.09,0.15,-1.6,-1.14,0.87,0.36,0.35,0.39,0.39,96.5,0,-86.88,85.98,-3.44,-4.54,-1.65,0.46,0.35,0.35,0.38,0.39,97.28,220.36,-3.29,86.23,3.78,-0.29,-0.15,1.27,0.36,0.36,0.39,0.39,0.16,2.65,0.12
"1981-01-21",94.79,36.65,-20.87,86.1,2.03,0.45,-1.23,0.69,0.39,0.36,0.38,0.39,91.76,0,-91.03,85.85,0.84,-0.74,-1.62,-0.04,0.36,0.36,0.38,0.39,96.94,229.46,0.68,86.39,4.64,1.5,-0.6,1.16,0.41,0.37,0.38,0.39,2.72,2.1,0.12
"1981-01-22",89.27,25.34,-24.09,85.76,1.84,0.77,-0.98,0.72,0.42,0.39,0.38,0.39,86.95,0,-49.79,85.59,-0.35,-1.56,-1.44,-0.24,0.41,0.37,0.38,0.39,91.54,123.66,-2.58,85.93,4.37,3,-0.41,1.18,0.43,0.4,0.38,0.39,2.51,0.63,0.13
"1981-01-23",86.5,33.16,-24.06,85.52,1.21,0.05,0.09,0.46,0.41,0.41,0.39,0.39,84.81,0,-51.5,85.45,-1.22,-2.3,-0.74,-0.21,0.4,0.4,0.38,0.39,88.28,163.18,3.26,85.6,4.85,2.39,1.34,1.03,0.44,0.42,0.39,0.39,5.29,1.12,0.13
"1981-01-24",86.3,42.31,-52.67,85.82,-2.91,-4.83,1.38,-0.02,0.4,0.41,0.39,0.39,85.71,0,-88.68,85.59,-6.16,-7.44,0.89,-0.89,0.4,0.41,0.39,0.39,86.41,180.61,-14.91,85.93,-0.58,-0.99,2.22,0.46,0.42,0.41,0.39,0.39,1.27,2.81,0.14
"1981-01-25",86.41,47.99,-60.71,85.82,-5.15,-8.39,0.53,0.49,0.39,0.4,0.39,0.39,86.35,0,-85.97,85.3,-8.98,-11.81,-0.95,-0.1,0.39,0.4,0.39,0.39,86.46,208.04,-27.11,85.99,-1.21,-6.79,1.38,0.87,0.4,0.41,0.39,0.39,0.16,2.7,0.14
"1981-01-26",88.21,18.34,-23.98,84.87,-5.72,-8,-0.65,1.09,0.39,0.4,0.39,0.39,86.35,0,-71.89,84.66,-9.18,-11.55,-1.43,0.47,0.38,0.39,0.39,0.39,89.81,82.37,2.9,85.23,-1.57,-5.22,0.43,2.34,0.39,0.4,0.39,0.39,3.58,1.32,0.13
"1981-01-27",89.81,42.78,-41.6,84.88,-7.59,-10.2,-0.9,0.72,0.38,0.39,0.39,0.39,89.73,0,-69.01,84.39,-13.77,-16.04,-1.7,0.07,0.38,0.39,0.39,0.39,89.98,215.91,-13.62,85.19,-1.73,-6.41,0.37,1.61,0.38,0.39,0.39,0.39,0.31,2.29,0.13
"1981-01-28",92.54,45.85,-35.48,84.42,-3.46,-5.31,-0.98,0.37,0.38,0.39,0.39,0.39,90.19,0,-72.9,84.28,-6.04,-6.96,-1.26,-0.27,0.38,0.39,0.39,0.39,93.69,222.14,-4.16,84.71,1.1,-3.46,-0.34,0.89,0.38,0.39,0.39,0.39,3.85,2.6,0.13
"1981-01-29",97.23,24.05,-18.57,85.24,-2.97,-4.11,-0.07,-0.51,0.38,0.38,0.39,0.39,93.85,0,-40.99,84.71,-4.22,-4.79,-0.51,-1.06,0.38,0.38,0.39,0.39,99.27,108.58,-5.03,85.84,-0.44,-3.14,0.26,0.3,0.38,0.39,0.39,0.39,5.65,1.33,0.13
"1981-01-30",99.55,50.34,-48.11,86.14,-5.16,-7.05,0.78,-0.44,0.37,0.38,0.39,0.39,99.32,0,-84.3,85.81,-9.07,-10.86,0.37,-1.45,0.37,0.38,0.39,0.39,99.66,231.07,-14.97,86.46,-1.97,-4.49,1.22,0.81,0.38,0.38,0.39,0.39,0.44,2.34,0.13
"1981-01-31",99.57,56.87,-59.47,86.61,-7.22,-9.87,0.97,0.57,0.37,0.38,0.39,0.39,99.51,0,-107.05,86.45,-10.29,-12.07,0.3,-0.07,0.37,0.38,0.39,0.39,99.62,256.54,-12.98,86.76,-2.09,-6.7,1.46,1.01,0.37,0.38,0.39,0.39,0.07,2.72,0.13
"1981-02-01",99.47,63.79,-66.64,86.88,-7.6,-12.34,0.22,0.71,0.37,0.38,0.39,0.39,99.39,0,-104.46,86.78,-15.87,-18.44,-0.58,-0.16,0.37,0.37,0.39,0.39,99.52,273.53,-37.75,86.97,0.3,-7.76,0.75,1.32,0.37,0.38,0.39,0.39,0.01,3.41,0.12
"1981-02-02",99.35,68.84,-71.42,86.96,-7.3,-12.37,0.07,0.44,0.37,0.37,0.39,0.39,99.26,0,-109.23,86.89,-12.64,-16.91,-0.46,-0.86,0.37,0.37,0.39,0.39,99.4,291.61,-37.31,87.05,-2.38,-8.72,0.5,1.18,0.37,0.37,0.39,0.39,0.01,4.63,0.11
"1981-02-03",99.23,63.68,-65.95,86.82,-9.24,-13.17,-0.87,0.5,0.37,0.37,0.39,0.39,99.16,0,-90.29,86.65,-15.21,-18.76,-1.2,-0.41,0.36,0.37,0.39,0.39,99.26,271.54,-35.96,86.91,-2.44,-7.34,-0.43,1.06,0.37,0.37,0.39,0.39,0,3.04,0.1
"1981-02-04",99.07,62.37,-65.02,86.45,-10.74,-14.01,-0.81,0.38,0.36,0.37,0.39,0.39,99,0,-91.28,86.32,-17.59,-20.09,-1.03,-0.48,0.36,0.37,0.39,0.39,99.15,259.85,-36.08,86.64,-3.39,-8.38,-0.51,1.01,0.36,0.37,0.39,0.39,0.02,3.28,0.1
"1981-02-05",98.96,68.89,-70.65,86.24,-10.72,-14.57,-0.12,0.34,0.36,0.37,0.39,0.39,98.9,0,-106.11,86.12,-19.02,-21.45,-0.85,-0.91,0.36,0.37,0.39,0.39,99,275.23,-40.14,86.31,-2.68,-8.64,0.66,1.04,0.36,0.37,0.39,0.39,0.01,3.17,0.08
"1981-02-06",98.86,74.87,-73.25,86.45,-8.11,-13.74,0.42,0.3,0.36,0.37,0.39,0.39,98.77,0,-107.64,86.28,-12.95,-18.28,0.01,-0.92,0.36,0.37,0.39,0.39,98.91,308.27,-41.8,86.55,-2.34,-9.1,0.83,1.05,0.36,0.37,0.39,0.39,0,4.33,0.08
"1981-02-07",98.72,65.82,-61.56,86.18,-8.02,-12.91,0.52,0.99,0.36,0.36,0.39,0.39,98.59,0,-95.98,85.91,-17.03,-20.38,-0.36,0.42,0.36,0.36,0.39,0.39,98.78,264.28,-39.85,86.51,0.78,-6.29,1.44,1.58,0.36,0.37,0.39,0.39,0,3.75,0.07
"1981-02-08",98.53,78.19,-78.48,85.62,-6.11,-11.41,0.18,0.4,0.36,0.36,0.39,0.39,98.42,0,-113.36,85.14,-13.47,-17.07,-0.46,-0.74,0.36,0.36,0.39,0.39,98.59,318.6,-53.02,85.97,-0.35,-7.22,0.57,1.33,0.36,0.36,0.39,0.39,0.01,5.6,0.06
"1981-02-09",98.76,79.79,-78.04,85.55,-13.66,-17.85,0.22,-1.69,0.36,0.36,0.38,0.39,98.43,0,-115.79,85.08,-19.45,-24.69,-0.16,-3.13,0.36,0.36,0.38,0.39,98.91,328.49,-23.17,86.27,-6.98,-10.98,0.65,0.14,0.36,0.36,0.39,0.39,0.56,2.58,0.05
"1981-02-10",98.67,82.94,-81.52,85.99,-17.05,-24.21,-0.37,0.85,0.36,0.36,0.38,0.39,98.55,0,-108.27,85.63,-27.18,-31.68,-0.96,-0.01,0.36,0.36,0.38,0.39,98.72,332.84,-43.27,86.24,-5.98,-15.62,0.56,1.55,0.36,0.36,0.38,0.39,0,3.99,0.04
"1981-02-11",98.57,83.54,-64.42,85.59,-11.56,-16.74,0.14,1.15,0.35,0.36,0.38,0.39,98.38,0,-120.67,85.45,-20.6,-24.29,-0.58,0.43,0.35,0.36,0.38,0.39,99.08,331.76,4.58,85.76,-3.46,-7.17,1.21,1.74,0.35,0.36,0.38,0.39,0.73,4.3,0.04
"1981-02-12",100.78,25.55,-9.65,85.89,-1.83,-3.08,0.3,1.08,0.35,0.36,0.38,0.39,99.2,0,-32.62,85.66,-5.83,-6.84,-0.31,0.57,0.35,0.36,0.38,0.39,102.1,108.35,3.34,86.13,1.34,-0.88,0.75,1.35,0.35,0.36,0.38,0.39,3.12,1.25,0.04
"1981-02-13",102.55,41.01,-25.91,85.69,1.31,-0.45,-0.68,1.32,0.37,0.36,0.38,0.39,101.46,0,-57.88,85.3,-0.4,-1.21,-1.6,0.84,0.35,0.36,0.38,0.39,103.95,196.75,-3.67,86.08,4.72,0.55,0.24,1.98,0.4,0.36,0.38,0.39,4.84,2.98,0.04
"1981-02-14",105.56,44.44,-32.94,85.53,0.58,-1.79,0.88,1.76,0.39,0.37,0.38,0.39,102.44,0,-63.29,85.1,-0.3,-2.56,-1.35,1.19,0.38,0.36,0.38,0.39,107.82,171.59,-13.08,85.96,2.36,-0.89,3.06,2.84,0.39,0.37,0.38,0.39,6.95,4.87,0.04
"1981-02-15",109.44,36.37,-26.01,85.42,1.17,-1.09,0.55,2.17,0.39,0.38,0.38,0.39,107.92,0,-41.01,84.9,-0.98,-2.49,-0.3,1.39,0.38,0.37,0.38,0.39,112.41,155.99,-17.06,85.82,3.52,0.32,1.45,3.42,0.42,0.39,0.38,0.39,12.46,4.23,0.05
"1981-02-16",114.19,54.86,-37.99,84.6,1.92,-0.62,0.62,2.03,0.42,0.41,0.38,0.39,112.4,0,-83.03,84.4,0.33,-1.96,-1.16,0.94,0.41,0.39,0.38,0.39,116.38,215.4,-3.53,85.08,4.54,1.11,2.11,2.99,0.43,0.42,0.39,0.39,17.4,6.03,0.05
