"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",102.32,42.16,-69.91,84.59,-3.78,-6.19,-0.31,-1.17,0.38,0.38,0.32,0.35,102.31,0,-95.38,84.35,-7.85,-9.88,-0.82,-1.46,0.37,0.37,0.32,0.35,102.33,200.7,-50.28,84.81,0.68,-3.22,0.33,-0.79,0.38,0.38,0.33,0.35,0,1.28,0.13
"1981-01-02",102.32,43.4,-64.55,84.42,-7.34,-10.29,-0.92,-0.31,0.37,0.37,0.33,0.35,102.31,0,-98.24,84.3,-11.63,-13.12,-1.27,-0.91,0.37,0.37,0.33,0.35,102.33,203.73,-44.39,84.57,-1.59,-6.09,-0.51,0.27,0.37,0.37,0.33,0.35,0.02,1.31,0.12
"1981-01-03",102.36,36.21,-48.22,84.45,-7.31,-9.39,-0.9,-0.04,0.37,0.37,0.33,0.35,102.31,0,-82.05,84.33,-10.79,-12.75,-1.17,-0.26,0.37,0.37,0.33,0.35,102.42,179.46,-15.77,84.57,-2.5,-4.86,-0.6,0.41,0.37,0.37,0.33,0.35,0.06,0.57,0.12
"1981-01-04",102.45,32.04,-38.41,84.71,-7.17,-9.45,-0.79,-0.1,0.36,0.37,0.33,0.35,102.42,0,-63.3,84.54,-10.87,-12.86,-1.1,-0.53,0.36,0.36,0.33,0.35,102.48,154.02,-14.98,84.87,-2.57,-5.22,-0.35,0.21,0.37,0.37,0.33,0.35,0.04,0.75,0.12
"1981-01-05",102.53,34.7,-38.95,84.75,-6.69,-8.23,-0.85,-0.09,0.36,0.36,0.33,0.35,102.48,0,-66.96,84.6,-10.27,-11.39,-1.31,-0.75,0.36,0.36,0.33,0.35,102.57,158.14,-12.2,84.91,-2.43,-5.22,-0.55,0.49,0.36,0.36,0.33,0.35,0.06,0.67,0.12
"1981-01-06",103.47,19.64,-31.18,84.35,-5.53,-7,-1.05,0.41,0.36,0.36,0.33,0.35,102.58,0,-68.18,84.25,-9.03,-10.59,-1.32,-0.44,0.36,0.36,0.33,0.35,104.01,106.33,3.19,84.59,-1.91,-3.95,-0.62,1.24,0.36,0.36,0.33,0.35,1.44,0.58,0.12
"1981-01-07",104,35.63,-44.91,84.08,-7.65,-9.47,-0.9,-0.05,0.36,0.36,0.33,0.35,103.99,0,-77.24,83.89,-11.25,-12.39,-1.23,-0.6,0.36,0.36,0.33,0.35,104.02,176.91,-8,84.24,-3.18,-6.25,-0.5,0.36,0.36,0.36,0.33,0.35,0.02,0.64,0.12
"1981-01-08",104.11,23.89,-29.45,84.04,-6.12,-8.02,-1.04,0.3,0.35,0.36,0.33,0.35,104.03,0,-46.7,83.85,-9.37,-10.75,-1.28,-0.08,0.35,0.36,0.33,0.35,104.25,118.47,-4.26,84.29,-2.29,-5.44,-0.75,0.78,0.36,0.36,0.33,0.35,0.22,0.69,0.12
"1981-01-09",104.36,39.62,-52.33,84.56,-4.92,-6.62,-0.96,0.42,0.35,0.35,0.33,0.35,104.28,0,-95.06,84.31,-8.52,-10.08,-1.21,-0.29,0.35,0.35,0.33,0.35,104.41,200.81,-4.49,84.75,-0.07,-3.17,-0.3,1.34,0.35,0.35,0.33,0.35,0.15,1.14,0.12
"1981-01-10",104.44,38.77,-50.09,84.83,-6.68,-8.69,-1.04,-0.04,0.35,0.35,0.33,0.35,104.4,0,-103.14,84.75,-9.49,-11.5,-1.29,-0.42,0.35,0.35,0.33,0.35,104.46,201.77,-7.18,84.98,-1.41,-5.25,-0.87,0.65,0.35,0.35,0.33,0.35,0.06,1.01,0.11
"1981-01-11",104.4,47.02,-56.54,84.75,-5.95,-9.52,-0.99,-0.17,0.35,0.35,0.33,0.35,104.35,0,-98.07,84.54,-10.22,-12.48,-1.33,-0.5,0.35,0.35,0.33,0.35,104.42,218.13,-16.63,84.92,0.77,-4.61,-0.65,0.5,0.35,0.35,0.33,0.35,0,1.95,0.1
"1981-01-12",104.32,39.65,-47.71,84.63,-4.29,-8.33,-0.95,-0.03,0.35,0.35,0.33,0.35,104.26,0,-94.34,84.48,-8.19,-10.64,-1.2,-0.4,0.35,0.35,0.33,0.35,104.36,184.26,-8.11,84.76,0.69,-4.24,-0.55,0.61,0.35,0.35,0.33,0.35,0,1.86,0.09
"1981-01-13",104.26,36.72,-47.18,84.76,-5.79,-9.19,-0.74,-0.39,0.35,0.35,0.33,0.35,104.25,0,-70.79,84.68,-9.99,-12.5,-0.99,-0.74,0.35,0.35,0.33,0.35,104.26,162.53,-23.93,84.9,0.81,-4.24,-0.21,0,0.35,0.35,0.33,0.35,0,1.49,0.09
"1981-01-14",104.26,48.02,-62.32,84.53,-6.49,-9.34,-0.6,-0.68,0.35,0.35,0.33,0.35,104.25,0,-91.42,84.34,-11.19,-12.96,-0.83,-1.03,0.35,0.35,0.33,0.35,104.26,213.71,-42.3,84.71,0.35,-3.55,0.04,-0.43,0.35,0.35,0.33,0.35,0.01,1.83,0.08
"1981-01-15",104.23,51.19,-66.49,84.25,-7.64,-10.7,-0.7,-0.49,0.34,0.35,0.33,0.35,104.15,0,-100.38,84.12,-11.98,-13.7,-0.96,-0.65,0.34,0.35,0.33,0.35,104.26,228.8,-44.35,84.43,0.08,-5.11,-0.3,-0.13,0.35,0.35,0.33,0.35,0,2.41,0.08
"1981-01-16",104.13,53.96,-75.63,83.97,-9.54,-12.84,-0.87,-0.36,0.34,0.35,0.33,0.35,104.08,0,-115.53,83.76,-13.85,-16.42,-1.15,-0.57,0.34,0.34,0.33,0.35,104.14,244.66,-51.79,84.13,-2.27,-7.11,-0.43,-0.01,0.34,0.35,0.33,0.35,0,1.38,0.08
"1981-01-17",104.08,37.5,-38.33,83.89,-8.78,-12.75,-1.08,0.26,0.34,0.34,0.33,0.35,104.05,0,-67.29,83.62,-15.29,-18.29,-1.39,-0.33,0.34,0.34,0.33,0.35,104.11,187.17,4.69,84.28,-2.13,-7.21,-0.81,1.08,0.34,0.34,0.33,0.35,0.07,1.53,0.08
"1981-01-18",104.15,37.78,-40.44,84.42,-5.61,-7.72,-1.18,0.16,0.34,0.34,0.33,0.35,104.11,0,-68.3,84.27,-10.2,-12.15,-1.36,-0.27,0.34,0.34,0.33,0.35,104.19,175.16,-5.18,84.57,0.05,-2.73,-1.04,0.98,0.34,0.34,0.33,0.35,0.03,0.85,0.09
"1981-01-19",104.19,33,-37.58,84.24,-2.3,-4.34,-1.04,0.09,0.34,0.34,0.33,0.35,104.15,0,-67.56,84.11,-5.11,-6.62,-1.22,-0.23,0.34,0.34,0.33,0.35,104.2,150.23,-15.1,84.39,2.47,-0.9,-0.72,0.58,0.34,0.34,0.33,0.35,0.01,1.51,0.09
"1981-01-20",104.15,40.74,-36.79,84.25,-1.68,-3.78,-0.98,0.29,0.34,0.34,0.33,0.35,104.09,0,-70.57,84.12,-5.37,-6.88,-1.38,-0.25,0.34,0.34,0.33,0.35,104.19,199.04,17.64,84.44,2.43,-1.09,-0.59,1.07,0.34,0.34,0.33,0.35,0.04,2.19,0.09
"1981-01-21",104.24,39.13,-16.78,84.3,0.73,-1.16,-1.13,0.37,0.34,0.34,0.33,0.35,103.93,0,-69.59,84.06,-1.44,-2.78,-1.31,0.01,0.34,0.34,0.33,0.35,104.68,217.99,8.51,84.59,3.71,0.5,-0.88,0.68,0.35,0.34,0.33,0.35,1,2.58,0.09
"1981-01-22",103.64,32.92,-29.18,83.92,0.42,-1.36,-1.1,0.23,0.35,0.34,0.33,0.35,102.87,0,-55.52,83.7,-1.06,-2.91,-1.23,-0.05,0.35,0.34,0.33,0.35,104.28,177.64,0.87,84.09,3.2,0.2,-0.79,0.51,0.36,0.34,0.33,0.35,0.32,2.34,0.09
"1981-01-23",103.74,20.64,-6.17,83.58,0.16,-1.35,-0.48,-0.04,0.36,0.35,0.33,0.35,102.84,0,-25.29,83.4,-0.95,-3.03,-1.14,-1.05,0.36,0.34,0.33,0.35,104.51,100.83,6.2,83.72,1.91,0.12,0.61,0.6,0.38,0.35,0.33,0.35,4.08,1.57,0.09
"1981-01-24",104.12,56.17,-62.49,83.65,-2.67,-6.63,1.08,-1.47,0.37,0.35,0.33,0.35,103.83,0,-106.28,83.42,-6.58,-10.84,0.17,-2.12,0.36,0.35,0.33,0.35,104.41,251.1,-4.33,83.81,-0.52,-1.36,1.88,-0.83,0.37,0.35,0.33,0.35,0.33,5.16,0.09
"1981-01-25",103.83,58.37,-66.25,83.76,-6.45,-9.87,-0.02,-0.37,0.36,0.35,0.33,0.35,103.79,0,-96.81,83.38,-9.36,-11.82,-1.01,-0.79,0.36,0.35,0.33,0.35,103.86,256.1,-35.97,83.91,-2.78,-8.54,0.62,0.51,0.36,0.35,0.33,0.35,0.04,2.3,0.1
"1981-01-26",105.87,18.95,-14.07,83.02,-6.31,-8.12,-1.05,0.87,0.35,0.35,0.33,0.35,103.82,0,-36.39,82.85,-8.64,-11.03,-1.41,0.48,0.35,0.35,0.33,0.35,107.8,76.05,2.41,83.35,-4.02,-5.83,-0.59,1.63,0.36,0.35,0.34,0.35,4.02,0.75,0.09
"1981-01-27",108.12,39.04,-35.06,83,-6.16,-8.3,-1,0.36,0.35,0.35,0.34,0.35,107.8,0,-54.37,82.54,-9.5,-10.46,-1.44,-0.28,0.35,0.35,0.34,0.35,108.32,190.1,2.48,83.21,-2.99,-7.14,-0.64,1.5,0.35,0.35,0.34,0.35,0.63,1.87,0.09
"1981-01-28",110.61,23.87,-10.24,82.54,-4.1,-5.85,-0.69,-0.18,0.35,0.35,0.34,0.35,108.4,0,-28.46,82.4,-6.4,-8.22,-0.93,-0.79,0.35,0.35,0.34,0.35,113.31,123.45,3.45,82.72,-1.02,-3.3,-0.22,0.28,0.35,0.35,0.34,0.35,5.07,1.28,0.08
"1981-01-29",120.31,19.06,-9.31,83.28,-2.87,-4.11,-0.29,-0.3,0.35,0.35,0.34,0.35,113.76,0,-23.61,82.72,-4.04,-4.93,-0.84,-1.04,0.35,0.35,0.34,0.35,123.09,83.31,-1.53,83.81,-1.5,-3.31,0.45,0.87,0.35,0.35,0.34,0.35,9.84,0.87,0.08
"1981-01-30",123.07,47.7,-42.6,84.02,-4.13,-6.43,0.69,-1.71,0.35,0.35,0.34,0.35,123,0,-73.78,83.76,-6.37,-8.73,0.33,-2.45,0.34,0.35,0.34,0.35,123.12,207.8,-15.55,84.29,-2.34,-3.99,1.05,-1.15,0.35,0.35,0.34,0.35,0.09,2.35,0.08
"1981-01-31",122.99,59.92,-74.32,84.42,-6.69,-9.75,0.2,-1.54,0.34,0.35,0.34,0.35,122.97,0,-109.52,84.24,-9.57,-11.65,-0.32,-1.94,0.34,0.35,0.34,0.35,123.02,258.08,-50.14,84.53,-2.12,-7.33,0.89,-1.17,0.34,0.35,0.34,0.35,0.01,2.49,0.08
"1981-02-01",122.98,62.07,-71.1,84.77,-6.9,-10.73,-0.43,-0.7,0.34,0.35,0.34,0.35,122.97,0,-102.38,84.56,-12.44,-13.75,-0.96,-1.44,0.34,0.34,0.34,0.35,122.99,263.26,-52.79,84.92,-1.23,-7.54,0.29,-0.03,0.34,0.35,0.34,0.35,0.01,2.39,0.08
"1981-02-02",123,63.67,-69.26,84.84,-7.25,-11.01,-0.43,-0.8,0.34,0.34,0.34,0.35,122.98,0,-99.3,84.75,-11.05,-13.15,-0.82,-1.01,0.34,0.34,0.34,0.35,123.02,263.29,-42.51,84.97,-2.12,-8.05,0.31,-0.43,0.34,0.34,0.34,0.35,0.01,2.64,0.08
"1981-02-03",123.01,64.9,-68.61,84.76,-8.07,-12.35,-0.59,-0.48,0.34,0.34,0.34,0.35,123.01,0,-95.36,84.57,-14.21,-15.97,-1.01,-0.93,0.34,0.34,0.34,0.35,123.03,271.13,-45.25,84.94,-1.46,-8.78,0.29,-0.12,0.34,0.34,0.34,0.35,0.02,2.97,0.08
"1981-02-04",123.01,64.78,-69.06,84.39,-8.66,-13.03,-0.46,-0.42,0.34,0.34,0.34,0.35,122.98,0,-95.21,84.25,-14.14,-15.82,-0.93,-0.66,0.34,0.34,0.34,0.35,123.03,265.19,-48.6,84.52,-2.03,-9.61,0.42,-0.06,0.34,0.34,0.34,0.35,0.01,3.68,0.08
"1981-02-05",122.98,69.46,-70.82,84.13,-9.69,-12.93,-0.13,-0.81,0.34,0.34,0.34,0.35,122.98,0,-101.19,84.05,-15.18,-16.81,-0.79,-1.55,0.34,0.34,0.34,0.35,122.99,279.72,-50.2,84.26,-4.67,-9.23,0.65,-0.51,0.34,0.34,0.34,0.35,0.01,2.8,0.08
"1981-02-06",122.98,70.79,-73.19,84.29,-9.31,-12.91,0.05,-1.42,0.34,0.34,0.34,0.35,122.95,0,-101.63,84.05,-13.44,-15.52,-0.42,-1.66,0.34,0.34,0.34,0.35,123,290.47,-48.7,84.42,-3.68,-9.62,0.69,-1,0.34,0.34,0.34,0.35,0,2.96,0.07
"1981-02-07",122.94,61.63,-60.24,84.07,-9.02,-12.73,-0.56,-0.11,0.34,0.34,0.34,0.35,122.9,0,-77.65,83.74,-14.12,-16.37,-0.95,-1.37,0.34,0.34,0.34,0.35,122.96,246.3,-45.05,84.32,-3.35,-8.65,-0.2,1.26,0.34,0.34,0.34,0.35,0,3.29,0.07
"1981-02-08",122.88,75.91,-77.28,83.54,-8.35,-12.62,-0.41,-0.81,0.34,0.34,0.34,0.35,122.77,0,-105.63,83,-12.25,-15.57,-0.94,-1.53,0.34,0.34,0.34,0.35,122.91,306.58,-52.95,83.79,-2.41,-8.63,0.34,-0.26,0.34,0.34,0.34,0.35,0.01,4.23,0.07
"1981-02-09",122.75,75.42,-82.5,83.33,-14.73,-19.76,0.69,-2.04,0.34,0.34,0.34,0.35,122.61,0,-106.82,82.89,-20.46,-25.55,-0.57,-3.12,0.34,0.34,0.34,0.35,122.85,308.66,-47.91,84.05,-11.93,-15.53,1.42,-0.89,0.34,0.34,0.34,0.35,0.13,3,0.07
"1981-02-10",122.58,79.8,-75.45,83.93,-19.48,-25.09,-0.83,0.27,0.34,0.34,0.34,0.35,122.53,0,-101.99,83.6,-27.47,-31.04,-1.38,-1.24,0.34,0.34,0.34,0.35,122.61,318.36,-37.69,84.08,-13.61,-20.02,0.16,1.48,0.34,0.34,0.34,0.35,0,2.3,0.06
"1981-02-11",122.54,82.61,-60.83,83.58,-14.35,-19.92,-1.03,0.48,0.34,0.34,0.34,0.35,122.48,0,-107.88,83.34,-20.83,-25.18,-1.4,0.01,0.34,0.34,0.34,0.35,122.68,326.36,9.24,83.79,-8.23,-13.9,-0.44,1.18,0.34,0.34,0.34,0.35,0.21,2.8,0.06
"1981-02-12",123.15,33.04,-9.33,83.97,-6.26,-8.91,-1.03,0.67,0.34,0.34,0.34,0.35,122.7,0,-24.13,83.71,-10.78,-13.74,-1.21,0.39,0.34,0.34,0.34,0.35,123.61,144.65,10.97,84.22,-2.41,-5.46,-0.87,1.22,0.34,0.34,0.34,0.35,0.94,1.58,0.06
"1981-02-13",125.55,32.9,-12.42,83.91,-1.93,-3.22,-1.19,1.03,0.34,0.34,0.34,0.35,123.63,0,-29.46,83.63,-4.36,-5.72,-1.55,0.4,0.34,0.34,0.34,0.35,127.7,182.16,3.35,84.2,1.23,-0.94,-0.94,2.33,0.34,0.34,0.34,0.35,4.1,1.52,0.07
"1981-02-14",131.42,53.57,-34.9,83.68,-0.73,-2.11,-0.65,1.62,0.34,0.34,0.34,0.35,127.84,0,-74.18,83.33,-2.88,-4.13,-1.38,1,0.34,0.34,0.34,0.35,132.67,214.82,-3.19,84.05,2.03,-0.91,0.09,2.82,0.34,0.34,0.34,0.35,5.76,2.93,0.07
"1981-02-15",134.7,29.22,-15.12,83.59,-1.48,-2.61,-1.06,1.96,0.34,0.34,0.34,0.35,132.74,0,-36.18,83.05,-3.38,-4.5,-1.3,1.11,0.34,0.34,0.34,0.35,138.63,102.6,-5.3,83.92,0.19,-0.26,-0.79,3.45,0.35,0.34,0.34,0.35,7.05,1.66,0.08
"1981-02-16",141.77,43.95,-28.59,82.8,0.47,-0.49,-0.85,1.8,0.37,0.34,0.34,0.35,138.84,0,-66.4,82.6,-1.04,-2.97,-1.57,0.82,0.35,0.34,0.34,0.35,143.75,169.14,-2.39,83.2,3.08,1.66,0.15,2.89,0.39,0.35,0.34,0.35,9.01,1.96,0.08
"1981-02-17",146.19,56.14,-29.2,83.45,-1.09,-2.71,-0.43,1.55,0.38,0.35,0.34,0.35,142.79,0,-66.99,82.76,-2.74,-3.43,-1.12,0.89,0.37,0.35,0.34,0.35,147.67,283.18,-4.13,83.81,1.6,-1.94,0.65,2.23,0.38,0.35,0.34,0.35,6.78,3.23,0.08
"1981-02-18",150.42,70.05,-41.55,83.55,-0.54,-2.81,-0.72,1.54,0.37,0.35,0.34,0.35,148.26,0,-88.02,83.26,-2.9,-3.73,-1.61,1.06,0.37,0.35,0.34,0.35,152.2,302.52,-5.56,83.83,2.44,-1.81,0.55,2.21,0.37,0.36,0.34,0.35,5.92,4.74,0.08
"1981-02-19",155.95,76.96,-47.45,82.91,-0.58,-3.69,-0.15,1.36,0.4,0.37,0.34,0.35,152.77,0,-106.11,82.37,-4.82,-10.5,-1.83,-0.31,0.37,0.36,0.34,0.35,157.37,318.14,5.56,83.46,2.77,0,1.91,3.09,0.42,0.37,0.34,0.35,13.35,5.91,0.08
"1981-02-20",155.96,76.04,-50.93,84.39,-3.06,-8.67,0.2,0.11,0.39,0.37,0.34,0.35,155.85,0,-86.58,83.54,-5.64,-10.67,-0.8,-0.64,0.38,0.37,0.34,0.35,156.05,308.05,-19.61,84.77,-0.36,-7.24,2.02,0.69,0.4,0.37,0.34,0.35,0.12,5.19,0.08
"1981-02-21",155.93,73.18,-45.43,84.86,-2.53,-6.25,-0.58,0.84,0.38,0.37,0.34,0.35,155.87,0,-74.33,84.72,-6.2,-9.42,-1.04,0.44,0.37,0.37,0.34,0.35,155.99,295.65,-21.05,85.05,1.39,-3.53,0.2,1.43,0.38,0.37,0.34,0.35,0.16,4.56,0.08
"1981-02-22",155.9,66.02,-46.99,84.44,-1.14,-3.27,-1,0.69,0.37,0.37,0.34,0.35,155.85,0,-69.76,83.99,-4.56,-5.59,-1.15,-0.04,0.37,0.37,0.34,0.35,155.92,262.28,-19.96,84.74,3.2,-0.79,-0.75,1.55,0.37,0.37,0.34,0.35,0,3.63,0.08
"1981-02-23",156.12,63.18,-39.47,83.27,-0.62,-2.54,-0.87,0.24,0.37,0.37,0.35,0.35,155.85,0,-61.62,82.8,-4.27,-5.27,-1.11,-0.52,0.37,0.36,0.34,0.35,156.77,250.68,-20.22,83.95,2.83,-0.35,-0.55,1.24,0.37,0.37,0.35,0.35,1.78,3.78,0.08
