"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",97.56,40.48,-71.44,88.92,-2.8,-5.98,-0.45,-0.5,0.38,0.38,0.36,0.36,97.53,0,-98.97,88.75,-5.69,-10.27,-0.79,-1.1,0.37,0.38,0.36,0.36,97.58,196.01,-49.71,89.17,1.2,-3.22,0.26,-0.01,0.38,0.38,0.36,0.36,0,1.49,0.27
"1981-01-02",97.51,42.75,-67.2,88.81,-6.1,-11.6,-0.65,0.3,0.37,0.38,0.36,0.36,97.48,0,-106.5,88.71,-10.3,-14.9,-0.91,-0.15,0.37,0.38,0.36,0.36,97.53,203.65,-39.9,88.91,-0.55,-7.52,-0.22,0.59,0.37,0.38,0.36,0.36,0,1.33,0.24
"1981-01-03",97.49,37.68,-52.46,88.84,-7.32,-10.36,-0.51,0.4,0.37,0.37,0.36,0.36,97.48,0,-78.83,88.77,-11.1,-13.89,-0.69,0.25,0.37,0.37,0.36,0.36,97.5,181.62,-27.01,88.95,-1.65,-5.67,-0.19,0.65,0.37,0.38,0.36,0.36,0,0.68,0.26
"1981-01-04",97.51,33.97,-43.36,89.11,-7.6,-10.57,-0.38,0.17,0.37,0.37,0.36,0.36,97.5,0,-64.96,88.97,-11.7,-14.36,-0.74,-0.21,0.37,0.37,0.36,0.36,97.52,171.8,-25.66,89.25,-1.85,-6.52,0.24,0.37,0.37,0.37,0.36,0.36,0.01,0.67,0.26
"1981-01-05",97.54,35.76,-44.67,89.14,-6.64,-8.92,-0.59,0.21,0.36,0.37,0.36,0.36,97.52,0,-73.82,88.97,-9.32,-12.14,-1,-0.32,0.36,0.37,0.36,0.36,97.56,169.74,-19.91,89.26,-2.48,-5.15,-0.27,0.79,0.36,0.37,0.36,0.36,0.01,0.74,0.25
"1981-01-06",98.32,16.73,-26.26,88.68,-6.42,-8.11,-0.52,0.82,0.36,0.37,0.36,0.36,97.56,0,-54.74,88.48,-9.1,-10.44,-0.94,0.41,0.36,0.37,0.36,0.36,98.87,100.68,5.28,88.96,-3.06,-5.33,-0.11,1.37,0.36,0.37,0.36,0.36,1.34,0.56,0.23
"1981-01-07",98.89,33.35,-46.97,88.46,-7.41,-9.3,-0.65,0.33,0.36,0.37,0.36,0.36,98.87,0,-75.04,88.23,-11.14,-12.65,-0.91,-0.19,0.36,0.37,0.36,0.36,98.92,163.86,-15.34,88.68,-3.07,-5.86,-0.43,0.76,0.36,0.37,0.36,0.36,0.02,0.69,0.23
"1981-01-08",98.94,25.01,-30.68,88.38,-7.1,-9.4,-0.68,0.49,0.36,0.36,0.36,0.36,98.9,0,-47.02,88.22,-11.01,-12.89,-0.96,0.17,0.36,0.36,0.36,0.36,99.02,123.19,-7.31,88.63,-2.67,-6.71,-0.43,0.83,0.36,0.36,0.36,0.36,0.17,1.13,0.24
"1981-01-09",99.11,37.46,-49.04,88.88,-5.64,-7.55,-0.67,0.81,0.36,0.36,0.36,0.36,99.04,0,-85.48,88.62,-8.98,-10.2,-1.09,0.38,0.36,0.36,0.36,0.36,99.16,194.44,-10.54,89.19,-1,-4.41,-0.21,1.36,0.36,0.36,0.36,0.36,0.15,1.11,0.25
"1981-01-10",99.16,40.28,-54.37,89.24,-7.2,-9.05,-0.98,0.38,0.36,0.36,0.36,0.36,99.1,0,-99.82,89.19,-10.32,-11.92,-1.18,0.02,0.36,0.36,0.36,0.36,99.19,205.08,-12.01,89.34,-1.04,-4.97,-0.76,0.77,0.36,0.36,0.36,0.36,0.04,1.15,0.24
"1981-01-11",99.07,45.99,-59.69,89.15,-6.38,-9.68,-0.82,0.34,0.35,0.36,0.36,0.36,99.02,0,-97.04,88.93,-10.94,-12.74,-1.05,0.1,0.35,0.36,0.36,0.36,99.1,216.31,-19.92,89.29,0.05,-4.85,-0.55,0.68,0.36,0.36,0.36,0.36,0,1.97,0.24
"1981-01-12",98.98,40.22,-48.54,88.98,-4.12,-8.85,-0.57,0.42,0.35,0.36,0.36,0.36,98.91,0,-90.61,88.87,-8.37,-10.95,-0.82,0.14,0.35,0.36,0.36,0.36,99.03,197.08,-8.78,89.15,0.66,-4.81,-0.15,0.8,0.35,0.36,0.36,0.36,0,2.21,0.23
"1981-01-13",98.9,35.83,-48.78,89.16,-5.23,-9.31,-0.49,0.07,0.35,0.36,0.36,0.36,98.85,0,-71.08,89.08,-9.02,-12.09,-0.78,-0.26,0.35,0.36,0.36,0.36,98.91,159.42,-22,89.22,1.32,-4.57,0.09,0.31,0.35,0.36,0.36,0.36,0,1.66,0.22
"1981-01-14",98.84,46.75,-62.35,88.94,-6.45,-10.37,-0.52,-0.15,0.35,0.36,0.36,0.36,98.81,0,-97.48,88.79,-10.83,-13.78,-0.83,-0.79,0.35,0.36,0.36,0.36,98.85,216,-39.17,89.15,0.93,-4.77,0.03,0.12,0.35,0.36,0.36,0.36,0,2.04,0.21
"1981-01-15",98.8,50.3,-64.17,88.67,-7.1,-11.05,-0.79,0.1,0.35,0.36,0.36,0.36,98.76,0,-100.75,88.58,-11.53,-14.77,-1.1,-0.02,0.35,0.36,0.36,0.36,98.82,230.61,-40.26,88.82,0.28,-4.85,-0.38,0.25,0.35,0.36,0.36,0.36,0,2.32,0.21
"1981-01-16",98.74,52.67,-79.65,88.39,-8.01,-11.53,-0.89,0.3,0.35,0.35,0.36,0.36,98.66,0,-121.42,88.27,-12.77,-15.35,-1.17,0.09,0.35,0.35,0.36,0.36,98.76,239.09,-49.72,88.58,-1.34,-5.89,-0.42,0.61,0.35,0.36,0.36,0.36,0,1.83,0.21
"1981-01-17",98.64,34.65,-43.56,88.27,-8.66,-12.6,-0.9,0.73,0.35,0.35,0.36,0.36,98.58,0,-79.89,88.1,-14.07,-16.77,-1.08,0.42,0.35,0.35,0.36,0.36,98.66,182.86,12.08,88.64,-1.61,-8.13,-0.7,1.33,0.35,0.35,0.36,0.36,0.05,2.47,0.2
"1981-01-18",98.59,36.36,-38.91,88.78,-6.41,-8.54,-0.99,0.61,0.35,0.35,0.36,0.36,98.57,0,-59.61,88.71,-11.61,-13.01,-1.17,0.32,0.35,0.35,0.36,0.36,98.61,185.4,-16.22,88.87,-0.13,-3.85,-0.84,1.09,0.35,0.35,0.36,0.36,0.02,1.29,0.22
"1981-01-19",98.57,33.83,-37.76,88.53,-3.1,-5.05,-0.87,0.5,0.35,0.35,0.36,0.36,98.56,0,-56.04,88.36,-6.85,-8.07,-1.08,0.21,0.35,0.35,0.36,0.36,98.58,154.79,-15.73,88.75,1.93,-1.56,-0.53,0.83,0.35,0.35,0.36,0.36,0.02,1.36,0.24
"1981-01-20",98.37,40.06,-42.31,88.51,-0.97,-3,-0.96,0.62,0.35,0.35,0.36,0.36,98.05,0,-82.23,88.44,-3.91,-5.57,-1.41,0.25,0.35,0.35,0.36,0.36,98.61,212.78,13.04,88.65,4.08,-0.23,-0.47,1.19,0.35,0.35,0.36,0.36,0.05,2.11,0.27
"1981-01-21",97.63,35.13,-22.03,88.53,0.98,-0.67,-1.12,0.63,0.36,0.35,0.36,0.36,96.67,0,-59.32,88.3,-1.62,-2.9,-1.41,0.36,0.35,0.35,0.36,0.36,98.29,199.28,8.28,88.8,4.15,0.95,-0.68,0.89,0.37,0.35,0.36,0.36,0.36,1.98,0.29
"1981-01-22",94.85,32.32,-31.55,88.13,1.78,0.43,-1.08,0.68,0.38,0.36,0.36,0.36,92.46,0,-61.49,87.92,0.11,-0.98,-1.3,0.48,0.36,0.35,0.36,0.36,96.71,173.68,-8.68,88.27,5.02,2.05,-0.68,0.92,0.41,0.36,0.36,0.36,0.18,1.34,0.3
"1981-01-23",91.3,18.31,-8.19,87.76,2.29,1.23,-0.36,0.3,0.41,0.37,0.36,0.36,89.1,0,-22.53,87.57,0.89,-0.8,-1.09,-0.55,0.39,0.36,0.36,0.36,93.39,84.51,2.26,87.89,4.71,3.29,1.05,0.93,0.43,0.39,0.36,0.36,4.94,0.43,0.27
"1981-01-24",89.73,53.43,-62.26,87.86,-0.94,-3.62,1.3,-0.84,0.4,0.39,0.36,0.36,89.37,0,-109.71,87.59,-3.57,-6.72,0.7,-1.71,0.39,0.39,0.36,0.36,89.95,240.93,-1.59,88.09,1.12,1.03,2.32,-0.28,0.42,0.39,0.36,0.36,0.9,4.13,0.23
"1981-01-25",89.53,54.15,-70.73,88.05,-3.24,-6.57,0.42,-0.12,0.39,0.39,0.36,0.36,89.42,0,-102.53,87.67,-5.04,-8.61,-0.82,-0.34,0.38,0.39,0.36,0.36,89.64,252.77,-38.29,88.2,-0.01,-5.48,0.98,0.36,0.39,0.39,0.36,0.36,0.13,2.74,0.2
"1981-01-26",90.98,20.35,-20.97,87.27,-4.78,-6.92,-0.91,0.82,0.38,0.39,0.36,0.36,89.43,0,-42.71,87.06,-7.19,-8.89,-1.29,0.54,0.38,0.38,0.36,0.36,92.68,93.09,-6.11,87.63,-2.4,-5.12,-0.45,1.19,0.38,0.39,0.36,0.36,3.31,1.01,0.18
"1981-01-27",92.69,45.67,-47,87.27,-5.05,-7.49,-1.02,0.66,0.38,0.38,0.36,0.36,92.61,0,-78.65,86.83,-7.89,-9.26,-1.27,0.14,0.37,0.38,0.36,0.36,92.77,209.79,-16.88,87.51,-1.07,-5.87,-0.6,1.44,0.38,0.38,0.37,0.36,0.12,2.82,0.19
"1981-01-28",94.01,25.03,-18.29,86.77,-3.49,-5.45,-0.86,0.09,0.37,0.38,0.37,0.36,92.62,0,-41.95,86.66,-6.76,-8.63,-1.13,-0.64,0.37,0.38,0.37,0.36,95.51,123.71,1.33,86.96,0.1,-2.69,-0.63,0.45,0.37,0.38,0.37,0.36,2.97,1.6,0.19
"1981-01-29",99.25,19,-15.26,87.51,-1.58,-2.91,-0.39,-0.28,0.37,0.38,0.37,0.36,95.63,0,-32.39,86.96,-3.59,-4.97,-0.74,-0.9,0.37,0.37,0.37,0.36,100.95,87.35,-1.33,88.07,0.82,-1.29,0.24,0.58,0.37,0.38,0.37,0.36,5.44,0.79,0.2
"1981-01-30",100.97,40.02,-36.48,88.31,-3.41,-4.89,0.6,-1.11,0.37,0.37,0.37,0.36,100.92,0,-56.76,88.02,-6.32,-7.47,0.16,-1.72,0.37,0.37,0.37,0.36,101.02,190.13,-16.24,88.62,-0.85,-2.34,0.97,-0.59,0.37,0.37,0.37,0.36,0.17,2.1,0.18
"1981-01-31",100.89,59.33,-72.24,88.78,-6.63,-9.61,0.28,-0.7,0.37,0.37,0.37,0.36,100.81,0,-104.42,88.58,-9.49,-12.87,-0.39,-1.12,0.36,0.37,0.37,0.36,100.93,258.56,-47.67,88.96,-2.32,-7.28,1.16,-0.24,0.37,0.37,0.37,0.36,0.01,2.84,0.17
"1981-02-01",100.8,62.92,-69.53,89.17,-7.98,-12.44,-0.25,-0.23,0.36,0.37,0.37,0.36,100.75,0,-109.54,88.99,-12.4,-16.02,-0.69,-0.66,0.36,0.37,0.37,0.36,100.82,270.79,-45.03,89.26,-2.43,-8.86,0.52,0.12,0.36,0.37,0.37,0.36,0.01,2.89,0.17
"1981-02-02",100.73,64.82,-67.27,89.25,-8.64,-13.27,-0.23,-0.45,0.36,0.37,0.37,0.36,100.68,0,-102.08,89.2,-12.71,-16.74,-0.56,-0.83,0.36,0.37,0.37,0.36,100.76,269.98,-38.83,89.32,-3.71,-9.28,0.37,-0.21,0.36,0.37,0.37,0.36,0.01,3.05,0.15
"1981-02-03",100.65,68.54,-70.36,89.19,-8.57,-14.03,-0.56,-0.13,0.36,0.37,0.37,0.36,100.59,0,-104.83,89.05,-14.69,-18.24,-0.9,-0.52,0.36,0.37,0.37,0.36,100.68,286.35,-39.85,89.28,-1.33,-9.22,-0.04,0.13,0.36,0.37,0.37,0.36,0,3.85,0.14
"1981-02-04",100.56,64.85,-67.45,88.82,-9.16,-14.53,-0.49,-0.07,0.36,0.36,0.37,0.36,100.51,0,-98.37,88.67,-15.51,-18.97,-0.86,-0.26,0.36,0.36,0.37,0.36,100.59,277.39,-42.3,89.02,-1.8,-9.8,-0.04,0.12,0.36,0.37,0.37,0.36,0,3.52,0.13
"1981-02-05",100.48,70.55,-71.67,88.54,-9.81,-13.74,-0.12,-0.38,0.36,0.36,0.37,0.36,100.42,0,-104.08,88.39,-15.77,-18.75,-0.8,-1,0.36,0.36,0.37,0.36,100.51,290.54,-42.3,88.69,-2.66,-8.21,0.64,-0.01,0.36,0.36,0.37,0.36,0,3.52,0.13
"1981-02-06",100.39,71.6,-72.45,88.69,-9.76,-13.49,0.1,-0.71,0.36,0.36,0.37,0.36,100.32,0,-101.65,88.48,-13.53,-16.34,-0.39,-0.97,0.36,0.36,0.37,0.36,100.43,297.07,-47.88,88.8,-4.18,-9.87,0.94,-0.3,0.36,0.36,0.37,0.36,0.01,3.29,0.13
"1981-02-07",100.3,56.43,-52.37,88.45,-9.32,-13.29,-0.16,0.26,0.36,0.36,0.37,0.36,100.27,0,-73.75,88.12,-17.07,-19.44,-0.66,-0.43,0.36,0.36,0.37,0.36,100.32,233.75,-30.5,88.8,-2.96,-8.5,0.4,1.03,0.36,0.36,0.37,0.36,0.05,2.92,0.13
"1981-02-08",100.27,76.19,-72.92,87.88,-7.96,-11.69,-0.09,-0.28,0.35,0.36,0.37,0.36,100.23,0,-114.27,87.36,-14.23,-16.75,-0.59,-0.83,0.35,0.36,0.37,0.36,100.3,312.52,-43.45,88.17,-2.37,-7.91,0.73,0.09,0.36,0.36,0.37,0.36,0.02,3.82,0.13
