"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",179.62,45.07,-74.82,82.98,-5.31,-8.8,-0.76,-0.62,0.37,0.37,0.35,0.36,179.58,0,-95.65,82.71,-11.24,-12.79,-1.17,-0.89,0.37,0.37,0.35,0.36,179.74,215.54,-54.65,83.3,0.38,-5.47,-0.13,-0.09,0.37,0.38,0.35,0.36,0,1.33,2.12
"1981-01-02",179.59,44.69,-64.82,82.81,-7.53,-12.33,-0.8,-0.09,0.37,0.37,0.35,0.36,179.58,0,-100.15,82.66,-12.12,-15.54,-1.32,-0.4,0.37,0.37,0.35,0.36,179.59,219.98,-37.49,82.97,-1.74,-9.09,-0.09,0.25,0.37,0.37,0.35,0.36,0,1.21,1.84
"1981-01-03",179.6,34.12,-41.37,82.81,-8.48,-11.18,-0.54,0.11,0.37,0.37,0.35,0.36,179.58,0,-73.36,82.75,-11.49,-13.51,-0.92,-0.06,0.36,0.37,0.35,0.36,179.63,178.86,4.62,82.89,-4.4,-8.75,0.07,0.36,0.37,0.37,0.35,0.36,0.01,1.17,1.57
"1981-01-04",179.78,21.9,-17.17,82.96,-8.34,-9.64,-0.06,0.35,0.36,0.37,0.35,0.36,179.63,0,-34.52,82.83,-11.6,-12.78,-0.83,0.03,0.36,0.37,0.35,0.36,179.99,114.29,2.36,83.06,-5.44,-7.34,0.92,0.77,0.36,0.37,0.35,0.36,0.31,0.41,1.53
"1981-01-05",180.14,27.77,-27.18,83.07,-7.34,-8.52,0.08,0.31,0.36,0.37,0.35,0.36,180.02,0,-39.48,82.96,-8.9,-9.82,-0.79,-0.07,0.36,0.36,0.35,0.36,180.22,144.04,-14.2,83.19,-4.93,-7.17,0.79,0.63,0.36,0.37,0.35,0.36,0.2,0.73,1.53
"1981-01-06",180.32,30.75,-26.65,82.66,-7.06,-8.45,-0.01,0.7,0.36,0.36,0.35,0.36,180.23,0,-52.39,82.32,-9.26,-10.57,-0.75,0.25,0.36,0.36,0.35,0.36,180.5,151.65,-9.62,83.08,-3.8,-6.18,0.95,1.41,0.36,0.36,0.35,0.36,0.26,0.78,1.46
"1981-01-07",180.69,29.58,-29.55,82.49,-6,-7.59,-0.22,0.31,0.36,0.36,0.35,0.36,180.54,0,-58.06,82.33,-8.96,-9.9,-0.78,-0.23,0.36,0.36,0.35,0.36,180.74,152.64,4.15,82.63,-3.27,-6.73,0.51,0.9,0.36,0.36,0.35,0.36,0.25,1.26,1.3
"1981-01-08",180.72,32.77,-28.36,82.42,-6.96,-8.8,-0.35,0.17,0.36,0.36,0.35,0.36,180.69,0,-59.88,82.21,-10.84,-12.08,-0.74,-0.18,0.36,0.36,0.35,0.36,180.82,171.58,-8.77,82.74,-3.12,-6.33,0.35,0.67,0.36,0.36,0.35,0.36,0.15,1.39,1.17
"1981-01-09",180.98,19.15,-15,82.86,-5.45,-6.4,0.16,0.73,0.35,0.36,0.35,0.36,180.83,0,-39.32,82.69,-7.71,-8.36,-0.56,0.31,0.35,0.36,0.35,0.36,181.21,82.29,2.3,83.11,-2.85,-4.34,0.94,1.31,0.36,0.36,0.35,0.36,0.32,0.41,1.13
"1981-01-10",181.34,41.53,-47.36,83.33,-5.42,-7.47,-0.3,0.22,0.35,0.36,0.35,0.36,181.24,0,-97.78,83.14,-8.55,-11.23,-1,-0.28,0.35,0.36,0.35,0.36,181.4,204.67,-1,83.48,-2.43,-5.32,0.42,0.59,0.35,0.36,0.35,0.36,0.19,1.68,1
"1981-01-11",181.3,45.2,-65.08,83.32,-7.26,-12.66,-0.9,-0.14,0.35,0.36,0.35,0.36,181.29,0,-97.09,83.13,-12,-15.53,-1.21,-0.32,0.35,0.36,0.35,0.36,181.31,207.4,-51.81,83.47,-0.98,-8.39,-0.33,0.13,0.35,0.36,0.35,0.36,0,1.06,0.93
"1981-01-12",181.27,33.87,-44.17,83.02,-5.37,-13.52,-0.72,0.04,0.35,0.36,0.35,0.36,181.25,0,-64.46,82.93,-6.97,-16.5,-1.04,-0.3,0.35,0.35,0.35,0.36,181.29,160.88,-16.03,83.11,-1.83,-9.92,0.12,0.33,0.35,0.36,0.35,0.36,0,1.04,0.87
"1981-01-13",181.25,47.43,-49.92,83.14,-5.64,-11.49,-0.69,-0.22,0.35,0.35,0.35,0.36,181.25,0,-86.23,83.1,-9.03,-14.55,-1.04,-0.55,0.35,0.35,0.35,0.36,181.26,221.06,-19.36,83.22,-0.57,-7.91,0.07,0.18,0.35,0.35,0.35,0.36,0,1.73,0.8
"1981-01-14",181.26,50.48,-58.95,82.97,-6.57,-10.2,-1.02,-0.6,0.35,0.35,0.35,0.36,181.24,0,-97.44,82.85,-10.8,-13.68,-1.47,-0.89,0.35,0.35,0.35,0.36,181.26,223.88,-26.26,83.17,1.59,-4.79,-0.31,-0.18,0.35,0.35,0.35,0.36,0,1.59,0.71
"1981-01-15",181.19,49.96,-68.86,82.89,-8.44,-10.72,-1.25,-0.7,0.35,0.35,0.35,0.36,181.16,0,-93.56,82.83,-12.28,-14.07,-1.45,-0.87,0.35,0.35,0.35,0.36,181.24,227.82,-49.92,83.02,-1.27,-5.79,-0.78,-0.47,0.35,0.35,0.35,0.36,0,1.44,0.66
"1981-01-16",181.06,56.2,-88.14,82.67,-11.55,-15.49,-1.07,-0.31,0.35,0.35,0.35,0.36,181,0,-128.09,82.49,-16,-19.44,-1.49,-0.61,0.35,0.35,0.35,0.36,181.15,255.41,-57.41,82.86,-3.12,-10.5,-0.42,0.25,0.35,0.35,0.35,0.36,0,1.65,0.62
"1981-01-17",181.01,47.62,-50.72,82.41,-9.76,-14.47,-0.72,0.64,0.35,0.35,0.35,0.36,180.99,0,-79.23,82.31,-15,-20.71,-1.47,-0.18,0.35,0.35,0.35,0.36,181.08,214.18,-3.02,82.58,-4.2,-9.49,0.23,1.16,0.35,0.35,0.35,0.36,0.05,1.28,0.65
"1981-01-18",181.31,29.98,-17.4,82.86,-5.26,-6.72,-0.07,0.43,0.35,0.35,0.35,0.36,181.1,0,-45.76,82.59,-7.36,-9.16,-0.72,-0.23,0.35,0.35,0.35,0.36,181.42,158.45,5.24,83.04,-2.23,-4.25,0.74,1.01,0.35,0.35,0.35,0.36,0.28,0.97,0.68
"1981-01-19",181.43,49.3,-44.48,82.74,-3.62,-5.78,-0.48,0.05,0.35,0.35,0.35,0.36,181.42,0,-87.25,82.61,-8.06,-8.89,-0.84,-0.4,0.34,0.35,0.35,0.36,181.45,228.44,-8.78,82.85,1.74,-1.53,0.29,0.6,0.35,0.35,0.35,0.36,0,2.23,0.7
"1981-01-20",181.46,54.32,-61.15,82.77,-3.12,-5.54,-0.7,0.14,0.34,0.35,0.35,0.36,181.45,0,-93.9,82.58,-8.1,-8.78,-1.31,-0.09,0.34,0.35,0.35,0.36,181.49,249.72,-36.06,82.94,2.89,-2.34,0.15,0.79,0.34,0.35,0.35,0.36,0,2.34,0.71
