"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",104.59,2.86,-7.73,88.85,-9.44,-11.6,-1.54,0.73,0.25,0.25,0.26,0.28,104.53,0,-32.32,88.59,-11.78,-13.7,-1.79,0.31,0.25,0.25,0.26,0.28,104.73,19.45,10.31,88.99,-6.88,-8.88,-1.22,1.05,0.25,0.25,0.26,0.28,0.19,-0.07,0.22
"1981-01-02",105.16,4.28,-4.9,88.5,-6.15,-7.31,-1.33,0.81,0.25,0.25,0.26,0.28,104.73,0,-31.14,88.41,-8.05,-9.78,-1.79,0.57,0.25,0.25,0.26,0.28,107.3,29.53,10.37,88.57,-3.83,-4.47,-0.77,1.06,0.25,0.25,0.26,0.28,2.56,-0.1,0.22
"1981-01-03",111.85,4.69,-5.79,88.35,-3.39,-3.96,-1.01,0.91,0.25,0.25,0.26,0.28,107.77,0,-27.96,88.26,-4.22,-4.86,-1.2,0.5,0.25,0.25,0.26,0.28,113.78,35.58,9.28,88.46,-2.92,-3.53,-0.82,1.2,0.25,0.25,0.26,0.28,6.46,-0.07,0.22
"1981-01-04",113.87,4.62,-30.58,88.65,-5.64,-6.22,-0.92,1.16,0.25,0.25,0.26,0.28,113.79,0,-56.13,88.46,-7.27,-7.89,-1.24,0.67,0.25,0.25,0.26,0.28,113.95,32.34,1.47,89.19,-4.49,-5.08,-0.56,1.68,0.25,0.25,0.26,0.28,0.15,-0.12,0.22
"1981-01-05",114.03,3.56,-11.49,89.15,-8.54,-9.48,-0.88,0.17,0.25,0.25,0.26,0.27,113.95,0,-40.32,88.37,-9.34,-10.26,-0.99,-0.42,0.25,0.25,0.26,0.27,114.51,23.29,4.84,89.4,-7.42,-8.17,-0.66,1.18,0.25,0.25,0.26,0.28,0.55,-0.05,0.22
"1981-01-06",116.04,6.59,-18.87,88.01,-9.18,-10.53,-1.13,0.48,0.25,0.25,0.26,0.27,114.66,0,-44.3,87.85,-10.12,-11.53,-1.56,-0.21,0.25,0.25,0.26,0.27,116.39,46.77,6.03,88.25,-8.17,-9.53,-0.76,0.83,0.25,0.25,0.26,0.27,1.88,-0.04,0.23
"1981-01-07",116.52,5.25,-15.32,88.09,-9.11,-10.14,-1.47,0.46,0.25,0.25,0.26,0.27,116.39,0,-38.76,88,-10.22,-11.04,-1.63,0.13,0.25,0.25,0.26,0.27,116.83,36.53,1.91,88.2,-8,-9.15,-1.34,0.8,0.25,0.25,0.26,0.27,0.43,-0.09,0.23
"1981-01-08",116.87,7.76,-22.29,88.23,-8.76,-9.65,-1.1,0.22,0.25,0.25,0.26,0.27,116.83,0,-42.64,87.88,-9.59,-10.36,-1.5,-0.54,0.25,0.25,0.26,0.27,116.91,53.17,11.62,88.42,-8.15,-9.04,-0.72,1.11,0.25,0.25,0.26,0.27,0.06,-0.09,0.23
"1981-01-09",117.19,8.8,-27.87,87.74,-11.53,-13.12,-1.37,0.42,0.25,0.25,0.26,0.27,116.92,0,-60.12,87.56,-13.68,-15.46,-1.78,0.03,0.25,0.25,0.26,0.27,117.49,57.47,2.72,87.97,-9.03,-10.28,-1.11,0.91,0.25,0.25,0.26,0.27,0.57,-0.04,0.23
"1981-01-10",117.7,4.19,-12.56,88.02,-10.89,-12.45,-1.54,0.42,0.25,0.25,0.26,0.27,117.49,0,-46.31,87.91,-13.04,-14.46,-1.8,0.09,0.25,0.25,0.26,0.27,118.12,27.03,20.11,88.12,-8.34,-9.66,-1.29,0.73,0.25,0.25,0.26,0.27,0.62,-0.08,0.22
"1981-01-11",118.54,9.56,-30.26,88.22,-9.09,-10.43,-1.72,0.75,0.25,0.25,0.26,0.27,118.32,0,-46.98,87.95,-10.33,-11.56,-2.04,0.35,0.25,0.25,0.26,0.27,118.63,60.97,5.63,88.37,-7.9,-9.2,-1.25,1.23,0.25,0.25,0.26,0.27,0.49,-0.14,0.23
"1981-01-12",118.68,8.83,-23.02,88.72,-9.46,-10.39,-1.02,0.48,0.25,0.25,0.25,0.27,118.63,0,-39.82,88.32,-11.14,-12.19,-1.29,-0.36,0.25,0.25,0.25,0.27,118.73,55.91,8.56,89,-8.19,-9.21,-0.87,0.95,0.25,0.25,0.26,0.27,0.08,-0.09,0.23
"1981-01-13",119.95,5.76,-9.2,88.64,-9.51,-11,-1.3,0.39,0.25,0.25,0.25,0.27,118.73,0,-36.5,88.52,-10.68,-12.26,-1.79,-0.13,0.25,0.25,0.25,0.27,120.86,37.55,8.96,88.79,-8.05,-9.54,-0.9,0.69,0.25,0.25,0.25,0.27,2.13,-0.05,0.23
"1981-01-14",121.36,4.65,-9.07,88.44,-4.33,-5.68,-1.88,0.86,0.25,0.25,0.25,0.27,120.88,0,-45.52,88.36,-8.47,-9.88,-2.1,0.38,0.25,0.25,0.25,0.27,122.02,30.9,25.08,88.61,-0.95,-2.15,-1.63,1.23,0.25,0.25,0.25,0.27,1.12,-0.18,0.23
"1981-01-15",122.2,8.93,-32.53,87.96,-4.44,-6.89,-1.79,0.79,0.25,0.25,0.25,0.27,122.02,0,-47.32,87.74,-6.35,-8.41,-2.13,0.43,0.25,0.25,0.25,0.27,123.03,57.99,9.42,88.34,-1.69,-3.61,-1.4,1.06,0.25,0.25,0.25,0.27,0.99,-0.09,0.24
"1981-01-16",123.98,6.57,-19.58,87.81,-4.28,-5.77,-1.4,0.63,0.25,0.25,0.25,0.27,123.21,0,-48.05,87.72,-5.79,-7.35,-1.62,0.26,0.25,0.25,0.25,0.27,124.43,38.72,10.64,87.98,-3.49,-4.7,-1.3,1.1,0.25,0.25,0.25,0.27,1.38,-0.09,0.23
"1981-01-17",124.45,8.65,-27.46,87.73,-7.7,-8.76,-1.28,0.23,0.25,0.25,0.25,0.27,124.43,0,-49.86,87.5,-9.76,-10.94,-1.57,-0.21,0.25,0.25,0.25,0.27,124.57,51.46,-4.7,87.98,-5.4,-6.63,-1.05,0.91,0.25,0.25,0.25,0.27,0.13,-0.08,0.23
