"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",67,1.11,-10.22,88.32,-11.47,-13.18,-1.97,-0.9,0.22,0.21,0.2,0.25,66.75,0,-45.07,87.95,-14.24,-15.74,-2.4,-1.44,0.22,0.21,0.2,0.25,67.48,9.7,23.37,88.5,-8.42,-10.35,-1.56,-0.43,0.22,0.21,0.2,0.25,0.68,-0.07,NA
"1981-01-02",67.61,0.71,-15.31,88.11,-9.47,-10.75,-1.34,-0.69,0.22,0.21,0.2,0.25,67.48,0,-43.21,87.92,-13.9,-15.19,-2.28,-1.25,0.22,0.21,0.2,0.25,67.78,6.38,10.71,88.37,-7.87,-9.21,-0.74,-0.34,0.22,0.21,0.2,0.25,0.26,-0.05,NA
"1981-01-03",67.81,0.88,-3.02,88.15,-14.4,-15.96,-0.94,-1.28,0.22,0.21,0.2,0.25,67.78,0,-21.41,88.02,-16.98,-18.89,-1.11,-1.52,0.22,0.21,0.2,0.25,67.89,7.02,16.2,88.27,-9.87,-10.99,-0.87,-0.74,0.22,0.21,0.2,0.25,0.09,-0.03,NA
"1981-01-04",68.17,0.93,-0.53,88.2,-6.95,-7.64,-0.52,0.08,0.22,0.21,0.2,0.25,67.9,0,-25.07,88.05,-8.47,-9.49,-1.03,-0.58,0.22,0.21,0.2,0.25,68.62,7.76,20.05,88.66,-6.5,-7.06,0.15,0.84,0.22,0.21,0.2,0.25,0.71,-0.02,NA
"1981-01-05",68.69,1.25,-21.66,88.98,-12.69,-14.03,-0.71,-0.72,0.22,0.21,0.2,0.25,68.63,0,-37.81,88.58,-17.39,-19.45,-1.52,-1.79,0.22,0.21,0.2,0.25,68.73,10.12,-8.89,89.16,-6.83,-7.45,-0.03,0.51,0.22,0.21,0.2,0.25,0.09,-0.03,NA
"1981-01-06",69.4,0.86,1.36,87.95,-12.03,-14.25,-1.51,-1.67,0.22,0.21,0.2,0.25,68.73,0,-19.09,87.78,-16.9,-18.97,-1.64,-2.07,0.22,0.21,0.2,0.25,70.25,7.57,13.95,88.52,-9.38,-11.69,-1.36,-1.28,0.22,0.21,0.2,0.25,1.52,0.02,NA
"1981-01-07",70.41,1.27,-16.41,87.83,-8.97,-11.03,-1.88,-1.23,0.22,0.21,0.2,0.25,70.28,0,-47.32,87.6,-9.99,-11.84,-2.4,-1.44,0.22,0.21,0.2,0.25,70.49,10.33,2.11,87.95,-7.91,-10.03,-1.37,-0.86,0.22,0.21,0.2,0.25,0.22,-0.02,NA
"1981-01-08",71.29,1.43,-8.49,87.97,-8.22,-9.51,-1.23,-0.24,0.22,0.21,0.2,0.25,70.51,0,-26.38,87.59,-11.56,-12.71,-2.39,-1.47,0.22,0.21,0.2,0.25,71.66,11.77,8.9,88.22,-6.59,-7.53,-0.53,0.7,0.22,0.21,0.2,0.25,1.15,-0.03,NA
"1981-01-09",71.72,1.45,-19.59,87.49,-12.32,-13.77,-2.02,-1.1,0.22,0.21,0.2,0.25,71.67,0,-37.71,87.34,-13.53,-15.29,-2.52,-1.58,0.22,0.21,0.2,0.25,71.77,11.94,-7.87,87.9,-11.62,-12.83,-1.56,-0.29,0.22,0.21,0.2,0.25,0.05,-0.08,NA
"1981-01-10",71.84,2.04,-19.17,87.58,-14.63,-16.36,-1.88,-0.85,0.22,0.21,0.2,0.25,71.77,0,-41.22,87.41,-17.25,-19.2,-2.21,-1.38,0.22,0.21,0.2,0.25,72.32,16.19,24.94,87.72,-9.33,-11.55,-1.53,-0.22,0.22,0.21,0.2,0.25,0.51,-0.07,NA
