"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",167.87,3.29,-4.04,85.93,-9.5,-15.39,-0.25,0.93,0.22,0.21,0.21,0.26,167.85,0,-32.4,85.73,-10.92,-15.96,-0.77,0.44,0.22,0.21,0.21,0.26,167.93,21.24,26.29,86.01,-7.44,-14.79,0.08,1.42,0.22,0.21,0.21,0.26,0.07,-0.01,0.53
"1981-01-02",168.06,2.21,4.03,85.54,-6.66,-13.82,-0.24,0.83,0.22,0.21,0.21,0.26,167.93,0,-27.66,85.37,-7.38,-16.33,-0.76,0.06,0.22,0.21,0.21,0.26,168.4,14.55,23.32,85.7,-5.28,-10.75,0.01,1.16,0.22,0.21,0.21,0.26,0.47,0,0.52
"1981-01-03",169.87,2.73,0.7,85.36,-6.48,-9.61,-0.06,1.22,0.22,0.21,0.21,0.26,168.4,0,-35.44,85.24,-7.74,-11.67,-0.7,0.2,0.22,0.21,0.21,0.26,171.31,16.12,19.02,85.49,-4.69,-7.78,0.53,1.7,0.22,0.21,0.21,0.26,2.89,-0.02,0.51
"1981-01-04",172.15,2.58,-11.38,85.68,-7.13,-7.9,0.49,1.65,0.22,0.21,0.21,0.26,171.35,0,-37.82,85.51,-7.93,-8.8,-0.69,0.77,0.22,0.21,0.21,0.26,172.95,17.16,21.65,86.08,-5.42,-6.41,1.34,2.18,0.22,0.21,0.21,0.26,1.6,-0.07,0.49
"1981-01-05",173.09,3.32,-12.56,85.94,-9.52,-10.57,-0.46,0.07,0.22,0.21,0.21,0.26,172.96,0,-45,85.19,-11.98,-13.39,-1.67,-1.02,0.22,0.21,0.21,0.26,173.87,19.13,9.2,86.23,-7.16,-7.72,1.32,1.53,0.22,0.21,0.21,0.26,0.89,-0.03,0.49
"1981-01-06",175.96,3.8,-13.62,84.95,-9.62,-10.72,-0.51,0.53,0.21,0.21,0.21,0.26,174.03,0,-32.11,84.76,-10.92,-11.99,-1.75,-0.83,0.21,0.21,0.21,0.26,176.56,24.05,9.73,85.25,-7.78,-8.65,0.36,1.54,0.22,0.21,0.21,0.26,2.66,-0.03,0.5
"1981-01-07",177.1,3.59,-6.92,85.15,-9.04,-10.01,-0.62,0.39,0.21,0.21,0.21,0.26,176.56,0,-34.7,85.03,-10.97,-12.04,-0.93,0.04,0.21,0.21,0.21,0.26,178.38,23.47,8.41,85.27,-7.58,-8.32,0.15,1.42,0.21,0.21,0.21,0.26,1.8,-0.02,0.49
"1981-01-08",178.75,3.86,-10.85,85.12,-10.59,-11.73,-1.34,-0.7,0.21,0.21,0.21,0.26,178.45,0,-29.62,84.73,-12.47,-14.08,-1.83,-1.41,0.21,0.21,0.21,0.26,178.91,24.44,5.85,85.28,-8.32,-9.18,-0.76,0.03,0.21,0.21,0.21,0.26,0.51,-0.03,0.48
"1981-01-09",180.14,5.07,-21.86,84.77,-11.12,-12.68,-1.06,0.46,0.21,0.21,0.21,0.26,179.03,0,-48.06,84.46,-12.62,-14.35,-1.84,-1.19,0.21,0.21,0.21,0.26,180.64,30.89,3.33,85.16,-9.24,-10.28,0.24,2.4,0.21,0.21,0.21,0.26,1.71,-0.02,0.47
"1981-01-10",181.39,2.74,-14.7,85.18,-8.78,-10.17,-1.06,1.01,0.21,0.21,0.21,0.26,180.74,0,-54.31,85.06,-9.97,-11.48,-1.53,0.18,0.21,0.21,0.21,0.26,182.25,13.82,25.77,85.27,-6.89,-8.67,-0.3,2.02,0.21,0.21,0.21,0.26,1.56,-0.06,0.48
