"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",77.74,9.38,-14.21,90.26,-13.1,-17.48,0.02,0.06,0.28,0.26,0.27,0.31,77.73,0,-37.7,90.11,-15.88,-18.71,-1.35,-0.3,0.28,0.26,0.27,0.31,77.79,60.59,28.32,90.4,-10.35,-15.13,0.86,0.52,0.28,0.26,0.27,0.31,0.05,-0.02,0.51
"1981-01-02",77.8,6.08,-9.93,89.86,-9.08,-13.54,-0.01,0.14,0.28,0.26,0.27,0.3,77.79,0,-23.25,89.75,-11.07,-15.24,-0.75,-0.14,0.28,0.26,0.27,0.3,77.85,37.56,18.67,90.08,-7,-12.12,0.43,0.29,0.28,0.26,0.27,0.31,0.06,-0.01,0.51
"1981-01-03",78.25,9.78,-9.01,89.65,-6.7,-10.41,0.03,0.35,0.28,0.26,0.27,0.3,77.85,0,-53.34,89.57,-8.63,-12.77,-0.46,0.13,0.28,0.26,0.27,0.3,78.69,65.2,21.44,89.75,-4.61,-8.15,0.37,0.76,0.28,0.26,0.27,0.3,0.84,-0.02,0.5
"1981-01-04",79.17,8.11,-21.99,89.88,-7.7,-9.43,0.74,0.7,0.28,0.26,0.27,0.3,78.77,0,-48.4,89.69,-8.94,-10.7,-0.08,0.45,0.28,0.26,0.27,0.3,79.81,53.3,10.15,90.23,-6.26,-8.32,1.79,0.97,0.28,0.26,0.27,0.3,1.12,-0.07,0.5
"1981-01-05",79.82,9,-34.28,90.41,-11.21,-13.2,0.33,0.45,0.28,0.26,0.27,0.3,79.81,0,-54.96,89.94,-13.44,-15.58,-1.19,-0.25,0.28,0.26,0.27,0.3,79.83,57.64,18.56,90.58,-9.77,-11.44,1.7,1,0.28,0.26,0.27,0.3,0.01,-0.08,0.49
"1981-01-06",83.11,5.65,-1.21,89.49,-10.26,-12.05,-1.15,0.18,0.28,0.26,0.27,0.3,79.87,0,-28.76,89.32,-11.9,-14.18,-1.55,-0.09,0.28,0.26,0.27,0.3,84.7,33.77,25.23,89.84,-9.36,-11,-0.61,0.59,0.28,0.26,0.27,0.3,4.88,0.03,0.47
"1981-01-07",84.97,9.35,-18.25,89.73,-11.11,-13.03,-1.39,0.36,0.28,0.26,0.27,0.3,84.76,0,-47.34,89.58,-13.43,-16.16,-2.15,0.1,0.28,0.26,0.27,0.3,85.53,60.53,2.05,89.96,-9.6,-11.08,-0.64,0.64,0.28,0.26,0.27,0.3,0.89,0.29,0.47
"1981-01-08",85.97,9.36,-20.12,89.95,-15.62,-18.05,-1.55,-0.02,0.28,0.26,0.27,0.3,85.58,0,-37.34,89.51,-17.68,-19.8,-2.1,-0.28,0.28,0.26,0.27,0.3,86.07,60.64,8.94,90.07,-13.83,-16.46,-1.2,0.22,0.28,0.26,0.27,0.3,0.66,0.5,0.47
"1981-01-09",86.89,11.06,-24.79,89.37,-15.24,-18.17,-0.55,0,0.28,0.26,0.27,0.3,86.08,0,-59.79,89.18,-18.31,-20.49,-1.32,-0.3,0.27,0.26,0.27,0.3,87.23,69.61,22.46,89.69,-12.75,-16.05,0.42,0.68,0.28,0.26,0.27,0.3,1.17,0.06,0.47
"1981-01-10",87.41,6.54,-13.56,89.72,-11.65,-15,-0.67,0.52,0.27,0.26,0.27,0.3,87.23,0,-35.62,89.67,-14.89,-17.84,-0.95,0.24,0.27,0.26,0.27,0.3,87.62,36.46,20.85,89.81,-8.43,-11.91,-0.33,0.77,0.27,0.26,0.27,0.3,0.39,-0.06,0.47
