"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",42.46,0,-42.23,103.21,-42.2,-45.64,1.24,-4.5,0.24,0.25,0.27,0.33,42.45,0,-46.37,103,-42.67,-46.18,0.58,-5.26,0.24,0.25,0.27,0.33,42.47,0,-36.38,103.36,-41.74,-45.32,2.11,-3.84,0.24,0.25,0.27,0.33,0.01,-0.01,0
"1981-01-02",42.48,0,-27.58,103.13,-43.82,-47.24,-0.13,-2.34,0.24,0.25,0.27,0.33,42.47,0,-36.03,103,-45.13,-48.66,-2.43,-3.73,0.24,0.25,0.27,0.33,42.48,0,-21.83,103.26,-42.67,-45.95,2.07,-0.31,0.24,0.25,0.27,0.33,0.01,0,0
"1981-01-03",42.49,0,-14.94,102.74,-39.61,-42.98,-3.17,2.85,0.24,0.25,0.27,0.33,42.48,0,-24.16,102.3,-44.24,-47.58,-4.09,0.29,0.24,0.25,0.27,0.33,42.52,0,4.85,102.95,-32.83,-36.6,-1.89,4.54,0.24,0.25,0.27,0.33,0.03,-0.01,0
"1981-01-04",42.6,0,-19.93,101.89,-32.81,-36.48,-4.45,0.64,0.24,0.25,0.27,0.33,42.53,0,-52.16,101.71,-36.3,-39.73,-5.16,-3.57,0.24,0.25,0.27,0.33,42.65,0,0.89,102.22,-31.24,-35.1,-3.63,4.28,0.24,0.25,0.27,0.33,0.12,0,0
"1981-01-05",42.66,0,-33.26,102.68,-40.33,-43.81,0.05,-2.51,0.24,0.25,0.27,0.33,42.65,0,-47.02,102.09,-42.02,-45.55,-3.04,-4.18,0.24,0.25,0.27,0.33,42.67,0,-10.11,102.97,-37.7,-41.23,3.1,-0.03,0.24,0.25,0.27,0.33,0.01,-0.01,0
"1981-01-06",42.67,0,-10.82,101.7,-35.12,-38.51,0.74,-0.43,0.24,0.25,0.27,0.33,42.67,0,-45.75,101.15,-39.24,-42.53,-0.12,-5.1,0.24,0.25,0.27,0.33,42.69,0,15.07,102.65,-32.44,-35.88,2.62,2.32,0.24,0.25,0.27,0.33,0.02,-0.01,0
"1981-01-07",42.72,0,-36.91,101.81,-33.04,-36.23,2.54,-4.45,0.24,0.25,0.27,0.33,42.69,0,-47.05,101.21,-34.71,-37.97,0.03,-5.53,0.24,0.25,0.27,0.33,42.77,0,-14.08,102.17,-28.94,-32.35,4.56,-3.38,0.24,0.25,0.27,0.33,0.05,-0.04,0
"1981-01-08",42.8,0,-39.14,102.43,-32.57,-35.67,3.08,-2.83,0.24,0.25,0.27,0.33,42.78,0,-51.46,102.21,-35.91,-38.98,2.15,-4.25,0.24,0.25,0.27,0.33,42.81,0,-25.28,102.57,-28.54,-31.92,3.79,-1.62,0.24,0.25,0.27,0.33,0.01,-0.03,0
"1981-01-09",42.82,0,-18.39,101.82,-34.04,-37,2.51,1.11,0.24,0.25,0.27,0.33,42.81,0,-33.11,100.83,-35.98,-39.04,1.75,-1.63,0.24,0.25,0.27,0.33,42.83,0,-3.73,102.48,-31.05,-33.86,4.18,2.92,0.24,0.25,0.27,0.33,0,-0.01,0
"1981-01-10",42.88,0,-20.78,100.28,-25.99,-28.66,4.65,0.93,0.24,0.25,0.27,0.33,42.83,0,-40.53,100.05,-29.7,-32.29,3.27,-1.07,0.24,0.25,0.27,0.33,42.96,0,6.74,100.74,-22.6,-25.17,5.64,2.64,0.24,0.25,0.27,0.33,0.07,-0.06,0
"1981-01-11",43.09,0,0.38,100.96,-20.53,-23.03,-1.71,-0.79,0.24,0.25,0.27,0.33,42.97,0,-11.54,100.26,-22.38,-24.99,-3.62,-2.32,0.24,0.25,0.27,0.33,43.15,0,21.86,101.34,-18.37,-20.72,2.8,1.78,0.24,0.25,0.27,0.33,0.21,0.01,0
"1981-01-12",43.28,0,-2.78,100.53,-18.97,-21.34,-0.91,3.36,0.24,0.25,0.27,0.33,43.16,0,-34.96,100.11,-20.51,-23.04,-2.78,0.31,0.24,0.25,0.27,0.33,43.59,0,12.89,101.1,-17.48,-19.76,3.37,5.18,0.24,0.25,0.27,0.33,0.43,-0.01,0
"1981-01-13",43.7,0,-28.24,101.05,-19.02,-21.69,3.21,-3.6,0.24,0.25,0.27,0.33,43.6,0,-61.98,100.11,-26.59,-29.26,1.44,-5.62,0.24,0.25,0.27,0.33,43.75,0,2.12,101.87,-14.53,-17.07,5.56,-0.35,0.24,0.25,0.27,0.33,0.14,-0.02,0
"1981-01-14",44.96,0,1.02,101.88,-22.34,-24.87,-1.23,1.96,0.24,0.25,0.27,0.33,43.75,0,-30,101.48,-26.51,-29.23,-2.61,-0.26,0.24,0.25,0.27,0.33,45.41,0,40.62,102,-18.92,-21.19,1.25,4.2,0.24,0.25,0.27,0.33,1.65,-0.01,0
"1981-01-15",45.58,0,-2.31,100.27,-16,-18.09,-2.67,2.91,0.24,0.25,0.27,0.33,45.41,0,-39.45,99.52,-18.39,-20.6,-3.97,0.06,0.24,0.25,0.27,0.33,45.68,0,12.58,101.43,-14.21,-16.19,-1,5.76,0.24,0.25,0.27,0.33,0.25,-0.02,0
"1981-01-16",45.75,0,-10.46,98.46,-10.81,-12.44,3.35,1.1,0.24,0.25,0.27,0.33,45.68,0,-55.54,98.04,-14.73,-16.52,-2.15,-4.53,0.24,0.25,0.27,0.33,45.84,0.07,20.44,99.34,-5.2,-7.06,9.29,5.39,0.24,0.25,0.27,0.33,0.05,-0.12,0
"1981-01-17",45.89,0.02,-53.08,99.88,-16.29,-18.93,3.2,-4.6,0.24,0.25,0.27,0.33,45.84,0,-73.33,98.68,-25.88,-28.29,-0.97,-5.78,0.24,0.25,0.27,0.33,45.93,0.38,-5.59,100.79,-5.9,-7.81,8.28,-2.59,0.24,0.25,0.27,0.33,0.02,-0.06,0
