"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",50.71,0,-47.68,101.53,-35.44,-38.62,-0.47,-6.17,0.3,0.3,0.3,0.34,50.68,0,-53.35,101.33,-38.05,-40.79,-2.49,-6.93,0.3,0.3,0.3,0.34,50.74,0,-31.54,101.67,-34.59,-37.82,1.27,-5.28,0.3,0.3,0.3,0.34,0.02,-0.05,0
"1981-01-02",50.76,0,-40.74,101.43,-37.09,-40.24,-0.78,-3.68,0.3,0.3,0.3,0.34,50.74,0,-47.53,101.31,-39.05,-41.99,-2.49,-5.5,0.3,0.3,0.3,0.34,50.77,0,-32.46,101.67,-35.78,-39.12,1.23,0.05,0.3,0.3,0.3,0.34,0.01,-0.02,0
"1981-01-03",50.79,0,-29.42,101.69,-35.82,-37.9,-3.72,0.63,0.3,0.3,0.3,0.34,50.77,0,-33.77,101.51,-37.06,-38.88,-4.77,-0.28,0.3,0.3,0.3,0.34,50.81,0,-22.29,101.77,-35.13,-37.15,-2.22,1.85,0.3,0.3,0.3,0.34,0.02,-0.02,0
"1981-01-04",50.84,0,-25.74,101.08,-36.14,-38.92,-1.4,-2.9,0.3,0.3,0.3,0.34,50.82,0,-33.34,100.74,-38.72,-41.73,-3.02,-5.8,0.3,0.3,0.3,0.34,50.86,0,-0.05,101.47,-34,-36.68,0.71,1.17,0.3,0.3,0.3,0.34,0.02,-0.02,0
"1981-01-05",50.89,0,-33.39,100.75,-33.03,-36.29,2.48,-4.38,0.3,0.3,0.3,0.34,50.86,0,-44.01,100.59,-33.96,-37.27,0.75,-6.09,0.3,0.3,0.3,0.34,50.91,0,-17.26,100.8,-31.62,-35,3.79,-1.62,0.3,0.3,0.3,0.34,0.01,-0.04,0
"1981-01-06",50.99,0,-20.59,99.69,-31.16,-34.33,2.95,-3.91,0.3,0.3,0.3,0.34,50.91,0,-51.82,98.79,-33.91,-37.19,2.11,-7.27,0.3,0.3,0.3,0.34,51.08,0,1.59,100.53,-29.71,-32.76,4.29,-1.02,0.3,0.3,0.3,0.34,0.14,-0.03,0
"1981-01-07",51.17,0,-52.62,98.92,-26.61,-29.5,4.09,-9.56,0.3,0.3,0.3,0.34,51.08,0,-62.04,98.62,-29.67,-32.72,3.36,-11.14,0.3,0.3,0.3,0.34,51.27,0,-37.16,99.44,-25.53,-28.4,4.7,-7.2,0.3,0.3,0.3,0.34,0.07,-0.12,0
"1981-01-08",51.33,0,-54.7,100.13,-29.97,-32.96,1.74,-6.01,0.3,0.3,0.3,0.34,51.28,0,-62.17,99.49,-33.52,-36.54,-0.03,-8.71,0.3,0.3,0.3,0.34,51.36,0,-46.51,100.65,-25.92,-28.75,3.3,-4.44,0.3,0.3,0.3,0.34,0.02,-0.07,0
"1981-01-09",51.38,0,-21.88,100.04,-33.62,-36.53,0.19,-0.23,0.3,0.3,0.3,0.34,51.36,0,-46.99,98.78,-36.34,-39.12,-1.13,-4.49,0.3,0.3,0.3,0.34,51.41,0,9.49,100.67,-29.75,-32.59,1.83,5.32,0.3,0.3,0.3,0.34,0.03,-0.02,0
"1981-01-10",52.15,0,-10.42,98.11,-26.66,-29.45,2.04,1.92,0.3,0.3,0.3,0.34,51.42,0,-50.89,97.87,-31.35,-34.35,1.35,-3.46,0.3,0.3,0.3,0.34,52.34,0,25.5,98.65,-24.24,-26.89,2.86,6.39,0.3,0.3,0.3,0.34,0.9,-0.02,0
"1981-01-11",52.37,0,-30.46,99.59,-31.92,-34.68,-0.84,-2.94,0.3,0.3,0.3,0.34,52.34,0,-44.17,98.42,-33.47,-36.08,-3.05,-4.95,0.3,0.3,0.3,0.34,52.39,0,9.43,100.28,-30.1,-32.61,1.73,2.12,0.3,0.3,0.3,0.34,0.02,-0.03,0
"1981-01-12",52.47,0,-15.14,99.53,-27.92,-30.74,-2.44,4.1,0.3,0.3,0.3,0.34,52.39,0,-40.08,98.83,-29.99,-32.76,-3.93,2.75,0.3,0.3,0.3,0.34,52.94,0,16.1,100.19,-24.21,-26.93,0.26,4.89,0.3,0.3,0.3,0.34,0.51,-0.04,0
"1981-01-13",54.05,0,-21.84,99.03,-24.61,-27.3,1.9,-1.52,0.3,0.3,0.3,0.34,53.1,0,-58.95,98.7,-27.97,-30.86,0.2,-6.31,0.3,0.3,0.3,0.34,54.32,0,13.16,99.74,-22.3,-24.81,3.29,4.48,0.3,0.3,0.3,0.34,1.34,-0.03,0
