"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-02",273.94,17.79,-6.86,81.1,-10.25,-11.93,0.54,-0.61,0.39,0.39,0.4,0.44,269.4,0,-29.92,80.86,-12.11,-13.52,0.41,-1.13,0.39,0.39,0.4,0.44,278.96,97.35,12.61,81.22,-8,-9.65,0.78,0.17,0.39,0.39,0.4,0.44,9.92,0.23,0.69
"1981-01-03",282.13,20.31,-9.93,80.46,-5.5,-7.62,0.58,-0.14,0.39,0.39,0.4,0.44,279.85,0,-34.42,80.04,-7.71,-9.28,0.52,-0.61,0.39,0.39,0.4,0.44,289.78,99.19,11.89,80.86,-3.36,-5.39,0.64,0.16,0.39,0.39,0.4,0.44,10.77,0.44,0.77
"1981-01-04",312.6,7.91,-9.67,79.64,-5.62,-6.75,0.53,-0.62,0.39,0.39,0.39,0.44,291.55,0,-70.59,79.37,-10.19,-12.54,0.34,-1.59,0.39,0.39,0.39,0.44,325.84,34.79,10.85,80.03,-3.51,-4.6,0.68,0.12,0.39,0.39,0.39,0.44,36.06,0.13,0.64
"1981-01-05",333.97,16.97,-23.64,80.18,-12.04,-14.18,0.72,-1.31,0.39,0.39,0.39,0.44,326.99,0,-49.91,79.55,-13.1,-15.51,0.52,-1.81,0.39,0.39,0.39,0.44,339,85.31,-7.24,80.63,-10.26,-12.23,1.03,-0.86,0.39,0.39,0.39,0.44,13.3,0.49,0.9
"1981-01-06",348.73,9.28,-10.64,80.1,-12.34,-14.46,0.59,-0.57,0.39,0.39,0.39,0.44,339.37,0,-17.22,79.82,-13.8,-15.65,0.23,-1.45,0.39,0.39,0.39,0.44,362.83,48.53,-1.94,80.59,-11.09,-13.36,0.83,0.35,0.39,0.39,0.39,0.44,23.86,0.2,0.97
"1981-01-07",368.45,19.19,-20.2,80.63,-14.41,-16.57,0.53,-1.34,0.39,0.39,0.39,0.44,363.56,0,-50.29,80.28,-16.24,-18.54,0.4,-1.63,0.39,0.39,0.39,0.44,373.45,105.28,-9.84,81,-12.67,-14.8,0.68,-1.13,0.39,0.39,0.39,0.44,10.7,0.33,1.5
"1981-01-08",374.33,26.69,-49.99,81.4,-17.23,-20.82,0.45,-1.01,0.39,0.39,0.39,0.44,373.64,0,-71.46,81.05,-18.73,-22.68,0.18,-1.55,0.39,0.39,0.39,0.44,374.51,118.51,-14.38,81.63,-15.8,-18.51,0.67,0.08,0.39,0.39,0.39,0.44,1.07,0.44,2.29
"1981-01-09",374.51,31.18,-44,81.35,-13.55,-21.64,0.28,-0.05,0.39,0.39,0.39,0.44,374.5,0,-64.13,80.99,-18.46,-26.59,0.21,-0.33,0.39,0.39,0.39,0.44,374.52,144.41,-24.79,81.62,-9.81,-16.68,0.34,0.2,0.39,0.39,0.39,0.44,0.01,0.79,2.26
"1981-01-10",374.84,22.27,-15.85,80.35,-13.52,-16.55,0.16,0.4,0.39,0.39,0.39,0.44,374.52,0,-31.8,80.12,-18.13,-20.13,0.03,0.28,0.39,0.39,0.39,0.44,375.75,105.65,6.08,80.93,-11.24,-13.79,0.26,0.57,0.39,0.39,0.39,0.44,1.19,0.24,1.58
"1981-01-11",375.81,30.26,-41.63,80.56,-13.35,-16.4,0.09,0.66,0.39,0.39,0.39,0.44,375.76,0,-73.18,80.2,-19.32,-21.48,-0.05,0.5,0.39,0.39,0.39,0.44,375.85,138.42,-11.82,80.84,-7.47,-12.77,0.16,0.97,0.39,0.39,0.39,0.44,0.05,0.4,0.88
"1981-01-12",375.89,31.98,-38.89,80.47,-14.47,-17.59,0.15,0.81,0.39,0.39,0.39,0.44,375.85,0,-69.82,79.77,-20.84,-23.13,-0.12,0.57,0.39,0.39,0.39,0.44,376.02,150.41,-5.48,80.83,-10.06,-15.47,0.26,1.23,0.39,0.39,0.39,0.44,0.14,0.46,2.56
